,-0.06,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.060000
0,EVSct,-0.6169441763675593,-0.3880625678737502,-0.6030034288731043,-0.3911683120716573,-0.7344685498725145,-0.5354045472727075,-0.732499074630576,-0.5375449770214732,-0.6343348342463015,-0.42735738761409275,-0.6030034288730932,-0.3911683120716486,-0.6540422488105249,0.06443037237952996
1,SZTau,-0.7062736655587082,-0.2605319085133145,-0.6862923132849589,-0.2700365335524159,-0.6467173945423275,-0.25540680331332055,-0.629057119514046,-0.25359011443918134,-0.619082185708036,-0.2060871902314858,-0.6862923132849552,-0.2700365335524146,-0.662285831982172,0.031055451308529755
2,SSSct,-0.1941949849957108,-0.17901553597737532,-0.22948598658503772,-0.21531381737490288,-0.279070563552203,-0.26356416770019436,-0.2582616682017559,-0.23640448504338685,-0.2536055307750809,-0.24682765404462897,-0.2294859865850274,-0.21531381737489555,-0.24068412011580262,0.0318948550521748
3,QZNor,-0.5846059101873219,-0.0033140306069725004,-0.5819021599882988,-0.02123204569743223,-0.5143024967973198,0.023092645213372356,-0.5502125807017245,-0.04084567457581989,-0.46040648422725744,0.09376287392135693,-0.5819021599882981,-0.02123204569743507,-0.54555529864837,0.031001905145069845
4,ADGem,-0.006307456509345535,-0.2945390770975689,-0.0331484334917772,-0.2952260442692262,-0.04443562101472886,-0.2827047290238931,-0.014319476270083306,-0.23266527012481636,0.042444161970688676,-0.2317470952953411,-0.03314843349177267,-0.2952260442692253,-0.014819209801169816,0.01792897049452312
5,YAur,-0.12821383111080611,-0.27090509840057875,-0.12303585129206945,-0.25276804196343106,-0.02114302560484093,-0.1379398684838074,-0.10049344365327972,-0.2038290026281406,-0.049484352307581,-0.18902407798117127,-0.12303585129206655,-0.2527680419634257,-0.09090105921010729,0.04296243970273222
6,STTau,-0.3760813349397477,-0.27742446342917915,-0.3260650606446217,-0.22540643763740098,-0.27809491962889893,-0.1764397731621378,-0.3101318831483768,-0.2089156170835542,-0.28303790276965324,-0.1911448860419224,-0.32606506064461577,-0.22540643763739224,-0.3165793602959857,0.03589249793702882
7,BFOph,-0.1857390997209293,0.07919352946951559,-0.2111911620433579,0.0635667073668718,-0.1799471836895935,0.09615506644169756,-0.15960325455139593,0.10200259916793958,-0.08955054185380572,0.17324417157651376,-0.21119116204334845,0.06356670736687665,-0.17287040065040515,0.02156491475348051
8,SYCas,-0.4129068045244171,-0.2613160365646748,-0.42733294970962765,-0.2702225096782466,-0.374385564843416,-0.21559494076317592,-0.46612455183777884,-0.312547479194077,-0.4424966257680616,-0.29543138921261675,-0.42733294970962393,-0.270222509678241,-0.42509657439882087,0.03319824275086603
9,XSct,-0.030368970102197627,-0.4215461639112194,-0.002022203720021475,-0.38827629657128176,0.06953470458379069,-0.30226519589137907,-0.1916693285377465,-0.5300657069177206,-0.14268303946635358,-0.534897268286983,-0.0020222037200185576,-0.3882762965712734,-0.0498718401604245,0.09622161956371325
10,YLac,-0.35309773420461815,-0.40606705403854215,-0.3477754853351483,-0.3960675484781166,-0.32551237209187406,-0.3676543588901836,-0.29284930195680364,-0.32547069368614456,-0.22156237664743322,-0.2782027528305312,-0.3477754853351491,-0.39606754847811376,-0.31476212592850444,0.028085763333936937
11,TVul,-0.32692139699025513,-0.21953299900593037,-0.341766259166125,-0.2298831868214256,-0.3117049162616106,-0.19764589451619646,-0.3177418640501735,-0.20546684260328837,-0.21571039651124915,-0.11329115154489534,-0.3417662591661192,-0.22988318682142347,-0.30926851535758876,0.019009611187590297
12,XYCas,-0.414873351937786,-0.16805461848128575,-0.4808373117964063,-0.2219693373433481,-0.4334695973821964,-0.1715795302785629,-0.49088142523816675,-0.24285307626020636,-0.48105480260796224,-0.23458517762538694,-0.4808373117964009,-0.22196933734334798,-0.46365896679315316,0.03289221801235329
13,TVel,-0.0796691760502208,-0.03865692792384538,-0.08319350478847629,-0.031689484364802546,-0.05695898161543148,0.0016683447460832702,-0.0037406587983229993,0.05605581276489765,0.05630406552888604,0.09729778331128514,-0.08319350478847182,-0.03168948436480211,-0.041741960085339556,0.03475759238237299
14,VZCyg,-0.11727723986331973,-0.2357563101536494,-0.14812997434517305,-0.25415976895529985,-0.17977430844984887,-0.2737377391347487,-0.14689940297172113,-0.22896784524739155,-0.00993653598880778,-0.12581947058063842,-0.14812997434516317,-0.2541597689552871,-0.12502457266067227,0.0318979722027784
15,CFCas,0.015371453546651582,0.003935648845232794,-0.008448150063738124,-0.003996265759477643,-0.017345947664642206,-0.0014950070076935784,0.05846849633877841,0.07763047174259836,0.05708338865291671,0.050030687514800755,-0.0084481500637329,-0.003996265759476744,0.016113515124372247,0.029653440508649685
16,VLac,-0.5063174897094513,-0.33522307976425986,-0.4957842471929525,-0.33061207223266587,-0.46844032929645923,-0.3084399605203081,-0.5138483637988139,-0.3571076518971539,-0.5482384562010622,-0.39033855598180633,-0.4957842471929441,-0.33061207223266065,-0.5047355222319472,0.01925495298339312
17,V0386Cyg,-0.18407661462258035,0.11406383998495209,-0.2039668544969305,0.09784569634053786,-0.2824851590874298,0.016438336411575733,-0.1518729286243069,0.13199575852608866,-0.16905674470102172,0.12211922179570665,-0.20396685449693253,0.09784569634053794,-0.19923752600486697,0.04854326235637383
18,CRSer,-0.4463169566714102,-0.4928115447498738,-0.47132193221261903,-0.525263993417888,-0.48638339304441325,-0.5410935495454691,-0.5193622582292611,-0.5614760715241416,-0.5610913148945609,-0.6203404322062432,-0.47132193221261487,-0.5252639934178797,-0.4926329645441465,0.028951878044170837
19,V1162Aql,-0.09598187056803922,0.016604592214535665,-0.15322663502300296,-0.02473107571088948,-0.14666627330213933,-0.00975459682184859,-0.13373718994109296,-0.0023049692224930947,-0.0716655037823351,0.04442130107758884,-0.15322663502299966,-0.024731075710891715,-0.12575068460660152,0.023142797251444257
20,CVMon,-0.061256964392387404,-0.04051584205040824,0.001843904286373538,0.03491036330238715,-0.004774331259675194,0.03692749638216362,0.012774218317255934,0.05654647337901318,0.1106691467044343,0.132905186138155,0.0018439042863746815,0.03491036330238417,0.010183312990395975,0.036754941443247445
21,SWCas,-0.2344258698507552,-0.21861572057563322,-0.24949399837035033,-0.23098975909465952,-0.2808984598525797,-0.2590110132436891,-0.26869216360396053,-0.2415775446608733,-0.2861518776068212,-0.2759892420990498,-0.24949399837033936,-0.23098975909465813,-0.2615260612758011,0.01806816096224296
22,XLac,-0.7956265194624396,-0.48354013513323085,-0.7625665270548357,-0.47866410831472156,-0.7516888575964695,-0.4887780133849451,-0.6854954668718966,-0.4293411993631869,-0.6949549095428905,-0.41367637622281556,-0.7625665270548277,-0.47866410831470896,-0.7421498012638933,0.04055030604824553
23,VCen,-0.2596663975626087,-0.176212491043058,-0.24213225764890128,-0.1493228035033482,-0.20769745134973824,-0.10942322764348025,-0.1911296929297733,-0.09436117439248151,-0.12022043633390822,-0.0379394375273717,-0.24213225764889643,-0.14932280350334123,-0.21049641557897103,0.03082781933040469
24,FMCas,-0.2527950819397525,-0.027866480416099404,-0.26893801441140786,-0.03820404422499666,-0.28563214132077813,-0.054829612452824125,-0.24554977007600245,-0.02523844548891298,-0.25816942971461054,-0.03808486627589289,-0.26893801441139853,-0.038204044224985974,-0.26333707531232503,0.01545932031939299
25,CSVel,-0.1286291638232025,-0.12339549533335589,-0.10364327366826824,-0.08628035158104985,-0.06633429302447409,-0.04007088303713921,-0.09448682084742004,-0.06499746344115959,0.022534077629102898,0.029228896010486942,-0.10364327366826183,-0.08628035158104115,-0.07903379123375397,0.029433828272029245
26,MWCyg,-0.4942076063229465,0.08307118342396831,-0.51128259720544,0.0534147680784156,-0.5608063621099363,-0.014803057073519024,-0.49549596949489827,0.020419591568061606,-0.5373419040655132,0.018835906245220503,-0.5112825972054333,0.053414768078423804,-0.5184028394006946,0.02719784265176143
27,FMAql,-0.28343458083328277,-0.3463125332372001,-0.32270242568624685,-0.3904154721921499,-0.4698003044752543,-0.5364289290350721,-0.3168183892101315,-0.370451774046057,-0.30055987137746765,-0.3741266277831018,-0.32270242568624224,-0.3904154721921418,-0.33600299954477086,0.07281845918300026
28,CRCep,-0.11712404286062018,0.1658199780661224,-0.1121123127422436,0.18336226875770129,-0.1736115215914139,0.12428122887091199,-0.12063657726732874,0.16069546895976108,-0.25503435988958517,0.027657501040359692,-0.11211231274223793,0.18336226875770745,-0.14843852118223824,0.030441821591476573
29,RSCas,-0.36883848079202985,-0.07586678867923002,-0.36921781635966944,-0.07346492172493084,-0.3013365702258113,-0.008844757177108054,-0.3764571711575186,-0.09839437912705681,-0.4139814601535956,-0.12860078374580453,-0.3692178163596682,-0.07346492172492755,-0.3665082191747155,0.03301173090124618
30,RRLac,-0.5672380898550182,-0.13598458531961224,-0.5600681274390471,-0.12568854566077747,-0.5045522877375753,-0.07658067097993666,-0.5898978276329322,-0.18624998777703805,-0.5687193141884078,-0.14580183746786748,-0.5600681274390507,-0.12568854566077986,-0.5584239623820052,0.0315164784068356
31,XXSgr,-0.22993245985207963,-0.18462367770376786,-0.20143562256288294,-0.14532015989047534,-0.22006936201011654,-0.15675872504851548,-0.2563361156347767,-0.19225244369499392,-0.23479621047422444,-0.18930239220330833,-0.20143562256287387,-0.14532015989047037,-0.22400089884949237,0.020033711190697637
32,BBSgr,-0.23003006859545044,-0.15832964566159335,-0.2495287313286474,-0.17865897940355271,-0.25950747572843125,-0.1885698675919564,-0.18612787632767314,-0.11289423011959751,-0.11684101395776114,-0.05382011116127044,-0.24952873132864073,-0.17865897940354908,-0.215260649544434,0.03239960366628792
33,VCar,-0.24577064842473828,0.05300177817405383,-0.26824934229917813,0.03908148403609217,-0.2537820275758097,0.05336951710847197,-0.20288124332861582,0.08774638157084047,-0.14362505089964392,0.15182006731124215,-0.2682493422991741,0.039081484036096646,-0.23042627580452665,0.027250018738835306
34,V0495Cyg,-0.7561777934400226,-0.649394688510628,-0.7405644898640574,-0.6735201173039178,-0.6871121112890509,-0.64254562790151,-0.7479058374417767,-0.6921865111586248,-0.7712543102862672,-0.7024031053052965,-0.7405644898640564,-0.6735201173039049,-0.7405965053642052,0.028092633857029457
35,USgr,-0.2212693328130876,-0.15304689128026533,-0.24597281544778232,-0.17372018112068502,-0.2732500530924086,-0.19813472952911348,-0.23764017242631635,-0.16139940677748305,-0.1691233352404679,-0.10593241190144141,-0.24597281544777005,-0.1737201811206704,-0.23220475407797214,0.022491127672536575
36,TWCMa,-0.1178913423354279,0.022224912972610273,-0.12396467350999256,0.04082267713793944,-0.14476286907809022,0.032662276492223884,-0.12146160007752838,0.04598009987820038,-0.12397400569942878,0.025973412235670405,-0.12396467350999758,0.04082267713793476,-0.12600319403507756,0.010517951170772056
37,xSgr,-0.5940060007729812,-0.44262140763215285,-0.5451277080281347,-0.39285705831007894,-0.49903460803533906,-0.34766290890769197,-0.5360174231893944,-0.3884939806031729,-0.4350589440717659,-0.29165181932686407,-0.5451277080281358,-0.3928570583100777,-0.5257287320209585,0.03826401416370871
38,V0600Aql,-0.37252903676709365,-0.2522556316278595,-0.41351282683266116,-0.2921264180159436,-0.606072148920793,-0.48470685493633137,-0.503130444205425,-0.38347601800431297,-0.49979951937337525,-0.3871089945843781,-0.41351282683265356,-0.2921264180159336,-0.46809280048866686,0.0899685271802027
39,V0459Cyg,-0.25249139974829954,-0.06749480888409909,-0.27163980421523254,-0.08134977450332696,-0.4019050556204462,-0.2108676901225658,-0.29384755484834213,-0.11032386205994824,-0.37414006770940317,-0.19407969211446013,-0.2716398042152322,-0.08134977450333127,-0.3109439477261593,0.05815437614879104
40,CKSct,0.12251693628096379,0.380076048946275,0.04165532455211235,0.3257652590632337,-0.0021408328629890627,0.2928191991821723,-0.03296448643206955,0.24314591882144151,-0.146305943809726,0.12163425120720789,0.04165532455212193,0.32576525906323617,0.004069387046735574,0.06490878067319608
41,TZMon,-0.015696640852275786,-0.5828642111692041,0.2776293551254968,-0.26821087193905463,0.2636220274195811,-0.25436575376778103,0.29893636316740313,-0.17796465993730612,0.3410059430119345,-0.21369729091655795,0.27762935512550546,-0.2682108719390487,0.24052106716627422,0.13320148282683258
42,V1344Aql,-0.21003570084331877,-0.509872227978969,-0.30342781597576635,-0.6199292287911053,-0.3213242031027555,-0.6376164776798059,-0.38653991910020824,-0.6696052835053474,-0.37840348793143597,-0.6960284565091212,-0.3034278159757598,-0.6199292287910928,-0.31719315715487406,0.0642227451800888
43,RSOri,-0.33331819089880627,-0.3609336278441652,-0.32296389731160074,-0.34449791063725166,-0.35956081384812416,-0.3747739064576273,-0.37063672658411556,-0.37853430171045693,-0.3494306359492234,-0.3798543291145194,-0.3229638973115918,-0.3444979106372401,-0.34314569365057696,0.01955183991761901
44,BKAur,-0.16019034043281855,-0.057832213565194635,-0.18473955762830724,-0.05240315271478509,-0.17952246483832032,-0.03067673140191707,-0.23818505143196242,-0.09819546632999462,-0.2160260280929886,-0.09960768734380175,-0.18473955762830016,-0.0524031527147847,-0.1939005000087829,0.029103896277176813
45,GHLup,-0.051660858298069226,0.01827733580833656,-0.11523918080218608,-0.04284658483143213,-0.1008836428542924,-0.026548589703685583,-0.03796269260106019,0.037835619981352084,-0.031661514283825784,0.03205829248504819,-0.11523918080217999,-0.042846584831423895,-0.07544117827360228,0.032408874230874296
46,FNAql,-0.1478983829726137,0.012270973421152933,-0.16804933613398695,0.013168586781131036,-0.27265922762890954,-0.08130799224800345,-0.18725923172067765,-0.006255801474832714,-0.19392456467057972,-0.026769227379925785,-0.168049336133984,0.013168586781140993,-0.18964001321012525,0.04771367496510775
47,YZSgr,-0.15700240747625846,-0.09969860101654276,-0.19097185074784567,-0.11875801583226014,-0.22971199745586315,-0.14830425366360728,-0.23895728340138844,-0.1588222080646868,-0.20649815183658776,-0.1460380072441044,-0.1909718507478462,-0.11875801583225291,-0.20235225694429826,0.03269023498980454
48,SNor,-0.20350407594065636,-0.07250695099891119,-0.22047554938174813,-0.08573733351823669,-0.1723618917855732,-0.03643809250912934,-0.15289862559961284,-0.020211317303163633,-0.11199134018231059,0.013303907856294676,-0.22047554938174654,-0.08573733351823265,-0.18028450537860796,0.027236109728457948
49,DDCas,-0.011622458311085264,-0.09658966587405506,-0.057439698628186826,-0.11829163541922728,-0.13412274066225988,-0.1772115653727848,-0.07783553251015977,-0.11480356733063739,-0.14002461756039078,-0.21394387062941073,-0.05743969862818077,-0.1182916354192201,-0.07974745771671055,0.04499716244657003
50,BZCyg,-0.2867899904668925,-0.23936153985842717,-0.26860197612058107,-0.2268678001761016,-0.20540070726671947,-0.16572493287790785,-0.20761261428264555,-0.1625039332078007,-0.2818514389833752,-0.24655146485634682,-0.2686019761205756,-0.22686780017609337,-0.2531431172067982,0.0378267524462182
51,SYAur,-0.21632182445302867,-0.44715117136427,-0.20928062093254854,-0.41402072214532015,-0.2521715051577075,-0.4345253664337034,-0.31207876718006866,-0.4785561244031014,-0.20518889752942665,-0.4224421103247383,-0.20928062093254757,-0.41402072214531804,-0.23405370603088793,0.042849417096717794
52,YSct,-0.20341531375692598,-0.04160510358426073,-0.23435475023539853,-0.07024474105542727,-0.24923444413704118,-0.08548671468750198,-0.19370420291931212,-0.03495525949638949,-0.252054371649563,-0.09724351675649541,-0.23435475023539257,-0.07024474105541882,-0.2278529721556056,0.023784333344956145
53,TWNor,-0.27192551928080627,0.1354079244527521,-0.2111077589748847,0.18749799662938207,-0.23382034931512763,0.15234435389743134,-0.2707010818654393,0.09628940948793313,-0.2181553369849442,0.172180808901249,-0.21110775897487866,0.1874979966293892,-0.23613630089934678,0.027871956238281658
54,ZLac,-0.3149321660168917,-0.1675068848782888,-0.32447186530811645,-0.17058040625500176,-0.3684137782643733,-0.21221369211163355,-0.27541294002300476,-0.12440727719849948,-0.26978510985291904,-0.12614974501126247,-0.32447186530811717,-0.17058040625499452,-0.3129146207955704,0.034000635765957576
55,XXCen,-0.3623839460796102,-0.16050831211642333,-0.3659733551812539,-0.15676433407448012,-0.34327217914865915,-0.13258576040513229,-0.34095052880228255,-0.13956793363890294,-0.2591263352599275,-0.06078885675732021,-0.36597335518125107,-0.15676433407446966,-0.33961328327549745,0.01752521198177644
56,TYSct,-0.3947973549915876,-0.11606210235055271,-0.40200813925085466,-0.11663417562244445,-0.421178297887764,-0.13657034817082103,-0.5128162015803324,-0.24275339213433017,-0.5541286177926802,-0.2800062188569837,-0.4020081392508494,-0.11663417562243744,-0.44782279179234474,0.049610361081907785
57,V340Nor,-0.22788729102046243,0.075483405265778,-0.2502994236442328,0.05348595251792041,-0.154952259225783,0.14400113910337992,-0.12819824878288638,0.15627942555916383,-0.16033860234326283,0.13360195476899855,-0.2502994236442326,0.053485952517922375,-0.19532920811014332,0.05054358777349392
58,AAGem,0.16232589395612382,-0.024560494589945046,0.1202910862112623,-0.03289068124403602,0.1604010513975307,0.03279139955709641,0.10470305273466493,-0.012362357758806225,0.016901520285569852,-0.1510514279518751,0.12029108621126527,-0.03289068124403286,0.11415228179940283,0.03386228893286692
59,RXAur,-0.18716103729682843,-0.1399307612091797,-0.18807812699966298,-0.11992114838863387,-0.17927131210848835,-0.09832174100045056,-0.2840708865691421,-0.2054343472550856,-0.2559779673368925,-0.20103413236540033,-0.18807812699965404,-0.11992114838862385,-0.21377290955177808,0.04330294272386951
60,UUMus,-0.056444492624544346,0.0880714206355842,-0.04317645764566152,0.12407834529370956,-8.377635211623295e-05,0.17862501042245035,-0.019698371828107297,0.1492785853621026,0.05992565728007424,0.2128007796400572,-0.043176457645659846,0.12407834529371185,-0.0171089831360025,0.025116519135161705
61,RYCas,-0.19297607411012296,-0.07661760750315129,-0.17926031920209584,-0.054633546021885984,-0.08126305492008777,0.04742756997871312,-0.19784831269119768,-0.07267702830078783,-0.2040387634852357,-0.08990196474924339,-0.1792603192020842,-0.05463354602187267,-0.17244114060180404,0.048546761975275486
