,0.54,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.540000
0,EVSct,-1.1044787284016602,-0.5731443005369387,-1.061177140873263,-0.5836598568382796,-1.164495125799498,-0.7275591217799109,-1.1365531897192516,-0.7144306318699091,-1.096453892291506,-0.6166204704972366,-1.0611771408732524,-0.583659856838269,-1.1040558696597385,0.0404590647619221
1,SZTau,-1.193808217592809,-0.44561364117650293,-1.1444660252851175,-0.4625280783190382,-1.0767439704693111,-0.4475613778205237,-1.0331112346027211,-0.43047576928761705,-1.0812012437532401,-0.39535027311462984,-1.144466025285114,-0.462528078319035,-1.1122994528313856,0.06167117103757767
2,SSSct,-0.6817295370298116,-0.3640972686405637,-0.6876596985851964,-0.4078053621415252,-0.7090971394791865,-0.45571874220739755,-0.6623157832904313,-0.41329013989182256,-0.7157245888202851,-0.4360907369277727,-0.6876596985851867,-0.40780536214151636,-0.6906977409650162,0.017562259040697067
3,QZNor,-1.0721404622214228,-0.18839576327016092,-1.0400758719884575,-0.21372359046405454,-0.9443290727243032,-0.16906192929383082,-0.9542666957903997,-0.2177313294242558,-0.9225255422724615,-0.09550020896178699,-1.0400758719884573,-0.21372359046405567,-0.9955689194975837,0.05517124603369301
4,ADGem,-0.4938420085434465,-0.47962080976075727,-0.4913221454919359,-0.48771758903584855,-0.4744621969417124,-0.4748593035310963,-0.41837359135875857,-0.40955092497325213,-0.41967489607451525,-0.42101017817848474,-0.4913221454919317,-0.4877175890358456,-0.46483283065038333,0.030799358002786836
5,YAur,-0.6157483831449071,-0.4559868310637672,-0.5812095632922282,-0.4452595867300533,-0.45116960153182456,-0.33009444299101054,-0.5045475587419551,-0.38071465747657646,-0.5116034103527854,-0.378287160864315,-0.581209563292226,-0.4452595867300461,-0.5409146800593211,0.06442147810527517
6,STTau,-0.8636158869738487,-0.4625061960923676,-0.7842387726447805,-0.41789798240402326,-0.7081214955558826,-0.368594347669341,-0.7141859982370522,-0.38580127193199015,-0.7451569608148574,-0.3804079689250665,-0.7842387726447752,-0.4178979824040129,-0.7665929811451994,0.06302821728725588
7,BFOph,-0.6732736517550303,-0.10588820319367284,-0.6693648740435167,-0.1289248373997505,-0.6099737596165771,-0.09599950806550561,-0.5636573696400713,-0.07488305568049632,-0.55166959989901,-0.016018911306630322,-0.6693648740435075,-0.12892483739974359,-0.6228840214996189,0.045754933184481386
8,SYCas,-0.9004413565585181,-0.4463977692278632,-0.8855066617097865,-0.46271405444486896,-0.8044121407703996,-0.4077495152703791,-0.8701786669264542,-0.4894331340425128,-0.9046156838132658,-0.48469447209576066,-0.8855066617097829,-0.4627140544448619,-0.8751101952480346,0.03798779121881551
9,XSct,-0.5179035221362985,-0.6066278965744079,-0.4601959157201802,-0.580767841337904,-0.36049187134319294,-0.4944197703985823,-0.5957234436264218,-0.7069513617661562,-0.6048020975115579,-0.7241603511701262,-0.4601959157201778,-0.5807678413378938,-0.4998854610096382,0.08734329150570215
10,YLac,-0.8406322862387191,-0.5911487867017305,-0.805949197335307,-0.5885590932447389,-0.7555389480188577,-0.5598089333973868,-0.6969034170454791,-0.5023563485345804,-0.6836814346926373,-0.46746583571367517,-0.8059491973353087,-0.588559093244734,-0.7647757467777182,0.055094099512584094
