,-0.8,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.800000
0,EVSct,-0.01179904940782027,-0.15263354155782732,-0.037922517406241814,-0.15376207352615645,-0.1012491514368946,-0.18018090414071958,-0.05073643116663121,-0.16190486572683288,0.01227270694785848,-0.1433900189282775,-0.03792251740623507,-0.15376207352615093,-0.037892826645994075,0.03485637732248322
1,SZTau,-0.1065794763014787,-0.028648805404809533,-0.12121140181809632,-0.03263029500691503,-0.10048583826679863,-0.021392070593304453,-0.10096229482448453,-0.02163733715536674,-0.08382856254765811,-0.014105536573015744,-0.12121140181808587,-0.03263029500690415,-0.10571316259610036,0.008527039091112285
2,SSSct,0.42780397882126975,0.03802776609253151,0.3355949248818248,0.022092421170597964,0.32208378063468107,0.02016585668475638,0.36906143510943373,0.031004993610511192,0.42283890188648615,0.03674467516155885,0.3355949248818365,0.02209242117060213,0.3688296577025887,0.04113316411574463
3,QZNor,0.020032446292439603,0.2213305274849248,-0.01682124852143621,0.2161741928480686,0.01957987709844447,0.24498173455280428,-0.0006622242037979143,0.23779349104326677,0.03540689315655482,0.259605507253632,-0.016821248521428408,0.21617419284807432,0.006785749216796058,0.015426659894097411
4,ADGem,0.6209330660465352,-0.05972323126011862,0.5319324779750852,-0.057819805723725366,0.5493945054730789,-0.03995405430026803,0.6091561181366668,-0.03165461484027573,0.6943906954096675,-0.0251270403552182,0.5319324779750926,-0.05781980572371554,0.5896232235026877,0.03971275641005988
5,YAur,0.4874999864614362,-0.025244045492859093,0.442045060174793,-0.015361803417930186,0.5137334817385383,0.0237470800378875,0.5052223465036584,0.00541116090207329,0.5764914383100059,0.01184959074997791,0.44204506017479767,-0.015361803417921868,0.4945062288938716,0.02866087963135994
6,STTau,0.2246153516437928,-0.014078980042924173,0.23901585082224078,0.011999800908099876,0.2766775737753109,0.03788487324449746,0.28413283872681827,0.032164309215430606,0.33795978372311797,0.041479917475532244,0.23901585082224805,0.011999800908104796,0.26690287491892145,0.027195298896445008
7,BFOph,0.43396590303197263,0.3032616089176241,0.3538897494235046,0.30097294591237267,0.3830838561619244,0.33412250733854376,0.4094299036141576,0.3390905600663943,0.468793448776084,0.35816158967530604,0.3538897494235157,0.30097294591238544,0.40050876840519317,0.030314711809415765
8,SYCas,0.20409630849686616,-0.03185850103504579,0.1377479617572348,-0.032816271132745774,0.17841121291521456,-0.001427546147316865,0.16938787236520392,-0.013562979442662262,0.22816559025768793,0.0006064186480270453,0.13774796175724036,-0.032816271132738425,0.1759261512582413,0.023979452322486994
9,XSct,0.5799335537199549,-0.16407734066145443,0.5630587077468411,-0.15087005802578093,0.6193334014607296,-0.1328439000266199,0.57120471826514,-0.17180081138979042,0.6614146916903599,-0.16772722201286758,0.5630587077468459,-0.15087005802576828,0.5930006301049785,0.023641826388611818
