,0.4,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.400000
0,EVSct,-1.0197567988647884,-0.5248831901832266,-0.9542699414065594,-0.5387451630594011,-1.0149926734662469,-0.5881149803465616,-1.0155155293291476,-0.5754607293241335,-1.0475654105707968,-0.5739801328187275,-0.9542699414065553,-0.5387451630593889,-1.0010617158406825,0.027119921592330766
1,SZTau,-1.1145372257584467,-0.40089845403020874,-1.0375588258184139,-0.4176133845401596,-1.014229360296151,-0.4293261467991465,-1.065741392987001,-0.4351932007526674,-1.1436666800663131,-0.4446956504634661,-1.0375588258184052,-0.4176133845401425,-1.0688820517907884,0.038930450230710824
2,SSSct,-0.5801537706356983,-0.3342218825328677,-0.5807524991184928,-0.3628906683626466,-0.5916597413946713,-0.38776821952108564,-0.5957176630530827,-0.38255086998678944,-0.6369992156321689,-0.3938454387288912,-0.5807524991184828,-0.3628906683626362,-0.5943392314920996,0.009936125213721857
3,QZNor,-0.9879253031645284,-0.15091912114047445,-0.9331686725217537,-0.16880889668517599,-0.8941636449309079,-0.16295234165303782,-0.9654413223663142,-0.17576237255403385,-1.0244312243621003,-0.1709846066368183,-0.9331686725217486,-0.16880889668516402,-0.9563831399778921,0.03703760180494991
4,ADGem,-0.38702468341043283,-0.43197287988551786,-0.38441494602523224,-0.44280289525697,-0.3643490165562733,-0.4478881305061101,-0.3556229800258496,-0.4452104784375764,-0.36544742210898795,-0.4557171542456683,-0.3844149460252275,-0.4428028952569539,-0.3735456656920006,0.013281812662712078
5,YAur,-0.5204577629955318,-0.3974936941182583,-0.4743023638255245,-0.4003448929511748,-0.400010040290814,-0.3841869961679547,-0.45955675165885806,-0.40814470269522735,-0.4833466792086493,-0.41874052314047244,-0.47430236382552193,-0.4003448929511602,-0.4686626603008166,0.04333197066092253
6,STTau,-0.7833423978131753,-0.3863286286683234,-0.6773315731780768,-0.37298328862514474,-0.6370659482540414,-0.37004920296134464,-0.6806462594356982,-0.3813915543818702,-0.7218783337955373,-0.38911019641491784,-0.6773315731780714,-0.3729832886251336,-0.6962660142757667,0.05405884337431815
7,BFOph,-0.5739918464249955,-0.06898803970777509,-0.562457674576813,-0.08401014362087199,-0.530659665867428,-0.07381156886729835,-0.5553491945483588,-0.07446530353090641,-0.5910446687425714,-0.07242852421514456,-0.5624576745768041,-0.08401014362085311,-0.5626601207894951,0.017363235211718696
8,SYCas,-0.8038614409601018,-0.40410814966044506,-0.7785994622430827,-0.4177993606659904,-0.7353323091141378,-0.409361622353159,-0.7953912257973126,-0.42711884303996306,-0.8316725272609674,-0.4299836952424233,-0.7785994622430794,-0.4177993606659768,-0.787242737936447,0.02789255267914104
9,XSct,-0.42802419573701317,-0.5363269892868536,-0.3532887162534765,-0.5358531475590255,-0.29441012056862276,-0.5407779762324619,-0.39357437989737626,-0.585356674987091,-0.3984234258282953,-0.5983173359033175,-0.3532887162534739,-0.535853147559007,-0.3701682590897097,0.04979801807085374
10,YLac,-0.7475964258684658,-0.536582212999658,-0.6990419978686033,-0.5436443994658603,-0.6698717379606006,-0.5495522406100241,-0.6850527966719111,-0.5514630384827705,-0.7157853567635856,-0.5616245380075807,-0.6990419978686048,-0.5436443994658481,-0.7027317188336285,0.029235161235648
11,TVul,-0.7176326274569869,-0.36251697075532957,-0.69303277169958,-0.3774600378091694,-0.6615866743600108,-0.3765710005700725,-0.692497129926295,-0.3823488525043675,-0.7193992100235108,-0.3837690582882124,-0.6930327716995747,-0.37746003780915244,-0.6961968641943264,0.02050034574092312
