,-0.2,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.200000
0,EVSct,-0.5669706646225086,-0.5430045003715801,-0.4328020340629841,-0.41450725219204665,-0.387030424519596,-0.3760606276108685,-0.23235589527898584,-0.22765656302961343,-0.1544608288928863,-0.15346169429389475,-0.1322857792567412,-0.1316264695229318,-0.3176509377722837,0.14790948129588824
1,SZTau,-0.6603043198324623,-0.33818613869517206,-0.5040490991087505,-0.2581573577825751,-0.35458407220422583,-0.1596670864866151,-0.2720532926468622,-0.10689877849706608,-0.23515647270283158,-0.08039304542818287,-0.23823095585574852,-0.0870968769909875,-0.37739636872514687,0.16408487701762364
2,SSSct,0.005570231254838298,-0.1536976095732065,0.004252084927356847,-0.11732641952153303,0.031533868765290185,-0.06860569245550066,0.09955439929964793,0.010004797715105651,0.11481771341083355,0.026474388331108482,0.12425336850696239,0.03785412912003102,0.06333027769415486,0.04782691300963321
3,QZNor,-0.48970897553305204,0.16748291124677178,-0.3738236454450791,0.12784955057005296,-0.23099845335193467,0.15706467890155834,-0.19967585719088035,0.1152470740211636,-0.15283104582828064,0.13861494725370482,-0.17171905302172238,0.11056307915427419,-0.26979283839515816,0.12806923084136346
4,ADGem,0.21614912196900743,-0.33140269216314894,0.1649993297473331,-0.2529791543230166,0.21239307897665669,-0.1390813243228401,0.2767558898502901,-0.04826112423956028,0.28804548813878483,-0.031880233314322486,0.28229138015178057,-0.03300034608147009,0.2401057148056421,0.0456237682909374
5,YAur,0.07679508118425793,-0.35752293152453757,0.058622199377295625,-0.27291826833934285,0.15808503252151593,-0.12242291117618297,0.12577365345444314,-0.13581622163668655,0.13480680647061963,-0.1237795417771792,0.12451586281799432,-0.1305361436860087,0.11309977263768776,0.04021858237072452
6,STTau,-0.24391650632861062,-0.40392878297727086,-0.18619580635771885,-0.3083425824253993,-0.11271420678723526,-0.23179426526194663,-0.09767793091409502,-0.2292127713200325,-0.08124654602931045,-0.2191336976217475,-0.08377833362215556,-0.2222140130136467,-0.1342548883398543,0.06427558673541534
7,BFOph,0.01899116638584536,0.35870383300823433,0.014497073576980601,0.2738197198536121,0.08396460361026997,0.26661141082573486,0.11401965516485574,0.23660878970408047,0.12951536639909703,0.23183973397200192,0.10757878319637607,0.20295043869759075,0.07809444138890413,0.04707149375695776
8,SYCas,-0.3165806317809954,-0.23029782484194333,-0.2416646044129746,-0.175799866291561,-0.06872035529117265,-0.03367551601919383,-0.010045758097400923,-0.004147517333858486,0.033361333820008506,0.028270080850797845,0.05423673734038393,0.04617337954353153,-0.0915688797370252,0.14171017037876746
9,XSct,0.22437205449921277,-0.7545519090124786,0.17127637748031388,-0.5759938236736496,0.182998954329653,-0.41556298803816205,0.052469129147057175,-0.4618312412835761,0.07073219659504512,-0.42098759310586226,0.09558302094458446,-0.38416551947802835,0.1329052888326444,0.06858910404248206
