,0.54,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.540000
0,EVSct,-1.3438067294818694,-1.0121099063075194,-1.0258066637266183,-0.7726029819141375,-0.8654536125265597,-0.6444926595045544,-0.648505719858575,-0.43289197072668006,-0.5528283656004929,-0.3395677583150001,-0.5219671855499365,-0.3097170832034584,-0.8263947127906753,0.2918263236273855
1,SZTau,-1.4371403846918231,-0.8072915446311113,-1.097053728772385,-0.6162530875046659,-0.8330072602111894,-0.42809911838030096,-0.6882031172264513,-0.3121341861941327,-0.6335240094104381,-0.26649910944928823,-0.6279123621489439,-0.2651874906715141,-0.8861401437435384,0.3122851163815194
2,SSSct,-0.7712658336045226,-0.6228030155091459,-0.5887525447362775,-0.4754221492436238,-0.4468893192416735,-0.3370377243491865,-0.3165954252799412,-0.19523060998196098,-0.2835498232967729,-0.15963167568999692,-0.265428037786233,-0.14023648456049556,-0.44541349732423674,0.18928952777943966
3,QZNor,-1.266545040392413,-0.30162249468916746,-0.9668282751087134,-0.23024617915203785,-0.7094216413588983,-0.11136735299212747,-0.6158256817704695,-0.089988333675903,-0.5511985825358872,-0.04749111676740054,-0.5614004593149177,-0.0675275345262524,-0.7785366134135497,0.2760696023218533
4,ADGem,-0.5606869428903535,-0.8005080980990882,-0.4280052999163012,-0.6110748840451073,-0.2660301090303069,-0.4075133562165259,-0.13939393472929898,-0.2534965319366269,-0.11032204856882163,-0.21798629733542785,-0.10739002614141471,-0.21109095976199663,-0.26863806021274944,0.17846660215942237
5,YAur,-0.700040983675103,-0.8266283374604768,-0.5343824302863387,-0.6310139980614337,-0.32033815548544775,-0.3908549430698688,-0.290376171125146,-0.3410516293337532,-0.26356073023698684,-0.30988560579828456,-0.26516554347520105,-0.3086267573665353,-0.3956440023807038,0.17934475213449252
6,STTau,-1.0207525711879715,-0.8730341889132103,-0.7792004360213531,-0.66643831214749,-0.5911373947941989,-0.5002262971556324,-0.5138277554936841,-0.4344481790170991,-0.4796140827369169,-0.40523976164285286,-0.4734597399153509,-0.4003046266941733,-0.642998663358246,0.212499207276656
7,BFOph,-0.7578448984735155,-0.11040157292770492,-0.5785075560866537,-0.08427600986847872,-0.3944585843966937,-0.001820621067950931,-0.30213016941473336,0.03137338200701384,-0.26885217030850944,0.04573366995089658,-0.28210262309681927,0.024859825017064206,-0.4306493336294875,0.19153716186571035
8,SYCas,-1.0934166966403562,-0.6994032307778826,-0.8346692340766089,-0.5338955960136518,-0.5471435432981363,-0.30210754791287964,-0.4261955826769901,-0.20938292503092512,-0.36500620288759794,-0.1578359831703075,-0.33544466895281144,-0.131917234136995,-0.6003126547554168,0.287757845938523
9,XSct,-0.5524640103601481,-1.2236573149484178,-0.4217282521833204,-0.9340895533957404,-0.29542423367731063,-0.6839950199318479,-0.363680695432532,-0.6670666489806427,-0.3276353401125614,-0.6070936571269676,-0.29409838534861094,-0.5622561331585548,-0.3758384861857473,0.09989583361642698
10,YLac,-1.0130051475613615,-1.0316476318208125,-0.7732863721842463,-0.7875172761990952,-0.5406821128526602,-0.5412176825832089,-0.3888958593736991,-0.37386520554281366,-0.33883968173892004,-0.32049386765227916,-0.3413730920035576,-0.3208966903106964,-0.5660137109524074,0.26209527070609734
11,TVul,-0.9670025247060303,-0.6582169565144331,-0.7381698661878107,-0.5024556919957518,-0.5025460718948668,-0.3067043231973543,-0.37397517769749866,-0.19540643787718268,-0.3150022501388199,-0.14277471633383587,-0.3200810910614023,-0.15009759646486512,-0.5361294969477381,0.251939351105605
12,XYCas,-1.113541453554196,-0.40360080469318727,-0.8500316439345019,-0.30809221732304515,-0.4982369216223024,-0.06298219593108487,-0.31832885083940043,0.05794077972721276,-0.2497381860902315,0.10787478649473622,-0.21522623888817302,0.13462299868806457,-0.5408505491548009,0.34456481568190483
13,TVel,-0.612240466011435,-0.4069383705625947,-0.46735913435987453,-0.31063997752869965,-0.33861111093895724,-0.21048162805675974,-0.26854741826564454,-0.15437183671093554,-0.25531799599869137,-0.14674651663098132,-0.27767988307285474,-0.17073402308747224,-0.36995933477457627,0.14093789009731453
14,VZCyg,-0.6897170179985526,-0.704163353912233,-0.5265015404569112,-0.5375292777955987,-0.369974495724326,-0.367377256572987,-0.23441569599121445,-0.2159028475266548,-0.18058217480146554,-0.15862536691405515,-0.1924100702353332,-0.16829536347144927,-0.3656001658679671,0.1924639486229748
15,CFCas,-0.4892700814329154,-0.3031967681086438,-0.3734886117808522,-0.23144791458675246,-0.27052014711464734,-0.15413862966903175,-0.18357051310700492,-0.07948358498730038,-0.18521296786965516,-0.0862513316206579,-0.19276076998849828,-0.09519698824620579,-0.2824705152155956,0.12346495069944083
16,VLac,-1.204333632835353,-0.8984143941689275,-0.9193386510193542,-0.6858125146327698,-0.6647137263254531,-0.46708495890931523,-0.5298817251994159,-0.3448554819978691,-0.4827714233426593,-0.30256472427395187,-0.4482277033776232,-0.26975230911897125,-0.7082111436833097,0.2847831435539848
17,V0386Cyg,-0.7405643122108299,-0.08395993827961756,-0.5653162688632294,-0.06409155593864041,-0.480983797338573,-0.07913032351267124,-0.3329604001407279,0.013491620717650865,-0.3224618017788592,0.006327584447386646,-0.3224440388518671,-0.0008969117632687609,-0.46078843653068113,0.16274863120024044
18,CRSer,-1.1365476092786597,-1.1608145370230605,-0.8675935948692067,-0.8861179671931773,-0.610761062361627,-0.5992520835674693,-0.43625243089297927,-0.3893392464504196,-0.3827457019267753,-0.3260318366778644,-0.33667521546236984,-0.2756693158142111,-0.6284292691319363,0.29691241342558633
19,V1162Aql,-0.6539205904939895,-0.17800764956700915,-0.4991760232778558,-0.13588370195955052,-0.3072775238955854,-0.014265913068420344,-0.19145944215705898,0.06368442129970278,-0.15413738469750413,0.08847970678753131,-0.15537150549204212,0.08235374963448103,-0.326890411669006,0.19707694100242604
20,CVMon,-0.5737199708855739,-0.5260079225811103,-0.4379541762485304,-0.4015327653290931,-0.4133230545574451,-0.3918470370431543,-0.3952537536685451,-0.3870995920215139,-0.38286227719666427,-0.38063978441242774,-0.4073400628186002,-0.4062801370246845,-0.4350755492292264,0.0729546238700158
21,SWCas,-0.8328812810799862,-0.6998839337605327,-0.6357872374656393,-0.5342625448553696,-0.47932857828257436,-0.3853230054191102,-0.35183424232417626,-0.2529781356742379,-0.32275644736555087,-0.2235840983255758,-0.29995727961684865,-0.2001939987743168,-0.4870908443557959,0.2000226516057086
22,XLac,-1.5788663986308376,-1.207108050864832,-1.2052415256723958,-0.921456527377735,-0.9219966151640904,-0.6722667155791084,-0.7150541328628718,-0.4687617042299047,-0.6558821099317191,-0.41118069245424793,-0.642406131683036,-0.39860882211077714,-0.9532411523241585,0.35798757461891817
23,VCen,-0.8697504624750154,-0.6374172540642269,-0.6639316507442876,-0.48657805653757924,-0.48074341891814754,-0.33980488450538526,-0.38309037905422105,-0.2630709794866262,-0.3476747739104867,-0.23545154886643768,-0.35783707750988797,-0.2480611146982378,-0.5171712937686744,0.20319655160832212
24,FMCas,-0.8509740887551664,-0.31982007336647655,-0.649598541034479,-0.24413746058509775,-0.4852242781770496,-0.15949600411604092,-0.3571765351648728,-0.07537463486893634,-0.3321754582946737,-0.06469940319133072,-0.3203127784461845,-0.058522710198913065,-0.49924361331207096,0.20414487998523664
25,CSVel,-0.6837647012756964,-0.5891702550065945,-0.521957787233357,-0.4497482862645775,-0.39082326642777165,-0.3344395526188148,-0.34956216352293845,-0.3027146075111382,-0.31514986034428566,-0.27283359105083593,-0.3334113459006057,-0.29196526356173064,-0.43244485411744243,0.14122334061041006
26,MWCyg,-1.1516248953068806,-0.10290078491484292,-0.8791029735167036,-0.07855021749224789,-0.7010411138700355,-0.05638188523803131,-0.5323693393710959,0.027098180619534812,-0.4958511115900444,0.03751666715029022,-0.4755074220758813,0.04641150638726107,-0.7059161426217736,0.2543581281576248
27,FMAql,-0.90364381466784,-0.9121689132138417,-0.6898044386777418,-0.6963121474914835,-0.5723684688454137,-0.5509868341813979,-0.3296951659489594,-0.2739488741733831,-0.2867342051504648,-0.22147466427376294,-0.2716831286445521,-0.20228349993760034,-0.5089882036558286,0.2369655109590965
28,CRCep,-0.6521189564767707,-0.015700732026352054,-0.49780073013494014,-0.011985291623170996,-0.4400590959120091,-0.061801900177203745,-0.3474045285587588,-0.03688725934822426,-0.3636917860670762,-0.07495127607887075,-0.33028728198421997,-0.050074058909297677,-0.4385603965222959,0.11982102697399663
29,RSCas,-1.0094045694307736,-0.40672685390600427,-0.770537839260133,-0.31047851443206564,-0.5276533234718337,-0.16047031812610138,-0.4503386041343225,-0.13605820296759286,-0.41826803877361113,-0.12101394162586573,-0.39169132537462586,-0.10127395649843282,-0.5946489500742166,0.23888962674006725
