,-0.76,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.760000
0,EVSct,0.020905276352142843,-0.18800581479843684,0.01595822622300938,-0.14351588915911329,-0.02807155938011549,-0.12520128286895837,0.003697121487867938,-0.06021661255166975,0.016305153877551597,-0.03505011482635765,0.0038785524988199163,-0.025159104002970275,0.005445461843212697,0.019209187159005506
1,SZTau,-0.07242837885781087,0.01681254687797118,-0.055288838822757036,0.012834005250358327,-0.02932736907676585,0.005291330223557877,-0.019988105482252244,-0.004987547408930294,-0.009805506222371925,-0.003145850599646373,-0.011996726272700646,-0.005214001016676458,-0.033139154122443094,0.023567623438738312
2,SSSct,0.5934461722294897,0.20130107599993674,0.4530123452133503,0.15366494351140042,0.32915634775539737,0.09373631397955506,0.19738173355869137,0.047204776980330675,0.13753167190325966,0.029664364211523152,0.08058357792021131,0.0171757970157489,0.2985186414300666,0.1746553006029175
3,QZNor,0.09816696544159942,0.522481596819915,0.07493661484091438,0.3988409136029862,0.07578881985586375,0.25208063007784165,0.029769663253943673,0.10383468675522292,0.027320769664182974,0.06528775168376302,0.010914039821525508,0.035164507423274594,0.05281614547967162,0.03002039368061409
4,ADGem,0.8040250629436589,0.023595993409994298,0.6137595900333267,0.01801220870991671,0.4818172196312467,0.003959405508834807,0.28007877931935976,-0.01058805906238034,0.1945909159454139,-0.008851216782298811,0.10597357089150972,-0.011992250910411336,0.41337418979408597,0.23195609935313227
5,YAur,0.6646710221589094,-0.0025242459513943327,0.5073824596632891,-0.0019269053064095432,0.422025327710736,0.0012588287332768455,0.21086811093364066,-0.02476312686381863,0.14594723760197392,-0.01780726030367661,0.07652350354008652,-0.0171297290324216,0.3379029436014393,0.1991953235820732
6,STTau,0.3439594346460409,-0.048930097404127626,0.26256445392827465,-0.037351219392466106,0.20027362314554173,-0.052346645136389175,0.09018943639734456,-0.055008322913685716,0.06340477437105263,-0.0378259236448286,0.025327819911242562,-0.03153517052041588,0.1642865903999162,0.11037019998204495
7,BFOph,0.6068671073604968,0.7137025185813777,0.4632573338629741,0.5448110828865451,0.3632153928382412,0.33811978165449574,0.20347911222862541,0.14315416445335996,0.1418545781407149,0.08733008542738044,0.07825399790491605,0.04681173029083996,0.30948792038932815,0.17762595676523726
8,SYCas,0.27129530919365613,0.1247008607311999,0.2070956558730189,0.09519149674137223,0.20979475911543546,0.0644372715924775,0.11171203779502309,0.009578098312755488,0.08377703784611856,0.0049152832217371975,0.0436245710774893,-0.0033695157638183836,0.15454989515012355,0.07293426096058248
9,XSct,0.8122479954738642,-0.39955322343933525,0.6200366377663075,-0.30500246064071607,0.4660735024754443,-0.19922890997178944,0.2069719816525062,-0.11958241432558883,0.1461380335461564,-0.07420947628823762,0.08156056023535974,-0.046643982474308204,0.3888381185249397,0.2606574742224885
10,YLac,0.35170685827265097,-0.20754354031173006,0.26847851776538145,-0.15843018344407112,0.23078686372841542,-0.10679406340153544,0.13366292303064886,-0.06432753632244284,0.09677103276102861,-0.04153740671591342,0.045174874931044114,-0.03239475194800723,0.18776351174819492,0.09768599641349746
11,TVul,0.39770948112798216,0.16588713499464952,0.30359502376181724,0.12663140075927226,0.26024127315851653,0.07959308181664096,0.1477437459271067,0.0236367660539454,0.10855468411373403,0.014392569656131803,0.05544719451185654,0.002401444777839993,0.21221523376683551,0.11092954411193262
12,XYCas,0.2511705522798164,0.42050328681589527,0.19173324601512584,0.32099487543197885,0.23295508439971643,0.22738289816464988,0.14681895763756125,0.09437676358920669,0.10930329666755279,0.0582597233827862,0.06209381287348537,0.02935672959117386,0.16567915831220967,0.05672158171493341
13,TVel,0.7524715398225774,0.4171657209464878,0.5744057555897533,0.31844711522632435,0.4261737007861489,0.18679341578144407,0.2333962436845144,0.07263389007349177,0.15861283461301545,0.04251963101251901,0.08544674829644183,0.019941838317988018,0.3717511371320752,0.22810129952644553
14,VZCyg,0.67499498783546,0.1199407375968497,0.5152633494927166,0.09155781495942544,0.3928858365986192,0.05201099700822351,0.23320141841533037,0.019734114647894672,0.1673222413121318,0.012816135432832686,0.09083649875405886,0.0028152325468983087,0.34575072206805285,0.19495216219091685
