,0.36,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.360000
0,EVSct,-1.15484660559716,-0.8980031859447233,-0.8815622943489776,-0.68549861522498,-0.689394263775652,-0.44960183483549043,-0.3671789841130465,-0.1966495429504734,-0.23773436473047804,-0.11754759642411713,-0.14582252716416522,-0.07051970228209248,-0.5794231732882466,0.3462446431019363
1,SZTau,-1.2481802608071138,-0.6931848242683153,-0.952809359394744,-0.5291487208155083,-0.6906500734723025,-0.3191092217429742,-0.3908642110831667,-0.141420477807734,-0.2638450248304015,-0.08564333219740591,-0.16169780593568572,-0.05057459929579866,-0.6180077892539023,0.376191620664565
2,SSSct,-0.5823057097198132,-0.5086962951463497,-0.4445081753586367,-0.3883177825544663,-0.33216635664013927,-0.23066423798697697,-0.173494372042223,-0.08922815341847298,-0.11650784670476999,-0.052833117386236396,-0.06911750174277381,-0.0281848012633733,-0.28634999370139264,0.17849322586733815
3,QZNor,-1.0775849165077036,-0.18751577432637143,-0.8225839057310727,-0.14314181246288052,-0.5855338845396729,-0.0723199218886903,-0.34110644234697074,-0.03259824364358075,-0.2267187489438467,-0.01720972991399656,-0.13878703984145968,-0.010196090855847603,-0.5320524896517876,0.32455153098576933
4,ADGem,-0.371726819005644,-0.6864013777362923,-0.28376093053866036,-0.52397051735595,-0.17950548476429,-0.32044114645769717,-0.0907973262815547,-0.14702098946118405,-0.05944860266261572,-0.09134869838005835,-0.04372750877147535,-0.05735284918953354,-0.17149444533737335,0.12173020264183551
5,YAur,-0.5110808597903935,-0.7125216170976808,-0.39013806090869796,-0.5439096313722762,-0.23929737668480075,-0.3231417232332552,-0.16000799466727372,-0.16119605726262234,-0.10809228100605575,-0.1003047419014361,-0.07317757612289863,-0.0624903273115438,-0.24696569153002004,0.15642537642191298
6,STTau,-0.8317924473032621,-0.7589274685504142,-0.6349560666437124,-0.5793339454583328,-0.4610490812499949,-0.37674719710292126,-0.2806866692035698,-0.19144125331248937,-0.19063474423697702,-0.12032340524258814,-0.12437325975174257,-0.07689576879953802,-0.42058204473154315,0.24303215507042106
7,BFOph,-0.5688847745888062,0.0037051474350911495,-0.434263186709013,0.0028283568206785015,-0.2981073115572955,0.013719229687963769,-0.16739699337228897,0.006721234054556262,-0.11218494046731475,0.004832603829620925,-0.07144708175806902,0.0014511320117176936,-0.2753807147421312,0.17575924963459694
8,SYCas,-0.9044565727556468,-0.5852965104150867,-0.6904248646989681,-0.4467912293244945,-0.4515279452801012,-0.2599632803740546,-0.2591640678058913,-0.12685483208604822,-0.17026248076191108,-0.07758219837602237,-0.10607650858549589,-0.04873011404294059,-0.43031873998133574,0.28381579976299515
9,XSct,-0.36350388647543874,-1.1095505945856217,-0.2774838828056796,-0.8469851867065827,-0.19524920192009237,-0.5236294619383215,-0.1639041239484082,-0.2560153447243926,-0.10790148506187322,-0.15670695788599717,-0.06814051942762539,-0.09200458075343043,-0.1960305166065196,0.09449166105838208
10,YLac,-0.8240450236766519,-0.9175409114580166,-0.6290420028066056,-0.7004129095099378,-0.43053584066712125,-0.43119461536806747,-0.23721318257026558,-0.20076046672124656,-0.15726848584700107,-0.1240348883136729,-0.10452620473194102,-0.07775535022712943,-0.39710512338326437,0.25629838084458606
11,TVul,-0.7780424008213209,-0.544110236151637,-0.5939254968101698,-0.41535132530659447,-0.4010814312370201,-0.2448074701498911,-0.22313235967380768,-0.11279616434485826,-0.14548483449429556,-0.06810491194162774,-0.09425388515112859,-0.04295915350128221,-0.3726534013646237,0.24313899105969075
12,XYCas,-0.9245813296694865,-0.2894940843303912,-0.7057872745568612,-0.22098785063388787,-0.4283676199958202,-0.09701765380188213,-0.22405714796335313,-0.04205616680959694,-0.14473622194047686,-0.024237758214973322,-0.08760726678949976,-0.01600386868794831,-0.4191894768192496,0.30648005101161957
13,TVel,-0.42328034212672555,-0.2928316501997986,-0.3231147649822338,-0.2235356108395424,-0.23514900360938779,-0.137607136185088,-0.13747986191640005,-0.06379904032531192,-0.09542668399501414,-0.03997785058524057,-0.0642543313665433,-0.025418759961134126,-0.21311749799938415,0.12497425637611838
14,VZCyg,-0.5007568941138432,-0.5900566335494368,-0.3822571710792705,-0.45042491110644123,-0.26843686779691756,-0.2723895549583085,-0.13767468718558407,-0.11669881575090904,-0.08671727729589782,-0.0696813461649268,-0.05886458090892626,-0.042545365732223894,-0.23911791306340655,0.15818828399537635
15,CFCas,-0.30030995754820594,-0.18909004774584776,-0.2292442424032112,-0.1443435478975947,-0.17142082243232037,-0.08700170904439816,-0.09119554578389558,-0.034246389822192864,-0.06650946020992313,-0.02215527620478134,-0.04354082257897537,-0.013233777068055282,-0.1503701418260886,0.09034356099271114
16,VLac,-1.0153735089506435,-0.7843076738061314,-0.7750942816417133,-0.5987081479436125,-0.5426334584756316,-0.3673156924135933,-0.30927550273037346,-0.17338926375698346,-0.2083362446424838,-0.10727892399451108,-0.12861286640750463,-0.06559508168896622,-0.49655431047472504,0.30982031726290016
17,V0386Cyg,-0.5516041883261203,0.030146782083178503,-0.42107189948558865,0.023012810750516838,-0.3467095635701138,0.0031995875806055674,-0.17402429420871446,0.014376864185608122,-0.12185418104140827,0.008673225723837462,-0.07380190160231614,0.005877414004768575,-0.2815110047057103,0.1644930212816253
18,CRSer,-0.9475874853939501,-1.0467078166602644,-0.7233492254915659,-0.7990136005040196,-0.4984571762068325,-0.4768973242811123,-0.2674514481274645,-0.207715061775639,-0.1779494629685086,-0.1263980538050906,-0.1071776263279835,-0.07344756244078265,-0.4536620707527175,0.2972265441169323
19,V1162Aql,-0.4649604666092801,-0.06390092920421309,-0.3549316539002151,-0.04877933527039324,-0.22658123111457973,-0.0068663712793125276,-0.11562827801889614,0.005260549087231316,-0.07530206586759339,0.004979674955539207,-0.046951198278372124,0.0032118215518302205,-0.21405914896482278,0.15218571938509534
20,CVMon,-0.38475984700086446,-0.4119012022183143,-0.2937098068708896,-0.31442839863993594,-0.26863888084256354,-0.23787015008931636,-0.1778637985804405,-0.1279694447324111,-0.12291394439363895,-0.08146912193385145,-0.08550917244369971,-0.0538383662815225,-0.22223257502201613,0.09440106243111997
21,SWCas,-0.6439211571952768,-0.5857772133977366,-0.4915428680879983,-0.4471581781662118,-0.36162949937532207,-0.2756437274060841,-0.19611995679332012,-0.11959083450434135,-0.13311784690063627,-0.07335113856692119,-0.0815352191737963,-0.04292982674386914,-0.31797775792105826,0.19565195196149457
22,XLac,-1.389906274746128,-1.0930013305020356,-1.0609971562947549,-0.8343521606885773,-0.7686314094789084,-0.5183190164910493,-0.4227816899361281,-0.23384978254660202,-0.28527214487785857,-0.14392989799256703,-0.1779519108767018,-0.08748805500620371,-0.6842567643684133,0.42289562828551824
23,VCen,-0.680790338590306,-0.5233105337014309,-0.5196872813666469,-0.399473689848422,-0.36748619923098425,-0.25444062643426846,-0.2144743763251541,-0.12715917451130646,-0.14431581131015134,-0.07961869272831781,-0.09635614079605465,-0.052038504300634225,-0.3371850246032162,0.204540796608254
24,FMCas,-0.662013964870457,-0.2057133530036805,-0.5053541716568382,-0.15703309389594047,-0.36932934668691286,-0.09683716915490809,-0.19960233967436875,-0.04113838539512169,-0.13655629329539865,-0.025679770995111283,-0.08403809843996485,-0.016009190882237328,-0.32614903577065674,0.20174137953758364
25,CSVel,-0.49480457739098693,-0.4750635346437984,-0.3777134178557162,-0.36264391957542025,-0.2778900785827856,-0.23673878717443878,-0.17709526173355705,-0.1221880865709781,-0.11800057243320283,-0.07594029718120227,-0.0808768439221782,-0.04936951423980496,-0.2543967919864045,0.14100563339230382
26,MWCyg,-0.962664771422171,0.011205935447953175,-0.7348586041390628,0.008554149196909389,-0.5584719282815751,0.004704335249886352,-0.29667849829040926,0.014040009649814049,-0.2021066909871001,0.009781787811538933,-0.11883154519351924,0.007306594041762631,-0.478935339718973,0.2911333481134664
27,FMAql,-0.7146836907831304,-0.7980621928510456,-0.5455600693001009,-0.609207780802326,-0.43169217958385,-0.38078404199584215,-0.19722377397299407,-0.14475501535973953,-0.1311509843917445,-0.0867050151793107,-0.07979654211268006,-0.04864576032120238,-0.3500178733574167,0.22429591943296534
28,CRCep,-0.46315883259206114,0.09840598833644404,-0.35355636075729935,0.07511907506598609,-0.30331893801452514,0.020866476033703146,-0.16866907219078328,0.007049243084704025,-0.12371130163352162,0.0009290687645290216,-0.0729746547759782,-5.201978202434496e-05,-0.2475648599940281,0.1294681638508694
29,RSCas,-0.820444445546064,-0.2926201335432082,-0.6262934698824921,-0.22337414774290845,-0.4246014404728541,-0.1280619720152801,-0.25393885106786496,-0.06892348396942839,-0.172923258018366,-0.04338920909418898,-0.10582420093475559,-0.027612693791959405,-0.4006709443203995,0.24960884009217463
30,RRLac,-1.1042990224694862,-0.3406483754975963,-0.8429763530301427,-0.2600369278607625,-0.5719057400994789,-0.15721580830577314,-0.3294289746967293,-0.08848517474390116,-0.21786170499817648,-0.054956839578675316,-0.13573881822068234,-0.03788815144301727,-0.5337017689191159,0.3407414386340637
31,XXSgr,-0.6393256523323252,-0.5630027474128125,-0.4880348491086458,-0.4297730896281029,-0.37323613445663417,-0.2902270746009013,-0.2213398886923551,-0.14608323174917337,-0.14920461091606327,-0.09161703061274873,-0.09604919450045701,-0.05840414913972411,-0.32786505500108004,0.18443712515547117
32,BBSgr,-0.628061357772864,-0.48317793277340876,-0.4794361509716527,-0.3688381166209239,-0.34933878397585755,-0.21991094373873607,-0.18589325696671155,-0.08954154718614013,-0.12486110418543095,-0.05372300423616803,-0.07979588994989084,-0.03152455806811083,-0.30789775730373464,0.19269964216472496
33,VCar,-0.6527154608048691,-0.03332694627645505,-0.4982560769502825,-0.025440417004928884,-0.34864915485648773,-0.008029920887717923,-0.18893632065636584,-0.0022892731034485983,-0.12694797609982084,-0.001081156525602707,-0.08082779834334702,-0.0026928227343081222,-0.31605546461852885,0.2023355144130991
34,V0495Cyg,-1.3294048671874474,-1.4410030013934536,-1.0148128757156092,-1.1000022911400402,-0.716249520768995,-0.6571493799806728,-0.41013325385219834,-0.29004084146240683,-0.2751273135741368,-0.1757950377834778,-0.1666112563957447,-0.10096393924200275,-0.6520565145823553,0.4040546294887182
35,USgr,-0.6252854565021344,-0.44509978736034117,-0.47731714236804246,-0.3397708300460631,-0.34623566843382636,-0.20456130437812478,-0.1832986958573145,-0.08486824523607536,-0.12098128087247434,-0.050623919029755195,-0.0763540106131837,-0.030078014084431167,-0.30491204244116266,0.19291195598665276
36,TWCMa,-0.4991204303503314,-0.09443002889433857,-0.38100796209949017,-0.0720839915223972,-0.27638110573679514,-0.05876256283073858,-0.1517734716567894,-0.03673906569705602,-0.10398250162113257,-0.025040404252116268,-0.06770901420364114,-0.019433731958260588,-0.24666241427802996,0.15138600344187125
37,xSgr,-1.1502934041821054,-0.9874933988026919,-0.878086568077944,-0.7538117548112166,-0.6125916800900101,-0.4821382479279813,-0.35464337882022734,-0.24254626220855532,-0.2332096093195284,-0.15071747704008745,-0.15365038331997538,-0.0980179332040127,-0.5637458373016319,0.3496276225282636
38,V0600Aql,-0.8450779387914826,-0.5575239455758724,-0.6450976631996055,-0.4255907981495214,-0.5112489193995474,-0.27946027351849945,-0.23691167280762515,-0.10446278413471413,-0.15433385055735782,-0.06184928458297354,-0.09132147457514972,-0.035529907421478046,-0.41399858655512806,0.2646004504008879
39,V0459Cyg,-0.6642379065461212,-0.2770355179776198,-0.5070518370581082,-0.21147749463940568,-0.4135620495319493,-0.150751532418734,-0.20212495763520005,-0.05579740235074274,-0.1398815707624919,-0.035097914604667275,-0.08283254526828748,-0.020281282627552296,-0.33494847780035975,0.20116739007663118
40,CKSct,-0.1544188386244492,0.622703682685114,-0.11787697604919903,0.4753463226603905,-0.08296824904680664,0.3111607114741576,-0.036740537090278025,0.15301863058478268,-0.029786330518979033,0.09441297137342478,-0.008573995529625116,0.06012257292665568,-0.07172748780988951,0.05078896582459779
41,TZMon,-0.32066574115416596,-1.8065377022987428,-0.24478300851463106,-1.3790364139685074,-0.34664623692315855,-1.020485730100987,-0.28418002590116337,-0.5469969833464116,-0.2082223623280155,-0.35196066692271755,-0.1595810975711312,-0.22915673661048264,-0.2606797453987109,0.05429900270504977
42,V1344Aql,-0.6142453509617471,-1.091656713975584,-0.46888958088683075,-0.833325735859225,-0.3017930746931169,-0.4561678411813982,-0.15110961705846604,-0.1692858295826892,-0.09644305740943226,-0.0972021946899839,-0.05061019243810116,-0.04684205936889718,-0.28051514557461565,0.20252118342598685
43,RSOri,-0.7941334326643317,-0.8430670873830153,-0.6062087272246819,-0.643562662124441,-0.4432925910361426,-0.41176744002125953,-0.2447631654008925,-0.1928026884354095,-0.16248800529018406,-0.11925171257892983,-0.10363298956347008,-0.07394216096737005,-0.3924198185299504,0.2405566728743627
44,BKAur,-0.578712932734812,-0.17103252687271325,-0.44176559750749084,-0.13055918081886664,-0.283634974593305,-0.08063214072241034,-0.15722505417043167,-0.05038632536385355,-0.10244526796141043,-0.032350480094923396,-0.06625291984444961,-0.02442844213111822,-0.27167279113531656,0.18469338757956807
45,GHLup,-0.37940608189080527,-0.12869840273550565,-0.28962296327542475,-0.09824305552328716,-0.19310570506840236,-0.026777460658834712,-0.09683276666601409,0.009512392370727284,-0.0684559961962718,0.008057808111540908,-0.03959916736672025,0.00956639366804413,-0.1778371134106064,0.12239379004559604
46,FNAql,-0.5391279230322042,-0.09352841492170647,-0.41154803284901154,-0.07139573658145679,-0.3254560429003065,-0.06576753287842041,-0.15786690524439342,-0.02760321181364101,-0.10679322901987731,-0.018253241187126824,-0.06704548246845288,-0.01378195175456792,-0.26797293591904103,0.16550413973216516
47,YZSgr,-0.5523248274555704,-0.3035145987037021,-0.4216220056912757,-0.23169053336160605,-0.2985286171328643,-0.13995130136351633,-0.1567213169636801,-0.060266265601631765,-0.1026566774715906,-0.036198311973809745,-0.0634651191074567,-0.022238983274021264,-0.2658864273037396,0.17268689971277404
