,-0.52,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.520000
0,EVSct,-0.37898405163335375,-0.3896992391538153,-0.31009807177623494,-0.30252635862762683,-0.3098274639779937,-0.2977738035171563,-0.1751226920608859,-0.16684186774833856,-0.09345203937579341,-0.09253188500889456,-0.07136849436727785,-0.0679937748700415,-0.22314213553192327,0.10206401273387374
1,SZTau,-0.49738178752223117,-0.17935079614468852,-0.3816012255082294,-0.1409239625153338,-0.21847210015160579,-0.07526305344422698,-0.1044452013791754,-0.0389739447191198,-0.05243322968774682,-0.012117691607877921,-0.04256499645247129,-0.01588321719717493,-0.21614975678357665,0.17244487857961038
2,SSSct,0.22314111575320578,-0.06544862596853762,0.10113335678249863,-0.0862043951257393,0.008181210830920466,-0.08858915578833337,-0.002146317432893896,-0.04135933196812856,0.0033100002916806107,-0.02870662211412734,-0.0008746978579246556,-0.016855344192490015,0.055457444727914494,0.09454805415382497
3,QZNor,-0.31896412659773554,0.18238396690585762,-0.26664521420247,0.12443660259459571,-0.13149848232372713,0.10441438356740737,-0.08334989583287603,0.02215068984085243,-0.025045248270421407,0.04072149253523329,-0.03396793700038356,0.009027164695416177,-0.14324515070460228,0.1116133503824796
4,ADGem,0.46364614428681333,-0.2346439878636971,0.2986127709702436,-0.1703719511727242,0.16195924340027726,-0.08977176209528284,0.08322108868689132,-0.02373375663805806,0.07144046397992293,-0.008161060242419284,0.03391544367719407,-0.009672318629892731,0.1854658591668904,0.15905427434946873
5,YAur,0.3003755749788261,-0.1971163805609077,0.21004891131476527,-0.12120874369292128,0.1853059946733883,0.009224796414471326,0.05736557371205736,-0.0165122425073725,0.054285733880184046,-0.0020469964263256438,0.023378435862106806,-0.006729304309510988,0.13846003740355464,0.10014048123773799
6,STTau,-0.04835695498913051,-0.2144203929636327,-0.0062788005869899854,-0.09748107195699546,0.01453675966986015,-0.02448138190585117,-0.011128270381801197,-0.02533707516954177,0.006085512867797023,-0.009669265825162456,-0.004535151285733341,-0.010325725839641111,-0.00827948411766631,0.023124137658481148
7,BFOph,0.23247663355312526,0.30194375932645784,0.12487435319820084,0.22166097355124614,0.08628973622804417,0.16134403000704053,0.04515790512691842,0.08028540099886904,0.052797547786521244,0.06884670548061181,0.01840339284282083,0.03271905040707432,0.09333326145593845,0.0753760483707093
8,SYCas,-0.10278169004900672,-0.2044702643636604,-0.12462612675446072,-0.1617876103591241,-0.05922581627818699,-0.06451673394219862,-0.07298557846464976,-0.07264967404442392,-0.03752592286068001,-0.044134329066139656,-0.02974412273045479,-0.029607230175637513,-0.0711482095229065,0.03164681700791543
9,XSct,0.4504988374220131,-0.42442736739435244,0.3366771198864204,-0.28806410333641835,0.22079814536776562,-0.1306401597608308,-0.011854110447567845,-0.16169735047346828,-0.006750335222072627,-0.11272360301901294,-0.004830955970069828,-0.06589720789843298,0.16408978350608147,0.19104229045455356
10,YLac,-0.023694584647288908,-0.392554002103369,-0.03531085487706537,-0.278637130036248,-0.01646649879537851,-0.1443709967968794,0.0007972597172585805,-0.0520097537714614,0.02593470070083676,-0.01554263598643802,0.00032491063819867216,-0.021195755817820485,-0.008069177877239795,0.016847781877087457
11,TVul,0.022454454691282877,-0.13014167036508562,-0.025241305573040773,-0.10342808060138975,-0.008418899895754312,-0.03874242315083906,-0.012399566753291236,-0.02288400119509111,0.02139856080317771,0.007848945162789021,-0.005053248094662621,-0.00932601418567033,-0.001210000803714726,0.018129290354631136
