,0.56,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.560000
0,EVSct,-1.6030660491232034,-0.8499775521391544,-1.180374416914423,-0.6687905168483531,-0.8003974524978471,-0.5196351518612292,-0.3889915866227139,-0.2628144592308843,-0.24053445542484492,-0.1544948430796513,-0.15852739317843428,-0.10710589263176343,-0.7286485589602444,0.5218182059943615
1,SZTau,-1.7214637850120809,-0.6396291091300277,-1.2518775706464174,-0.50718812073606,-0.7090420886714591,-0.2971244017882999,-0.3183140959410034,-0.13494653620166552,-0.1995156457367982,-0.07408064967863467,-0.12972389526362765,-0.054995334958896885,-0.7216561802118978,0.6007482671094387
2,SSSct,-1.0009408817366439,-0.5257269389538768,-0.7691429883556894,-0.4524685533464655,-0.48238877768893285,-0.31045050413240627,-0.2160152119947219,-0.13733192345067435,-0.14377241575737093,-0.09066958018488411,-0.088033596669081,-0.05596746195421201,-0.45004897870040667,0.3395292853296464
3,QZNor,-1.5430461240875852,-0.2778943460794815,-1.136921559340658,-0.24182755562613056,-0.6220684708435804,-0.11744696477666564,-0.29721879039470406,-0.07382190164169335,-0.17212766431947285,-0.021241465535523453,-0.12112683581153999,-0.03008495306630579,-0.6487515741329234,0.5390639949440656
4,ADGem,-0.7604358532030364,-0.6949223008490363,-0.5716635741679443,-0.5366361093934504,-0.328610745119576,-0.3116331104393557,-0.13064780587493663,-0.11970634812060378,-0.07564195206912849,-0.07012401831317613,-0.05324345513396238,-0.0487844363916147,-0.32004056426143074,0.27074213495758287
5,YAur,-0.9237064225110235,-0.6573946935462469,-0.6602274338234227,-0.48747290191364756,-0.30526399384646496,-0.21263655192960165,-0.15650332084977064,-0.11248483398991828,-0.09279668216886744,-0.06400995449708244,-0.06378046294904954,-0.04584142207123301,-0.3670463860247665,0.33315573283591976
6,STTau,-1.27243895247898,-0.6746987059489717,-0.8765551457251781,-0.4637452301777217,-0.4760332288499931,-0.24634273024992406,-0.2249971649436292,-0.12130966665208755,-0.1409969031812544,-0.07163222389591925,-0.09169405009688975,-0.04943784360136308,-0.5137859075459874,0.4449663373104155
7,BFOph,-0.9916053639367244,-0.1583345536588813,-0.7454019919399872,-0.14460318466948013,-0.4042802522918091,-0.06051731833703239,-0.1687109894349096,-0.0156871904836767,-0.09428486826253019,0.006883747409854972,-0.06875550596833563,-0.006393067354647685,-0.4121731619723827,0.35571029549154054
8,SYCas,-1.3268636875388564,-0.6647485773489996,-0.9949024718926487,-0.5280517685798503,-0.5497958047980402,-0.2863780822862715,-0.28685447302647776,-0.16862226552696974,-0.1846083389097315,-0.10609728713689645,-0.1169030215416112,-0.06871934793735948,-0.5766546329512277,0.4534452584674929
9,XSct,-0.7735831600678367,-0.8847056803796916,-0.5335992252517676,-0.6543282615571446,-0.2697718431520877,-0.35250150810490377,-0.22572300500939585,-0.257669941956014,-0.15383275127112417,-0.17468656108976974,-0.09198985478122629,-0.10500932566015489,-0.34141663992223975,0.24607927650570188
10,YLac,-1.2477765821371387,-0.852832315088708,-0.9055872000152534,-0.6449012882569743,-0.5070364873152318,-0.36623234514095226,-0.21307163484456942,-0.14798234525400722,-0.12114771534821472,-0.07750559405719479,-0.08683398817295773,-0.06030787357954251,-0.513575601305561,0.442456090377211
11,TVul,-1.2016275427985668,-0.5904199833504248,-0.8955176507112288,-0.46969223882211597,-0.4989888884156076,-0.260603771494912,-0.22626846131511924,-0.11885659267763694,-0.12568385524587372,-0.05411401290796778,-0.09221214690581908,-0.04843813194739224,-0.5067164242320358,0.4221310907565191
12,XYCas,-1.333249155221691,-0.5348055576045225,-1.0562610286162961,-0.47841837151216343,-0.5879669216847119,-0.25643204021400967,-0.2900933429432035,-0.14243517428710978,-0.18701152366168927,-0.08971978495245347,-0.1182229719528805,-0.05804721143892429,-0.5954674906800786,0.46096694506733493
13,TVel,-0.8439025455891818,-0.3150631531341265,-0.6056160579593972,-0.23655050881292022,-0.3193839313793023,-0.11228336452367546,-0.11298327711040018,-0.019244834988886142,-0.05933823355668854,0.0026416763036836363,-0.046044554712800334,-0.007842929327662087,-0.3312114333846284,0.31060967970915554
14,VZCyg,-0.9053877849884298,-0.6091290239575506,-0.68862037126311,-0.49327759385622977,-0.41686161939248484,-0.31098944781971993,-0.17562317453708892,-0.12585544585845476,-0.08879093648763753,-0.05618458929490031,-0.07157245811614177,-0.051290404305327414,-0.39114272413081547,0.31624795295399977
15,CFCas,-0.7093375941893421,-0.2546352753374489,-0.5265708045974501,-0.20756505988585605,-0.29628934932159834,-0.11636186814403374,-0.09545550042347178,-0.013614351587325449,-0.062041228093909155,-0.008517551426081661,-0.038901385446551806,-0.0055483145167518864,-0.2880993103453872,0.2605230602011437
16,VLac,-1.4547534916567333,-0.7629155010456099,-1.0631355520643224,-0.5872080196095291,-0.6077504411418583,-0.34397355433102006,-0.29757975746938087,-0.17895925564099657,-0.20160791485042756,-0.12158194458638347,-0.12127394225635729,-0.07293202541533675,-0.6243501832398466,0.4972817906177728
17,V0386Cyg,-0.9820244761498815,-0.10313813143272788,-0.7319473673072362,-0.10350598072081854,-0.4723024619936328,-0.11484723386008278,-0.1652588890245697,-0.006173759125722364,-0.11012605646737622,-0.004293260101387149,-0.06734865682850616,-0.002516018273838235,-0.42150131796186713,0.3459782865447755
18,CRSer,-1.3714660021929397,-0.9847512425236349,-1.041720829134985,-0.799634874455304,-0.6264359019639015,-0.5011477527926445,-0.30565391560324534,-0.2470839245473413,-0.2105299132557083,-0.1700515331817983,-0.12456443820817203,-0.10069516103127865,-0.613395166726492,0.4617924325605893
19,V1162Aql,-0.8687644465662904,-0.2505879086039344,-0.6895478613915004,-0.24513093579696366,-0.3896678290239787,-0.13542113876069484,-0.16730509710412161,-0.05324033433340579,-0.09757260609200463,-0.022839041119466337,-0.06818255669654194,-0.021697259539983107,-0.38017339947907286,0.30815451778521946
20,CVMon,-0.8169588660304874,-0.3270522069088572,-0.5139755288869126,-0.17133341320928708,-0.29284306597290355,-0.10014146553501016,-0.12032001169092449,-0.03288309032442489,-0.061802769352199076,-0.004286600150191756,-0.04903452531239727,-0.013400985440432747,-0.3091557945409707,0.28971543840018893
21,SWCas,-1.0645534179410334,-0.5867537526283657,-0.7940000026969354,-0.4712308022880265,-0.4837746242887282,-0.3067210138447798,-0.21811293945359944,-0.1372813823669028,-0.14876620083715525,-0.09462655712074006,-0.08888849244855451,-0.0559468647317162,-0.4663492796110011,0.36301794400063436
22,XLac,-1.8612643378179623,-0.9605827226593042,-1.342228213604726,-0.7344388245781438,-0.7813991803974247,-0.449850665382313,-0.3341023586249337,-0.18561671577999594,-0.21154709240755248,-0.10926196721068768,-0.1361581530012565,-0.07564516841718807,-0.7777832226423093,0.6498836932502867
23,VCen,-1.1079838933675383,-0.5252252576399614,-0.7853002282461143,-0.37598114723558207,-0.42593720345603625,-0.1953886381387344,-0.17999142520087352,-0.07606747871044246,-0.10105867719502953,-0.03227261172687471,-0.07335266985925937,-0.031000102625144323,-0.4456040162208086,0.3953091986489519
24,FMCas,-1.0881538551825654,-0.3148116117965908,-0.8105064403328028,-0.25957154639277247,-0.47985911485466315,-0.167068078200336,-0.20209550005441923,-0.06243472163807502,-0.13435369918943224,-0.04162392536112012,-0.08236083735094407,-0.02544428724291328,-0.46622157449413776,0.37923620486244364
25,CSVel,-0.9174881989843546,-0.4492731025799641,-0.6340867998523407,-0.30817604667704845,-0.3356999111047107,-0.15294645919952352,-0.15624037357916826,-0.0731152772851389,-0.0802816551378539,-0.025595273523009367,-0.06367330293123602,-0.029796979441544937,-0.36457837359827744,0.32503182716403284
26,MWCyg,-1.415953194772348,-0.1585306303254315,-1.063201616031271,-0.16443508977299323,-0.6590767251728346,-0.14876709588238496,-0.2828650917400702,-0.05716462381599767,-0.19149716149624213,-0.03997573778062578,-0.11527721204475366,-0.023296541897614233,-0.62131183354292,0.4854621141039084
27,FMAql,-1.1340204893552355,-0.7610952531491577,-0.8729246690433559,-0.639217176780737,-0.6094518993444139,-0.48832413489805093,-0.229011317130496,-0.1722824848861555,-0.146556362551928,-0.10749173629126138,-0.09332995458400323,-0.07021101267620669,-0.514215782001572,0.3883430975727044
28,CRCep,-0.8896392919356249,-0.04108434404619629,-0.6369889252875292,-0.020418535941205573,-0.4080978274907747,-0.053508777341070735,-0.16699809459832804,-0.00934882496890748,-0.1402259251091837,-0.03638402655121735,-0.06805744266164676,-0.0038099663400670454,-0.38500125118051454,0.3025789848106079
29,RSCas,-1.254299665599068,-0.392152908101738,-0.9216679707302637,-0.3060373367371701,-0.4924501172009993,-0.14257517854700572,-0.2504709557106613,-0.09467304642550482,-0.1720943792000254,-0.06842812710161228,-0.10207549222455031,-0.038582508646008956,-0.532176430110928,0.4341951697366002
30,RRLac,-1.5436795546017394,-0.4943643118105219,-1.1356673629479463,-0.37660092046794214,-0.6336466788545535,-0.19882690899107602,-0.3247912022828244,-0.13215999264884598,-0.20806083671443526,-0.08013654559857775,-0.1323635379166304,-0.053859723031548776,-0.6630348622196883,0.5277757558315633
31,XXSgr,-1.0633856705888998,-0.5502663296050981,-0.7458776251741781,-0.38621274128523364,-0.4487188637224468,-0.24621663743792901,-0.22128409846703945,-0.12958448018533641,-0.1456109661897952,-0.08521701333713652,-0.0901808483478681,-0.05281011350018763,-0.4525096787483713,0.3580202049648329
32,BBSgr,-1.0550430182865667,-0.4869735370655951,-0.7863533620185856,-0.4002192082547479,-0.45667162663375216,-0.24422057892758323,-0.17503132482676204,-0.07875226436472728,-0.09741166712829491,-0.03256422088617592,-0.0713312590903577,-0.032094244723980286,-0.44030704299738654,0.37692419014683615
33,VCar,-1.0787921382374692,-0.1966674517518838,-0.80772402797916,-0.17138065097198762,-0.4525823178937799,-0.0884629349133643,-0.18025617418355094,-0.01837337180589367,-0.10254266330781908,0.004634505134248672,-0.07346056413644725,-0.007487778235963107,-0.4492263142897044,0.38640326617166076
34,V0495Cyg,-1.7968631174878462,-1.1935946626773077,-1.3186591989505974,-0.949538895861767,-0.7461422970372019,-0.559872134435551,-0.369866133601445,-0.28419284825169155,-0.24367116881478385,-0.18176586967844574,-0.15073311609099987,-0.11581831829435166,-0.7709891719971456,0.615198518688668
35,USgr,-1.0451019759349747,-0.4904854049137362,-0.7882513655200363,-0.4058392564402812,-0.47479779189758586,-0.2621391681308026,-0.20270609483575247,-0.10644883929618733,-0.1192609516356965,-0.05503328633670588,-0.08260967563511762,-0.043381547521389924,-0.452121309243194,0.36308802577556415
36,TWCMa,-0.9081189824541551,-0.2542915255356868,-0.6624414069025046,-0.18043391578954016,-0.39321008711705263,-0.11294178990705846,-0.1671585338481787,-0.04198473856157632,-0.11206744405944019,-0.030961401519377436,-0.06812282715045631,-0.01711021879735383,-0.3851865469219646,0.31540814082574925
37,xSgr,-1.5932016563238836,-0.923861831806581,-1.123253286116723,-0.657046652686712,-0.628202985984888,-0.3674295665247984,-0.30076863617687727,-0.18357812904176263,-0.17340333745324082,-0.09501030856218359,-0.1225735195378374,-0.07481437450674536,-0.6569005702655749,0.5526748784676696
38,V0600Aql,-1.2622763456639305,-0.651770449256445,-0.9792612067006914,-0.556007284931328,-0.7148838805038692,-0.47876624273219204,-0.3080767128051814,-0.20161353569418505,-0.20622481055271497,-0.13509285515030986,-0.12555181104046725,-0.08216442036851937,-0.5993791278778091,0.4128987648521511
39,V0459Cyg,-1.0873501867845115,-0.37647977630580926,-0.8163517074403177,-0.3128740141464865,-0.5661644062642555,-0.2813252561930387,-0.2265559134031952,-0.09902256704139369,-0.16721637676436224,-0.08251200765279229,-0.09232929347595892,-0.040355087253170246,-0.49266131402210017,0.36559715363579304
40,CKSct,-0.5456119992054436,0.2579096338497487,-0.47589156015441,0.12366350987137609,-0.3033689350509147,0.04754893507147803,-0.1516271898977694,0.004133240528908941,-0.13169541288011366,-0.030705414922947684,-0.0617932725953228,0.001684437064864628,-0.2783313949639957,0.17829033503586617
