,-0.3,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.300000
0,EVSct,-0.8306701900113982,-0.7207500587587456,-0.6564178574176545,-0.5712410207623817,-0.44162224551971757,-0.3787367274382287,-0.21868857799014718,-0.1863918400873757,-0.134569190216636,-0.1156568219111698,-0.08912308486584672,-0.07596105811779968,-0.39518185767023334,0.2698151786710521
1,SZTau,-0.5018044659171217,-0.22452398337825732,-0.4273343908700157,-0.18820717180073276,-0.28766245087755493,-0.11921289475743818,-0.14801108730843668,-0.05852391705815692,-0.09673649316788335,-0.036421353193253535,-0.06031958695104021,-0.02385050044493311,-0.2536447458486754,0.1612970966292608
2,SSSct,-0.284726110419837,-0.22415074297255896,-0.22775798206356138,-0.19308839635004543,-0.11946378264601851,-0.12779890145503434,-0.045712203362155174,-0.06090930430716567,-0.023718453019100284,-0.03831650596880856,-0.01862928835649348,-0.024822627440248195,-0.1200013033111943,0.10519615391308776
3,QZNor,-0.4034940824138773,-0.03255396467715804,-0.35570301466886545,-0.026418390242145096,-0.23320937483109638,0.002796776847483237,-0.1269157817621373,0.002600717501815328,-0.08071986805059078,0.005455892659346935,-0.05172252749895247,0.0010598814476580377,-0.2086274415375866,0.1293109611807993
4,ADGem,-0.23328472773135328,-0.24893167309409525,-0.1333563017652722,-0.1907209556188722,0.010037851403159992,-0.10392985822135058,0.03965520275763007,-0.043283728977095134,0.04006566753420945,-0.02532820758599868,0.016160853178625215,-0.017639601877650925,-0.04345357577050013,0.11606761848766041
5,YAur,-0.22953905516637946,-0.18990665943139062,-0.14114633768216184,-0.14617356249529218,0.0023584390716344106,-0.07170074342129716,0.01379968778279611,-0.036062214846409604,0.019559523315905124,-0.021524556359649526,0.005623845363538008,-0.014696587557268336,-0.05489064955244461,0.10716567770249179
6,STTau,-0.4047377410224683,-0.24695122072574743,-0.2821962080612365,-0.1783319613003331,-0.1284205834694944,-0.09562873556613886,-0.05469415631106245,-0.04488704750857887,-0.028355938821267447,-0.026447010981706785,-0.022289741784302194,-0.018293009087399278,-0.1534490615783052,0.15008396331310186
7,BFOph,-0.1449534995131198,0.13232695646013104,-0.11455565570706938,0.11425242896959426,-0.02717229017469361,0.1045743277681254,0.0015920191976571685,0.06073542865983193,0.008341037833719027,0.04296796103970719,0.0006488023442519503,0.024751767159317015,-0.04601659766987578,0.06539839705217938
8,SYCas,-0.6146914920070136,-0.45182757976220705,-0.46937001738260886,-0.34464103040113414,-0.24106753392990843,-0.19028293820521225,-0.11655146439391101,-0.09219964638346108,-0.06690396996505735,-0.0548172349787358,-0.047498713229023645,-0.03757451342339482,-0.25934719848458715,0.21857717127341447
9,XSct,-0.40710730417723445,-0.6198783463481582,-0.26726783649840485,-0.5016479417353994,-0.08695074006421355,-0.3301276725653642,-0.055419996376829095,-0.18124732281250544,-0.024606173098217256,-0.11663381668593004,-0.02258554646863868,-0.07386449114619034,-0.1439895994472563,0.15453677259845203
10,YLac,-0.4200236990366589,-0.3393490228282301,-0.30136149290938674,-0.2647413720208051,-0.130917555375558,-0.15621287623445915,-0.04276862621200267,-0.0715597261104985,-0.01736576475014138,-0.04355147395850528,-0.01742967986037018,-0.029163039065578662,-0.15497780302401962,0.1619006690345456
11,TVul,-0.3956003214719986,-0.23712183519939165,-0.3004323489181268,-0.18299513047167498,-0.14004461443418398,-0.09605781482973975,-0.05596545268255251,-0.04243397353412827,-0.02638368073260531,-0.023426396818651933,-0.022807838593231475,-0.01729329743342847,-0.1568723761387831,0.14837947839308252
12,XYCas,-0.6417879551769576,-0.40282715415569814,-0.5084529292931166,-0.30455262601290894,-0.2607555646152706,-0.14946692356527586,-0.11979033431063679,-0.06601255514360106,-0.06847722138902765,-0.03641757749120105,-0.0488186636402929,-0.02690237692496047,-0.2746804447375504,0.23108566990987525
13,TVel,0.00031869821241997665,0.16260517760455018,0.018685145044328555,0.13068461140072407,0.06877942556884425,0.10045273288760938,0.05731973152216657,0.05717778415462253,0.04500091780637241,0.03829233131036786,0.023359753599787217,0.02330190518630174,0.035577278625653165,0.027855109447281406
14,VZCyg,-0.26783042223916725,-0.23245321151766163,-0.18820506092313793,-0.18757348069671093,-0.06071643532064269,-0.11196126590977389,-0.005320165904522223,-0.0494328267149461,0.009740067539350437,-0.02863434860085285,-0.0021681498035542174,-0.020145569791363654,-0.08575002777527897,0.11263430571676183
15,CFCas,0.04448872800474646,0.18224907554375774,0.05311242397566779,0.14416715836804533,0.09264726556965697,0.10776824485659463,0.07484750820909503,0.06280826755618323,0.05566774766792767,0.04129869785756752,0.030502922866035745,0.02559651999721194,0.0585444327155216,0.020346148487444767
