,0.88,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.880000
0,EVSct,-1.2810136946437347,-0.9824417978663063,-1.0978203556827228,-0.8133701219120482,-0.842475139647294,-0.5716311847023472,-0.4523601479743666,-0.2912507826331201,-0.30388368481317923,-0.18736112839367886,-0.18435225208544365,-0.11869466826486633,-0.6936508791411234,0.3836397790458068
1,SZTau,-0.9521479705494582,-0.4862157224858181,-0.8687368891350842,-0.4303362729503994,-0.6885153450051313,-0.31210735202155643,-0.3816826572926562,-0.1633828596039013,-0.26605098776442665,-0.10812565967576265,-0.15554875417063724,-0.06658411059199967,-0.5521137673195656,0.27745707716784573
2,SSSct,-0.7350696150521735,-0.4858424820801197,-0.66916048032863,-0.435217497499712,-0.5203166767735949,-0.32069335871915267,-0.2793837733463746,-0.16576824685291003,-0.19303294761564352,-0.1100208124513175,-0.11385845557609046,-0.0675562375873148,-0.41847032478208446,0.21954408036413342
3,QZNor,-0.8538375870462138,-0.2942457037847188,-0.797105512933934,-0.2685474913918117,-0.6340622689586728,-0.19009768041663516,-0.36058735174635675,-0.10225822504392913,-0.250034362647134,-0.0662484138231621,-0.14695169471854935,-0.04167372869940858,-0.5070964630084768,0.2459267633366785
4,ADGem,-0.6836282323636897,-0.510623412201656,-0.5747588000303407,-0.43285005676853877,-0.3908150427244165,-0.2968243154854689,-0.19401636722658938,-0.14814267152283955,-0.12924882706233384,-0.09703251406850771,-0.07906831404097169,-0.06037321202471749,-0.34192259724139024,0.22093107664270165
5,YAur,-0.6798825597987159,-0.45159839853895134,-0.5825488359472304,-0.38830266364495875,-0.39849445505594205,-0.2645952006854155,-0.21987188220142334,-0.14092115739215405,-0.1497549712806381,-0.09322886284215864,-0.08960532185605889,-0.05743019770433491,-0.3533596710233348,0.21154255405648636
6,STTau,-0.8550812456548047,-0.5086429598333081,-0.723598706326305,-0.42046106244999965,-0.5292734775970709,-0.28852319283025724,-0.28836572629528195,-0.14974599005432332,-0.19767043341781068,-0.09815131746421585,-0.1175189090038991,-0.06102661923446587,-0.45191808304919534,0.2593665973153697
7,BFOph,-0.5952970041454564,-0.12936478264742968,-0.5559581539721379,-0.12787667218007237,-0.4280251843022701,-0.08832012949599295,-0.23207955078656234,-0.04412351388591247,-0.16097345676282418,-0.02873634544280184,-0.09458036487534498,-0.017981842987749654,-0.344485619140766,0.1783542591208575
8,SYCas,-1.06503499663935,-0.7135193188697677,-0.9107725156476771,-0.5867701315508007,-0.6419204280574848,-0.38317739546933055,-0.35022303437813046,-0.19705858892920547,-0.2362184645616006,-0.1265215414612449,-0.14272788044862056,-0.08030812357046138,-0.5578162199554773,0.3286401841711009
9,XSct,-0.8574508088095709,-0.8815700854557189,-0.7086703347634735,-0.7437770428850661,-0.48780363419179007,-0.5230221298294826,-0.28909156636104855,-0.2861062653582498,-0.1939206676947605,-0.18833812316843906,-0.11781471368823564,-0.11659810129325701,-0.44245862091814664,0.2591644344097412
