,-0.2,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.200000
0,EVSct,-0.7787743236038702,-0.4327248686055385,-0.5293801560521947,-0.2783843889870291,-0.321863134879734,-0.16925770850411323,-0.07431052949539915,0.027024743286552654,0.03391000424684759,0.11880909648296759,0.07775631232675242,0.1530305250175345,-0.2654436379095997,0.30532192160694255
1,SZTau,-0.8511772390658208,-0.35703504545054243,-0.6586314439734338,-0.28857073171742464,-0.40044791793584833,-0.17545100488419382,-0.2536409168428936,-0.11070467874741077,-0.19461055989083564,-0.07751583047499613,-0.18031133772483895,-0.0783331347899349,-0.4231365692389451,0.25880504348407196
2,SSSct,-0.06467678919870834,-0.17946854069654386,-0.06909058751414915,-0.15895737589034323,-0.04200707720860328,-0.09664608454132803,0.035889969191436055,-0.007128979664230241,0.05721030884160891,0.01570313162993448,0.06964068678641508,0.033016620216329985,-0.002172248183666787,0.05343320077724639
3,QZNor,-0.6491203316113876,0.07226228867636647,-0.535306750003546,0.020983239922964858,-0.32546650400215593,0.012757809873163078,-0.2515216870170941,-0.04652504666368543,-0.18884110508018884,-0.025465883033588953,-0.1948079737953213,-0.055283271062968424,-0.35751072525161565,0.1795188689805708
4,ADGem,0.3000057206318493,-0.3599805891667883,0.21316525505925754,-0.2781489857343831,0.12960447507602882,-0.1691145833265042,0.13905646676987427,-0.07564778477091547,0.137192699715745,-0.055456630197060756,0.11650674482195675,-0.05425325081366835,0.1725885603457853,0.07220393648426693
5,YAur,0.1504990132789193,-0.41767000075396354,0.08047129297165206,-0.34069393300463235,0.04892654612676417,-0.20714191126681625,-0.03889408145695156,-0.22596105735584818,-0.04312072548330348,-0.21256244218379688,-0.06762027256477557,-0.2182578725455521,0.021710295478717487,0.0781872807144529
6,STTau,-0.28157614071711956,-0.36467949275167905,-0.18064632568336714,-0.23599873976158808,-0.10983296601548756,-0.14348723377504508,-0.08448184934004202,-0.12314040573230661,-0.062069765897916046,-0.10467950896429179,-0.06406770234224035,-0.10375618014140689,-0.13044579166602877,0.08351354470290544
7,BFOph,-0.005921513553668489,0.24945164575394907,-0.048232544719740866,0.16518241850970222,-0.029325387189602675,0.10043091045389954,-0.015132580088894454,0.04298127781054031,-0.0011142993384917477,0.03283622148081703,-0.025958134088939815,-0.0013450331793525769,-0.020947409829889675,0.016387944459401844
8,SYCas,-0.3312939010508935,-0.3178629402941798,-0.2935320525953319,-0.27049397294742394,-0.17846748797796216,-0.16446033555203346,-0.1391936076715274,-0.1511254851045649,-0.09832409107467724,-0.12063504874178829,-0.08147191357430372,-0.10450906560568657,-0.1870471756574493,0.09288396230360291
9,XSct,0.28228303323436604,-0.7131986843525252,0.22119008106377047,-0.5418119064387996,0.1344835692867725,-0.3294216391147897,-0.03414750394503552,-0.3421148611218171,-0.024139630408323842,-0.28799914952388556,-0.01064730389091869,-0.24000645265511594,0.09483704089010518,0.1316339154884568
