,0.18,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.180000
0,EVSct,-1.2784705902603712,-0.6545208973846339,-0.9062307753641937,-0.455008356744758,-0.5509883114214296,-0.2766450809008125,-0.2271931897393934,-0.036133388393541944,-0.0967438457271319,0.06908901452014407,-0.03653526713194801,0.11138740072588177,-0.5160269966074112,0.4522793616731556
1,SZTau,-1.3508735057223218,-0.5788310742296378,-1.035482063285433,-0.46519469947515346,-0.6295730944775438,-0.282838377280893,-0.40652357708688786,-0.17386281042750526,-0.3252644098648151,-0.1272359124378196,-0.29460291718353937,-0.11997625908158754,-0.6737199279367568,0.4070477991869587
2,SSSct,-0.5643730558552096,-0.40126456947563927,-0.44594120682614824,-0.33558134364807213,-0.2711322537502988,-0.20403345693802724,-0.11699269105255822,-0.07028711134432472,-0.07344354113237059,-0.03401695033288895,-0.04465089267228536,-0.008626504075322665,-0.2527556068814784,0.1957009076341943
3,QZNor,-1.1488165982678886,-0.1495337401027289,-0.912157369315545,-0.15564072783476401,-0.5545916805438514,-0.09462956252353616,-0.4044043472610883,-0.10968317834377997,-0.3194949550541683,-0.07518596499641239,-0.3090995532540217,-0.09692639535462108,-0.6080940839494272,0.32756195406398075
4,ADGem,-0.1996905460246518,-0.5817766179458836,-0.16368536425274155,-0.454772953492112,-0.09952070146566672,-0.2765019557232034,-0.013826193474120008,-0.13880591645101,0.006538849741765496,-0.1051767121598842,0.0022151653632563398,-0.09589637510532101,-0.07799479835202637,0.08175222083041357
5,YAur,-0.3491972533775819,-0.639466029533059,-0.296379326340347,-0.5173179007623612,-0.18019863041493142,-0.3145292836635155,-0.1917767417009459,-0.28911918903594275,-0.173774575457283,-0.2622825241466203,-0.18191185202347604,-0.25990099683720475,-0.2288730632190942,0.07546579320605548
6,STTau,-0.7812724073736208,-0.5864755215307744,-0.5574969449953662,-0.41262270751931696,-0.33895814255718315,-0.2508746061717443,-0.23736450958403632,-0.18629853741240116,-0.19272361587189552,-0.15439959092711522,-0.1783592818009408,-0.14539930443305954,-0.3810291503638405,0.23116284629680944
7,BFOph,-0.5056177802101698,0.027655616974853747,-0.42508316403173996,-0.011441549248026622,-0.25845056373129827,-0.006956461942799724,-0.16801524033288873,-0.02017685386955429,-0.13176814931247122,-0.01688386048200643,-0.14024971354764026,-0.0429881574710052,-0.27153076852770136,0.14938341904175953
8,SYCas,-0.8309901677073948,-0.5396589690732752,-0.6703826719073309,-0.44711794070515276,-0.4075926645196577,-0.2718477079487327,-0.29207626791552166,-0.21428361678465943,-0.22897794104865674,-0.17035513070461175,-0.19576349303300417,-0.14615218989733922,-0.43763053435526095,0.24030900773226027
9,XSct,-0.21741323342213514,-0.9349947131316205,-0.15566053824822862,-0.7184358741965284,-0.09464160725492307,-0.4368090115114889,-0.18703016418902985,-0.40527299280191165,-0.15479348038230337,-0.33771923148670896,-0.12493888334961917,-0.2816495769467687,-0.15574631780770654,0.046139138851087065
10,YLac,-0.7470984403652073,-0.7887022645567086,-0.5684246843156247,-0.6078688294961112,-0.34560220806390046,-0.36958424833363557,-0.1906561073292878,-0.20888481772203257,-0.1362902104353144,-0.1544406559699956,-0.13462975943429234,-0.149878090267774,-0.35378356832393787,0.23845591858311177
11,TVul,-0.7146121792556807,-0.475971463583523,-0.5717884099325812,-0.3921687276160002,-0.3476473532390094,-0.23843858639052745,-0.21762872281042775,-0.1539929903081503,-0.15474584677916547,-0.106443945793126,-0.1547540735466073,-0.11339813644094227,-0.36019609759391197,0.2184404912778567
12,XYCas,-0.8325801280436944,-0.3484721317990722,-0.7268883009366296,-0.34865091186759245,-0.4419480869694712,-0.21197975441549619,-0.29008282977959743,-0.15812800769043897,-0.22607155855566388,-0.125522987827043,-0.19145677424584145,-0.10706680552077691,-0.451504613088483,0.24859758795556985
13,TVel,-0.33497813078821537,-0.19978406387525177,-0.26503276098172757,-0.16178647237908603,-0.16113991867689037,-0.098366175206484,-0.09574394675452787,-0.06458288066701982,-0.08048123946130348,-0.06067908467494522,-0.10025747384687211,-0.08415691796039279,-0.17293891175158946,0.10103992333540415
14,VZCyg,-0.4093985528933342,-0.4848681960142492,-0.32517070858316244,-0.38918588042477154,-0.19770379081856285,-0.23662501529826122,-0.06900258256381278,-0.09807960513064198,-0.013771899594117662,-0.04163418988303615,-0.02345478853065143,-0.04739042311351609,-0.17308372049727358,0.15034475638641745
15,CFCas,-0.20092362184603962,-0.10482197570920804,-0.1682455058124226,-0.09403578927609887,-0.1022932675339535,-0.05717375987986792,-0.026218867310577265,-0.007241959706070583,-0.02764607423706602,-0.018459098348513954,-0.03404319369195985,-0.027316528075502965,-0.09322842173866981,0.07382118741093015
16,VLac,-1.0040061865513665,-0.6671272311063966,-0.7663496644679089,-0.5183218702878432,-0.4659405959964885,-0.3151396971350081,-0.30042198146104276,-0.20387633932091728,-0.24083923488669703,-0.16182919757874595,-0.1944770565250662,-0.12513532317348747,-0.4953391199814283,0.3045676706157405
17,V0386Cyg,-0.5762095422045082,0.14632834544316736,-0.4266947334828505,0.121432889682346,-0.25943039795757306,0.07383119692686685,-0.06187705142686478,0.14801246888574598,-0.03337296178664245,0.1382928016753419,-0.0170021923835458,0.13156166838062933,-0.22909781320699749,0.21703337541615678
18,CRSer,-0.9265924107454899,-0.9325311123685807,-0.7270036009108827,-0.7508178291836645,-0.4420181893538162,-0.4564972401436673,-0.2461835099526146,-0.24783859484469303,-0.1829023591790331,-0.18176386603145575,-0.12663315726025104,-0.12277948255039123,-0.44188887123368126,0.2977114943412112
19,V1162Aql,-0.36598545181417974,-0.0649534546857038,-0.34034617759924013,-0.10507757840261307,-0.20693047598033837,-0.06388716766878774,-0.11406396552313447,-0.035659038655001814,-0.07992874029799187,-0.022915046952361177,-0.08111656976436676,-0.033840149670181306,-0.1980618968298752,0.11787434096590124
20,CVMon,-0.3215074606935283,-0.1771084648844311,-0.1639950753560826,-0.05467682885135039,-0.09970900581649844,-0.03324351194162059,-0.05148854761769296,-0.017074032114602268,-0.027093863068914238,-0.00411555959074212,-0.043787363282754066,-0.024736326577340005,-0.11793021930591178,0.10990015074110075
21,SWCas,-0.6081210549906777,-0.45991135742177425,-0.4633098714207105,-0.36032999261959536,-0.2816924018237924,-0.21908063551271376,-0.13372394601244428,-0.09351435930887067,-0.0952027263917255,-0.06308161824064609,-0.06342173054180197,-0.03455067287123658,-0.274245288530192,0.20434049472176363
22,XLac,-1.4888072423852525,-0.9194765035369942,-1.1114924843059342,-0.7005302560588977,-0.6757874304580085,-0.4259223956838095,-0.3844366839824586,-0.21055554952896835,-0.2969704012384535,-0.14624203903710006,-0.2581560351386587,-0.12363046716098597,-0.7026083795847944,0.47096906855887805
23,VCen,-0.6026981545095705,-0.40339736958021455,-0.4498844324700283,-0.29687675357419946,-0.27352973494177707,-0.18050106617311268,-0.17099726678483254,-0.12093357056935741,-0.13079417955927203,-0.09548129736870774,-0.1366888284970195,-0.10729984436836768,-0.29409876612708336,0.1837660336760937
24,FMCas,-0.6358518056261118,-0.1213640669330586,-0.49361925747944374,-0.10140030199936036,-0.3001205085475016,-0.06165138361561017,-0.1499117646222055,-0.004175071248135695,-0.1149325695753658,0.0014557779119976702,-0.09318936924353774,0.006822998147773707,-0.2979375458490277,0.20880240447685097
25,CSVel,-0.39663431546012035,-0.33728896425396543,-0.2837238547053599,-0.2375347116365672,-0.17250410366085875,-0.14442110467503194,-0.13258402128319213,-0.1247017584721237,-0.09526109180011885,-0.09541895027408623,-0.11138167734279023,-0.11277012394639901,-0.19868151070874004,0.11343681934174679
26,MWCyg,-1.0659833888224195,0.09282065000684125,-0.8177810537760152,0.060376228591395076,-0.497210880695818,0.03670874698356835,-0.24996613965653336,0.09288925281199298,-0.18677166032314002,0.09806512837546597,-0.1412992931604369,0.10606190235298682,-0.4931687360723938,0.3509464435802926
27,FMAql,-0.7522886911408397,-0.6127273562904677,-0.5513978474566135,-0.46982853109515715,-0.3352498912536205,-0.28565574690585505,-0.03491433123434756,0.01013070710863797,0.028424553295676058,0.07145021896272011,0.061591740456488554,0.10294668216835651,-0.26397241122220944,0.3076581925593163
28,CRCep,-0.4517873850299393,0.2389214130828532,-0.30824161538974887,0.22317830810234757,-0.1874109021569678,0.1356924113262278,-0.05435291435617995,0.1421319405452751,-0.055428356278913016,0.10146282840124102,-0.00929168908782834,0.12490460227504951,-0.1777521437165962,0.16389285914931956
29,RSCas,-0.7708698402939564,-0.24796230258475588,-0.6174461160316693,-0.21450081177595812,-0.3754072385472551,-0.13041649355978194,-0.2914481816134821,-0.14533463545317254,-0.25391762915132576,-0.13919792790325153,-0.22071762515113788,-0.12303061110548533,-0.4216344384648045,0.2117740508463529
30,RRLac,-1.0811975862068999,-0.29104785274360223,-0.8418131244549204,-0.2310868654816985,-0.5118223796685916,-0.14050081421287167,-0.3574488948043066,-0.13270677424806496,-0.2797967066982855,-0.10071818888590792,-0.24018767722740195,-0.08743558390788936,-0.552044394843401,0.3175902374645029
31,XXSgr,-0.5830602979751915,-0.38168432345369613,-0.39837366144249475,-0.24670000953327664,-0.24221118615703685,-0.1499936057962315,-0.1320254954268268,-0.07987011017119852,-0.08822460147045293,-0.04980548161670006,-0.0607500382885476,-0.028070383105950537,-0.2507742134600917,0.1912944212975269
32,BBSgr,-0.5990948002259058,-0.3841832160722314,-0.4724512023291887,-0.3185091797888021,-0.28725033101614705,-0.19365358131159136,-0.138081761968122,-0.07779544815132097,-0.09446341854718587,-0.04548412971055484,-0.09969546346913088,-0.05620764975238129,-0.2818394962592801,0.19854427320318926
33,VCar,-0.6084577507217448,0.005229405816350674,-0.49360238046343186,-0.019494704878679714,-0.30011024732176683,-0.011852780566237592,-0.16888233849481746,0.0036485440387714826,-0.12772555908147273,0.008342287421165696,-0.1318056595536391,-0.01597808899002278,-0.30509732260614547,0.1911420276918449
