,-0.68,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.680000
0,EVSct,-0.16667945579983268,-0.1127535655834877,-0.05335832113177469,-0.05528042971410843,-0.03244185924811849,-0.03361050126617804,0.016371060578177277,-0.0009281799286482081,0.025266598444495178,0.004709143161637855,0.013653670958076146,0.003042960542389384,-0.032864717699829536,0.0720255381554166
1,SZTau,-0.20184771172896238,-0.06648951123352204,-0.18260960905301377,-0.06546677244450391,-0.11102664230423247,-0.039803797646258576,-0.06488740449271754,-0.024973388355459612,-0.03999957014114179,-0.015196505668607377,-0.030375983524471926,-0.012335845751267543,-0.10512448687408997,0.0652172995122764
2,SSSct,0.6135019394140124,0.10756152951297515,0.40693124740627085,0.0641465833825775,0.24741419842301277,0.039001122696607216,0.1342843161756888,0.021531612039966015,0.09180601834354894,0.013997745067687903,0.05023198793239294,0.007781810752567998,0.25736161794915446,0.20276462709019125
3,QZNor,0.0202896029490105,0.3640574777858235,-0.05928491508312608,0.24408719919588556,-0.03604522837054003,0.14840501711109835,-0.041038217881213354,0.053837041127161624,-0.021964714284716705,0.03485788388887005,-0.0212851264634493,0.016324432993455252,-0.026554766522339162,0.029855890563406953
4,ADGem,1.0071185008020758,-0.05659715391876022,0.6891870899796775,-0.05504502646146242,0.41902575070764514,-0.03346737608856895,0.21160162600110183,-0.02293168652321994,0.14302780146517008,-0.015167994866016568,0.071719433874223,-0.014649553526688352,0.4236133671383156,0.33763059246768906
5,YAur,0.8638907826020323,-0.12308096122701395,0.5564931278920721,-0.11758997373171165,0.3383478217583803,-0.071494704028881,0.13149637120462393,-0.05831517235704505,0.0877781028751237,-0.03826382526469159,0.03762295417302932,-0.029636573428033396,0.3359381934175436,0.30380120166243135
6,STTau,0.3789420107710517,-0.03734584925410839,0.2953755092370528,-0.012894780488667379,0.17958830961612887,-0.007840026537109163,0.07173115769442229,-0.018650543386401673,0.04985640966829745,-0.012339540968933041,0.019104163659651195,-0.01255835596704764,0.16576626010776738,0.1334879279834059
7,BFOph,0.6920031882597326,0.5518641153159594,0.42778929020067913,0.38828637778262304,0.2600958884420134,0.23607811769183476,0.12001102401281744,0.09712959046150718,0.08147343737806416,0.06021540419242492,0.037779062057630285,0.03079054717487466,0.26985864839182283,0.237538271746005
8,SYCas,0.36728524841133803,-0.022377818563993956,0.1824897823250881,-0.047390013674503184,0.1109537876536536,-0.028813128314098185,0.03161518945001879,-0.034092668550883186,0.025943718024314763,-0.021475120935269446,0.004577120072528772,-0.01935308781605589,0.12047747432282369,0.1348580827897265
9,XSct,0.9745985295794004,-0.41997485494389497,0.6972119159841904,-0.31870794716587897,0.4239048449183884,-0.19377443187685442,0.1620598774285304,-0.11335456719390782,0.11220221073863783,-0.07026396979996603,0.05968647473964075,-0.04351742435366791,0.40494397556479805,0.34251972921303414
