,0.88,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.880000
0,EVSct,-2.3088274424848816,-1.065744582737032,-1.6004292846231394,-0.7803682973511006,-0.9730610050508691,-0.47446392478946975,-0.4587315038346697,-0.19722791204761,-0.2916590678068844,-0.11760492730293055,-0.1674627691456467,-0.06754721497247358,-0.9666951788243484,0.7843796193272277
1,SZTau,-2.3439956984140116,-1.0194805283870663,-1.7296805725443785,-0.7905546400814962,-1.0516457881069832,-0.48065722116955023,-0.5399899689055645,-0.22127312047442146,-0.35692523639252144,-0.1375105761331757,-0.21149242362819473,-0.08292602126613065,-1.0389549479986089,0.7793202737695394
2,SSSct,-1.528646047271037,-0.8454294876405692,-1.140139716085094,-0.6609412842544147,-0.693204947379738,-0.40185230082668444,-0.3408182482371583,-0.17476812007899575,-0.22511964790783062,-0.10831632539688048,-0.1308844521713299,-0.06280836476229497,-0.6764688431753646,0.5133561348205306
3,QZNor,-2.121858383736039,-0.5889335393677209,-1.6063558785744907,-0.48100066844110667,-0.9766643741732908,-0.2924484064121933,-0.5161407822940605,-0.14246269099180017,-0.33889038053609627,-0.08745618657569827,-0.2024015665671721,-0.05426574252140777,-0.9603852276468582,0.7006989567592625
4,ADGem,-1.1350294858829737,-1.0095881710723045,-0.8578838735116873,-0.7801328940984547,-0.5215933950951057,-0.47432079961186047,-0.2635009384117453,-0.21923141864218185,-0.17389786478620956,-0.13748206533058488,-0.1093970062294998,-0.08523972904155148,-0.5102170939862035,0.3782396714722509
5,YAur,-1.2782572040830171,-1.0760719783805583,-0.9905778355992928,-0.8426778413687037,-0.6022713240443704,-0.5123481275521725,-0.34360619320822305,-0.2546149044760068,-0.22914756337625586,-0.1605778957292599,-0.14349348593069342,-0.10022674894289647,-0.5978922677069755,0.412849544537498
6,STTau,-1.7632059759139977,-0.9903368664076526,-1.251695454254312,-0.7379826481256595,-0.7610308361866218,-0.44869345006040084,-0.4033714067184247,-0.21495027550536358,-0.26706925658308217,-0.13465361143350135,-0.16201227644407165,-0.08314853148191066,-0.7680642010167519,0.5825067904513495
7,BFOph,-1.4501447984253168,-0.4011269018375848,-1.1192816732906858,-0.3368014898543693,-0.6805232573607374,-0.20477530583145687,-0.3550915404000296,-0.09917014165745461,-0.23545222887331546,-0.0620986662721434,-0.14333737804609256,-0.039799628339988416,-0.6639718127326962,0.4798583138567474
8,SYCas,-1.7748627382737114,-0.9753688357175383,-1.3645811811662765,-0.7724778813114954,-0.8296653581490971,-0.4696665518373898,-0.44348737496282825,-0.2303924006698451,-0.29098194822706486,-0.14378919139983765,-0.17653932003119407,-0.08994326333091891,-0.8133529868016955,0.584255977444418
9,XSct,-1.167549457105649,-1.3729658720974394,-0.8498590475071743,-1.0437958148028712,-0.5167143008843624,-0.6346278554001461,-0.31304268698431664,-0.30965429931286975,-0.2047234555127418,-0.19257804026453434,-0.12142996536408199,-0.11410759986853099,-0.528886485559721,0.3733799955173742
10,YLac,-1.7072279445842047,-1.217665796310657,-1.2626231935745704,-0.9332287701024538,-0.7676749016933392,-0.5674030922222921,-0.3927394494183459,-0.26426588905500387,-0.25787072587531273,-0.16492490213000882,-0.1597262119087741,-0.10246570126411476,-0.7579770711757577,0.5677229733291174
11,TVul,-1.6648427878896406,-0.9112167145457519,-1.2659869191915267,-0.717528668222343,-0.7697200468684484,-0.4362574302791846,-0.4002040092270482,-0.20660089524118183,-0.261385397811221,-0.12812224837857794,-0.1607044804144981,-0.08023093616666528,-0.7538072735670638,0.5517250634725277
12,XYCas,-1.7480491626054402,-0.8016026502933078,-1.4210868101955751,-0.6740108524739351,-0.8640207805989099,-0.4097985983041521,-0.4548638363096495,-0.20353738817428405,-0.29879686658458887,-0.1275043606706931,-0.18259077866119397,-0.0818626668415204,-0.828234705825893,0.578407015411118
13,TVel,-1.2878399558523508,-0.6239019629469866,-0.9592312702406733,-0.4871464129854287,-0.5832126123063298,-0.29618501909514117,-0.30288708545205595,-0.1374588872011717,-0.20310818084485133,-0.08673023199812098,-0.12461605026363695,-0.053567680876676585,-0.576815859159983,0.4262847358940838
14,VZCyg,-1.3601644281020233,-0.9199010855108034,-1.019369217842108,-0.7145458210311142,-0.6197764844480019,-0.43444385918691764,-0.3071288473081425,-0.1950429709312482,-0.19831652632852598,-0.11997148546247645,-0.12223226442316457,-0.07347522075089881,-0.6044979614086611,0.45601858284139263
15,CFCas,-1.1491014841609841,-0.5310408215648585,-0.8624440150713684,-0.41939572988244156,-0.5243659611633926,-0.2549926037685244,-0.26278949711477223,-0.11319796702296256,-0.17878209592791178,-0.0722883105400854,-0.10762146891127708,-0.04352458285644163,-0.5141840870582843,0.3833105754530211
16,VLac,-1.9763751998128762,-1.0963122767715914,-1.4605481737268544,-0.8436818108941857,-0.888013289625928,-0.5129585410236652,-0.4614992534374088,-0.2419130775895376,-0.30521456796402485,-0.1513430809030179,-0.18168438821450048,-0.09220724449166458,-0.8788891454635986,0.6551908952022361
17,V0386Cyg,-1.5615890787080196,-0.2667337549034808,-1.1208932427417961,-0.20392705092399666,-0.6815030915870124,-0.12398764696178963,-0.3174269896402648,-0.03948997840780546,-0.2128482484968242,-0.02462215714229328,-0.12242789593373879,-0.012609962567169574,-0.6694480911846092,0.530043027840885
18,CRSer,-1.8882181240609157,-1.386362527975643,-1.4212021101698282,-1.076177769790007,-0.8640908829832552,-0.6543160840323239,-0.43739424159006474,-0.2993745708286793,-0.287972120196664,-0.18661676839611846,-0.17015113326448758,-0.11175154493313073,-0.8448381020442025,0.6299243028336602
19,V1162Aql,-1.2936389312167056,-0.5077114192070586,-1.0345446868581858,-0.4304375190089557,-0.6290031696097774,-0.2617060115574449,-0.3237463820035345,-0.12322099765498887,-0.21385121707590166,-0.07696094930323856,-0.13029876680797234,-0.048383824678160506,-0.6041805255953462,0.4300655987548162
20,CVMon,-1.3199210070942815,-0.5560676312118749,-0.8581935846150283,-0.38003676945769305,-0.5217816994459372,-0.2310623558302771,-0.26845189899575345,-0.10365518918510017,-0.17746895558605685,-0.06409680523397772,-0.10690751668729945,-0.03826721868338097,-0.5421207770707261,0.4416399977354504
21,SWCas,-1.5760025287332122,-0.8911448205598143,-1.1575083806796562,-0.6856899332259381,-0.7037650954532315,-0.41689947940137084,-0.3510065344704549,-0.18615796305417362,-0.232831709830793,-0.11619356195213489,-0.13676100260735666,-0.06875397887023267,-0.6929792086291174,0.5273943450491831
22,XLac,-2.4942640025048384,-1.3520956359159213,-1.8056909935648797,-1.0258901966652405,-1.0978601240874482,-0.6237412395724666,-0.5494324544544087,-0.28236628021263394,-0.36250848434655,-0.17579840881223358,-0.2161324147039063,-0.10655032332941113,-1.0876480789436715,0.8342563047355321
23,VCen,-1.566314699265874,-0.8161471056694123,-1.144082941728974,-0.6222366941805422,-0.6956024285712161,-0.3783199100617698,-0.3628935868110585,-0.17982109753287054,-0.23976444257698043,-0.11253249335656697,-0.14775156619635418,-0.07068255919736573,-0.6927349441917428,0.5185701849464657
24,FMCas,-1.601565182493568,-0.5431469267092783,-1.1878177667383896,-0.42676024260570306,-0.7221932021769412,-0.25947022750426796,-0.3612392936626652,-0.11607422554594757,-0.2407833605492588,-0.07290058679183815,-0.14238702459319916,-0.04407722431104928,-0.7093309717023369,0.5353421226709563
25,CSVel,-1.3602159065953507,-0.7464114143563052,-0.9779223639643057,-0.5628946522429099,-0.5945767972902982,-0.3422399485636891,-0.3190698985730774,-0.16443985202510078,-0.20939303819972904,-0.10214473856600588,-0.1292682110838825,-0.06354225049210711,-0.598407702617774,0.4478915612145018
26,MWCyg,-2.0593317771916446,-0.3298256480774564,-1.5119795630349608,-0.26498371201494764,-0.919283574325257,-0.16111009690508818,-0.44805870944757115,-0.06257756292607355,-0.29736932514790343,-0.0383481658553972,-0.17074429695538337,-0.0212171306761056,-0.9011278743504533,0.6928523226042929
27,FMAql,-1.744594661790603,-1.0508414478473715,-1.2455963567155592,-0.7951884717014999,-0.75732258488306,-0.48347459079451216,-0.33373118788635187,-0.19276573214300238,-0.21787361328197768,-0.11823463517171169,-0.1254549560220065,-0.06740257133261891,-0.7374288934299265,0.5991628852241446
28,CRCep,-1.4405009024441495,-0.15314708850306227,-1.0024401246486945,-0.10218163250399515,-0.6094835957864067,-0.062126432562428696,-0.29409728875167135,-0.018326664392799195,-0.2017597121204197,-0.013319600564249981,-0.11267639144775152,-0.00506145742158166,-0.6101596691998489,0.48560436693944814
29,RSCas,-1.7226448952442246,-0.6750410133278172,-1.3116446252906149,-0.5398607523823007,-0.7974799321766943,-0.328235337448439,-0.43089420492286595,-0.16514640316091236,-0.28758382804927357,-0.10446335823513637,-0.17189491028363477,-0.06502838619057134,-0.787023732661218,0.5651441438898335
30,RRLac,-2.043838879923679,-0.705405270925912,-1.536011633713866,-0.5564468060880412,-0.9338950732980306,-0.33831965810152886,-0.494799920743825,-0.17126874903107173,-0.32431873584556353,-0.10659107971317523,-0.19565592742942325,-0.06847387607074969,-0.921420028492398,0.6744826280815769
31,XXSgr,-1.5673444867222037,-0.7793560524668306,-1.0925721707014406,-0.5720599501396193,-0.6642838797864759,-0.347812449684888,-0.33952158689685,-0.16022973323742049,-0.22316301982440606,-0.09947607277560773,-0.13227131749970564,-0.05992247948909708,-0.6698594102385137,0.5228096461521757
32,BBSgr,-1.5611699988946277,-0.8231002411753101,-1.1666497115881342,-0.6438691203951448,-0.7093230246455862,-0.3914724252002485,-0.35343770359608634,-0.17387196758165288,-0.23362203440755175,-0.10808870887278561,-0.14103515864223123,-0.06531720268355996,-0.6942062719623695,0.5222979611437772
