,-0.92,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.920000
0,EVSct,0.1217145359377913,-0.18256545276280678,0.0609673382449375,-0.13083287692716458,-0.08150176120467678,-0.17942072441686968,-0.05082816589899501,-0.09413233887367173,0.005759912175876167,-0.03206644119050376,0.00725511325114913,-0.015569112354331748,0.01056116208434705,0.08237124278063165
1,SZTau,-0.011113648898082806,0.007065834140905947,-0.033571690599392245,0.006660628770044724,-0.020942507582935865,0.013812678905840092,-0.016543204611790943,-1.790087817887115e-05,0.008893543714384763,0.013393156682653805,-0.003995031181327109,0.0007926148236351641,-0.012878756526524033,0.011288992275148511
2,SSSct,0.7503200304861699,0.1282763313282843,0.4849371932824705,0.06877494906234102,0.2327797094908391,0.008183078965750101,0.10635381216821894,0.0056781306582252625,0.08398012094805656,0.005023095445220359,0.057707526000615454,0.008184218938419231,0.28601306539606175,0.26938030919959305
3,QZNor,0.16979981255085724,0.3895350964079979,0.08491883527649885,0.2890720792297311,0.07044030493575282,0.2060120713056463,0.00958915104450632,0.0704944446837979,0.041493205426099786,0.07499685885253413,0.010105341397903582,0.034399577428337304,0.0643911084386031,0.06035774553493846
4,ADGem,1.0296987618336597,-0.04350101131354728,0.7077948017878739,-0.021931324370489086,0.39470711591851704,-0.005026298202023771,0.18720638883569718,0.006917461823063582,0.14480304306722153,0.008121371419818689,0.08422758141275777,-0.002609827600088453,0.42473961547595446,0.3547604093073656
5,YAur,0.8484304863195695,-0.008358545827670927,0.6057659507092221,0.02626164078932383,0.4107819150209141,0.09487953063835314,0.15864475605942774,0.01647499883671772,0.12591648110993797,0.016898745011038573,0.07208614813439795,0.0031251352539299684,0.3702709562255782,0.28745487255647584
6,STTau,0.4798647314774431,-0.01805249382706542,0.375312818640491,0.05731908043294473,0.23345302561498082,0.06830978938474946,0.08916186805424244,0.014789083489406947,0.07793328856324659,0.016463028485504037,0.044662225418219285,0.006820970571521291,0.21673132629477054,0.16653892978937512
7,BFOph,0.762893480781248,0.5122194365898362,0.5057031689256939,0.38532492039239175,0.3011872179544788,0.25643426438943934,0.139053309087521,0.11784029704835836,0.11768494841088388,0.09132616064093743,0.060178677102158955,0.04585366552669499,0.31445013371033076,0.25914238848235904
8,SYCas,0.4251072227874126,0.005899877560563205,0.2603662930275444,0.006449532145946429,0.16700045774843553,0.0412878348995836,0.03745941713789126,-0.019558820865045505,0.04517275636947597,-0.004962461950245779,0.030983588870278404,0.0007674943253680247,0.16101495599017301,0.1540431846639065
9,XSct,0.9939205747659683,-0.23235377377198335,0.7431253690656896,-0.12755022596192564,0.47336087070160426,-0.01852546262362599,0.12842528002507558,-0.09165339804473216,0.10676896422487796,-0.05416033267948575,0.08843191891881763,-0.01517847688946837,0.4223388296170055,0.360068784605512
10,YLac,0.5140401196307005,-0.20933716317810458,0.3506698848260454,-0.1363938717131569,0.20072906296175846,-0.06365214946048536,0.0948900334435039,-0.023842111025867023,0.0905633342251329,-0.001422866961417947,0.04172971629429944,-0.016230870733865664,0.21543702523024008,0.17478532238356828
