,0.24,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.240000
0,EVSct,-1.279832012058841,-0.7146316672065849,-0.9444838647822744,-0.5532509471679551,-0.6552610186200816,-0.43580131145516005,-0.30974078387636184,-0.2074783642430667,-0.1777938476182424,-0.10724176635536356,-0.11239357990908916,-0.06583686271298542,-0.579917517810815,0.41876635230050074
1,SZTau,-1.412660196894715,-0.5250003803028722,-1.0390228936266042,-0.4157574414707458,-0.5947017649983407,-0.24256790813245027,-0.2754558225891578,-0.11336392624757391,-0.17466021607973387,-0.061782168482206,-0.12364372434156545,-0.0494751355350185,-0.6033574364216862,0.48794716356194767
2,SSSct,-0.6512265175104623,-0.40378988311549385,-0.5205140097447413,-0.35364312117844954,-0.34097954792456575,-0.24819750807254026,-0.15255880580914793,-0.10766789471116983,-0.099573638846062,-0.07015222971963944,-0.06194116715962287,-0.042083531420234375,-0.3044656144991003,0.21870584057475298
3,QZNor,-1.231746735445775,-0.14253111803578022,-0.9205323677507129,-0.13334599101105943,-0.503318952479652,-0.05036851573264402,-0.24932346693286056,-0.0428515806855971,-0.14206055436801884,-0.0001784663123256744,-0.10954335176233476,-0.01586817293031633,-0.526087571456559,0.4273927738650994
4,ADGem,-0.37184778616297254,-0.5755672257573254,-0.29765640123933773,-0.44434939461127965,-0.1790521414968878,-0.2614068852403142,-0.07170622914166956,-0.10642856354633146,-0.03875071672689702,-0.06705395374504117,-0.03542111174748056,-0.052877577958742004,-0.16573906441920752,0.13124633429564164
5,YAur,-0.5531160616770626,-0.540424760271449,-0.39968525231798957,-0.3961564294514667,-0.1629773423944907,-0.16150105639993723,-0.10026786191793903,-0.09687102653267726,-0.05763727868418064,-0.058276580153821235,-0.04756254502584041,-0.047142615104723694,-0.22020772366958383,0.20043766598529905
6,STTau,-0.9216818165191892,-0.5501187082708435,-0.6301383843867209,-0.3650989898078457,-0.3403062318004241,-0.18807079765354096,-0.16975074992312444,-0.09855694187998804,-0.105620471230872,-0.058712296679355826,-0.074986467742019,-0.04344677978713237,-0.37374735360039163,0.31964881481904794
7,BFOph,-0.6386530672153843,-0.01984677785394212,-0.4997480341015179,-0.037093149848398815,-0.2725720394609261,5.367735114911176e-05,-0.11985930888984585,0.004494271678963359,-0.06586881138323476,0.016150835476077673,-0.059470016058079396,-0.0044140848319586465,-0.2760285461848314,0.22690732174302586
8,SYCas,-0.9764393252092196,-0.526166336883215,-0.7450849099996675,-0.41596853809484424,-0.4067587996669693,-0.21509275213870685,-0.22145320083947562,-0.13290484623444054,-0.1383810034246426,-0.08013778711510575,-0.08866510428995997,-0.04950025603328561,-0.42946372390498916,0.33263453399511106
9,XSct,-0.407625973230664,-0.7644199882157615,-0.2623258339615219,-0.5499682962027161,-0.10039838671380054,-0.2749060496619164,-0.13048733795229123,-0.2049994234141272,-0.0767847955692406,-0.12933565784434545,-0.03121677424142076,-0.06544622724812202,-0.1681398502781565,0.13437933265528326
10,YLac,-0.8875064283659319,-0.7414033776218827,-0.6547813182011665,-0.5588119419539475,-0.3730301944536464,-0.3200327364987757,-0.16402258453386293,-0.137188136395262,-0.0929904255689857,-0.07659819212627775,-0.07791897686593896,-0.06649862109251928,-0.37504165466492206,0.31040599123203017
11,TVul,-0.8485836113956531,-0.4640371890943896,-0.647960403139846,-0.37018043042535387,-0.363501325957846,-0.20270566914419663,-0.17227301374074605,-0.0974138747423744,-0.09178814588152902,-0.042717375063054015,-0.07710728797364091,-0.04405147122061669,-0.36686896468154345,0.2953558543293936
12,XYCas,-0.9793634763006083,-0.3874915835469611,-0.8058163085090644,-0.3611976273855383,-0.4475341592397032,-0.18471662322310559,-0.22965865717649409,-0.10980522573876483,-0.14630271739515566,-0.06763703308867144,-0.09589214071257796,-0.042982517658878915,-0.45076124322226735,0.33703901399852043
13,TVel,-0.48093274938493236,-0.19508412085655602,-0.3544612494762266,-0.14521595544621307,-0.18769482395458043,-0.06515395805286167,-0.06819996954830523,-0.010734402134530661,-0.03590322235228445,0.0005477750038797788,-0.0421808886876704,-0.017280698698099194,-0.19489548390066658,0.17562897942117886
14,VZCyg,-0.5368539339424347,-0.48816038728225775,-0.4281689334225339,-0.3977361422685709,-0.2724527339606256,-0.25521854261534277,-0.11564872471133844,-0.10520308333724171,-0.04951224491153823,-0.04529129758912607,-0.05095210307728025,-0.04733060092995813,-0.24226477900429186,0.18593417025004608
15,CFCas,-0.3396124034463366,-0.13175123144964068,-0.2696197571666487,-0.11378210912915868,-0.1603568845197565,-0.06733706573310723,-0.04758127113737038,-0.0035836638581531258,-0.03574311169910676,-0.009163172032628349,-0.03208475110283054,-0.013540070986369647,-0.14749969651200825,0.12446847029744305
16,VLac,-1.1153360307624487,-0.6360621672934947,-0.822782182965984,-0.4845151471236969,-0.47166833064023866,-0.27916740822535424,-0.2372708547471059,-0.14767393866270212,-0.16010548845117278,-0.09963630832421275,-0.09791107977295099,-0.05765730250771913,-0.4841789945566502,0.37885731805288303
17,V0386Cyg,-0.6361810405651719,0.03200351360487946,-0.49154791202838805,0.0018160317335149667,-0.343336045183837,-0.054960819650342455,-0.11729715773126469,0.014435250717078608,-0.0822032299023563,0.005647298687966394,-0.05849420153137847,0.00021610777628839478,-0.2881765978237327,0.2206294015359783
18,CRSer,-1.0261184390713773,-0.8703878076239764,-0.7950156506387042,-0.705459439047899,-0.4840512849634578,-0.43972743334146996,-0.239098388428934,-0.21541012314746982,-0.16274608711578487,-0.14688981524432979,-0.09460686242600524,-0.0839496732466988,-0.46693945210737714,0.34370026790310737
19,V1162Aql,-0.5051888558756725,-0.11291318852820292,-0.43395401932245437,-0.13731764823405293,-0.24960405590182036,-0.07303721398169548,-0.1112862205059543,-0.03007758980799049,-0.06219435974766588,-0.010315611243905738,-0.05164052829937168,-0.016340800139852472,-0.23564467327548988,0.17863408986089163
20,CVMon,-0.45355477291301205,-0.19784822699253485,-0.25793751613360477,-0.06962021462079909,-0.15168089953199265,-0.04082074103272905,-0.06272625318309631,-0.010571776823155236,-0.024734005901916434,0.007863257309967668,-0.030694564419898852,-0.008284805539875366,-0.16355466868058685,0.16071367249995083
21,SWCas,-0.7110476970338541,-0.46267324500393636,-0.5432245793080928,-0.3714364715981505,-0.3422410245995136,-0.24505526299926533,-0.15601590530681392,-0.10938246157644338,-0.10626023223601093,-0.0761434299896169,-0.06464372493766157,-0.04420094012017963,-0.3205721939036578,0.2395795867825337
22,XLac,-1.5455231238117275,-0.8566017161395243,-1.1255997537513225,-0.6525651313258033,-0.6671451810447862,-0.40362318137143743,-0.2941618355613398,-0.17161513714179594,-0.1902481423159525,-0.10443102508201377,-0.13394637069640636,-0.07765525062776871,-0.6594374011969225,0.5329026401420413
23,VCen,-0.7485790151979042,-0.399621904836316,-0.5348684604415217,-0.27873845163071437,-0.29172318899255834,-0.14182101368606786,-0.1303084802933489,-0.060588840556726704,-0.07216989072591189,-0.0272364894362983,-0.06364934679254047,-0.03316987574405394,-0.3068830637406309,0.26385652349551963
