,-0.22,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.220000
0,EVSct,-0.7419546005547653,-0.4944903616671235,-0.5457704566852766,-0.385740333106952,-0.37466316354217666,-0.2604179533619913,-0.17137063331970426,-0.11991230231698932,-0.10272055772610063,-0.07221685799039096,-0.06494668434554716,-0.045903099639726136,-0.3335710160289284,0.2448485672121177
1,SZTau,-0.8828880389550974,-0.3101316734032718,-0.6403094855296063,-0.24824682740974266,-0.3741363821489663,-0.1508338321397116,-0.18801757110414602,-0.07342181611623094,-0.12246440537500926,-0.04565557387427022,-0.07619682877802189,-0.029541372461757504,-0.3806687853151412,0.29866144485128493
2,SSSct,-0.08828834972603894,-0.21098716867964323,-0.1218006016477435,-0.1861325071174464,-0.08251058386054437,-0.12215367347335404,-0.032232180479056224,-0.05597396074320445,-0.018370408709197497,-0.03520848156557785,-0.014494271596079994,-0.022149768346975157,-0.05961606600311009,0.038610401647566676
3,QZNor,-0.6946228646099974,0.06157425858940918,-0.5218189596537152,0.03416462304994369,-0.29127604736795853,0.0329973523425065,-0.1547739608643725,0.01256433806538202,-0.09796767724508583,0.01057790959068236,-0.0620964561987912,0.00406559014294447,-0.3037593276566534,0.2359432026099548
4,ADGem,0.19888429983706868,-0.3563376868771139,0.10105700685766,-0.2768387805502765,0.07436219786674961,-0.1636439185118272,0.04734517189773392,-0.07674195809579212,0.03741946033472503,-0.04791992368650477,0.012025783816062369,-0.032943814885481204,0.07851565343499994,0.06321703441955735
5,YAur,0.0004764289443562886,-0.3050689770529255,-0.0009718442209918354,-0.22864581539046358,0.04975163892168627,-0.11968218221489359,0.012897202185090897,-0.06445682016529738,0.013197252008914903,-0.04032313568418865,-0.00011564946229755679,-0.027208852031463657,0.012539171396126494,0.020693919540836395
6,STTau,-0.39041899853704326,-0.28846712036800526,-0.23142497628972308,-0.19758837574684263,-0.11384653592694287,-0.10992533968411168,-0.06038104556841341,-0.05558971538947408,-0.03580868383697243,-0.034235633825703576,-0.027539572178476163,-0.023513016713873194,-0.1432366353895952,0.13838815956659242
7,BFOph,-0.07912589715393814,0.18340140578218578,-0.10103462600452015,0.13041746421260433,-0.04041291539225392,0.09451561551359566,-0.018852392961031902,0.04613839499472725,-0.008929122685341476,0.03082609451499893,-0.012023120494536549,0.015519678241302043,-0.04339634578193702,0.03609043732495627
8,SYCas,-0.42092972103701354,-0.3149043195730896,-0.3463715019026697,-0.24845792403384107,-0.1816625942730707,-0.13705581753907548,-0.09841229435115052,-0.07074563853154345,-0.05836572017890522,-0.042633026887881204,-0.0412182087264171,-0.029566492960025698,-0.1911600067448711,0.14626779279197108
9,XSct,0.13792021226860074,-0.5115066804250707,0.1363875741354758,-0.38245768214171305,0.12262876853700103,-0.22774951011412226,0.03476650133872618,-0.12319222982389469,0.030644594644379228,-0.07721689630856446,0.01623012132212212,-0.04551246417486168,0.07976296204105086,0.051114506970032586
