,0.34,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.340000
0,EVSct,-1.4413849874272888,-0.7527975336606847,-1.0311606926294479,-0.5896662980507819,-0.6689418188397116,-0.3917964950443269,-0.3205956410112808,-0.18387811277426383,-0.2043334896138143,-0.1135000720879468,-0.12270812242290371,-0.07017028946804141,-0.6315207919907412,0.47792960987854516
1,SZTau,-1.582318425827621,-0.568438845396833,-1.1256997214737776,-0.45217279235357255,-0.6684150374465012,-0.2822123738220471,-0.3372425787957225,-0.13738762657350548,-0.2240773372627229,-0.08693878797182611,-0.13395826685537834,-0.05380856229007283,-0.678618561276954,0.5322585561325944
2,SSSct,-0.7877187365985624,-0.46929434067320447,-0.6071908375919147,-0.3900584720612763,-0.37678923915807927,-0.2535322151556896,-0.18145718817063272,-0.11993977120047897,-0.11998334059691114,-0.07649169566313366,-0.0722557096734365,-0.046416958175290485,-0.3575658419649228,0.2639734589614824
3,QZNor,-1.394053251482521,-0.196732913404152,-1.0072091955978864,-0.16976134189388623,-0.5855547026654935,-0.09838118933982906,-0.303998968555949,-0.05140147239189249,-0.19958060913279946,-0.030705304506873476,-0.11985789427614776,-0.020201599685370913,-0.6017091036184662,0.46934312140448614
4,ADGem,-0.5005460870354548,-0.6146448588706752,-0.3843332290865112,-0.4807647454941064,-0.2199164574307853,-0.29502246019416273,-0.10187983579384259,-0.14070776855306663,-0.06419347155298864,-0.08920313778406061,-0.04573565426129418,-0.05721100471379656,-0.21943412252681274,0.1732302621587462
5,YAur,-0.6989539579281672,-0.5633761490464868,-0.486362080165163,-0.43257178033429355,-0.24452701637584862,-0.2510607238972291,-0.1363278055064856,-0.1284226306225719,-0.08841567987879875,-0.08160634978174444,-0.05787708753965404,-0.05147604185977897,-0.2854106045656862,0.24253698141443047
6,STTau,-1.0898493854095668,-0.5467742923615665,-0.7168152122338943,-0.4015143406906725,-0.40812519122447777,-0.2413038813664472,-0.20960605325998993,-0.11955552584674858,-0.13742161572468609,-0.07551884792325939,-0.08530101025583267,-0.047780206542188536,-0.4411864113514079,0.37130088752921253
7,BFOph,-0.7785562840264616,-0.0749057662113754,-0.5864248619486914,-0.07350850073122558,-0.3346915706897888,-0.036862926168739846,-0.1680774006526084,-0.0178274154625472,-0.11054205457305517,-0.01045711958255685,-0.06978455857189306,-0.00874751158701334,-0.34134612174374973,0.2651804327538167
8,SYCas,-1.120360107909537,-0.5732114915666509,-0.8317617378468409,-0.452383888977671,-0.4759412495706056,-0.268434359221411,-0.24763730204272705,-0.13471144898881796,-0.15997865206661888,-0.08391624098543704,-0.09897964680377361,-0.053833682788341025,-0.48910978270668387,0.3789359129895981
9,XSct,-0.5615101746039227,-0.7698138524186319,-0.3490026618086954,-0.5863836470855429,-0.17164988676053386,-0.3591280517964578,-0.11445850635285032,-0.18715804028116903,-0.07096833724333443,-0.11850011040612021,-0.0415313167552344,-0.06977965400317701,-0.21818681392076186,0.1922946719424633
10,YLac,-1.0366970321206115,-0.7701933564637781,-0.7414581460483399,-0.5952272928367742,-0.43076528219109295,-0.36518338975509307,-0.21106656276393337,-0.1759242810765588,-0.13616982362164037,-0.11096163546953855,-0.0882335193797526,-0.07083204784757449,-0.4407317276875618,0.3530072381705901
11,TVul,-0.9921424624054728,-0.5113676273604065,-0.7346372309870195,-0.40659578130818064,-0.4250475538492557,-0.24580473601583033,-0.2135339240695861,-0.11987281421425053,-0.1369122838260064,-0.07442151988587728,-0.08742183048745458,-0.04838489797567122,-0.4316158809374659,0.33675468443294365
12,XYCas,-1.1034487392453944,-0.47348974754190987,-0.8924931363562378,-0.39761297826836506,-0.514371977037033,-0.2305493410466146,-0.26212003124110056,-0.11438646442126513,-0.1696026760331646,-0.07068316969877111,-0.10620668322639162,-0.04731594441393361,-0.5080405405232205,0.37511055221168965
13,TVel,-0.6262779828392822,-0.22901439791335645,-0.44113807732340005,-0.18163130632903984,-0.24633961405116878,-0.10798557228460348,-0.12066931255150908,-0.05121167208768781,-0.08070405981288077,-0.03300506524752064,-0.05249543120148406,-0.02161412545315458,-0.2612707462966208,0.21539164409310285
14,VZCyg,-0.6697633860698347,-0.5406075040726368,-0.5148457612697074,-0.43415149315139767,-0.3105552508753524,-0.2733748800316816,-0.14691483120060583,-0.12951075478350724,-0.09160303914675981,-0.08067199377984499,-0.06126664559109388,-0.051664027685013464,-0.2991581523588923,0.22758366955007225
15,CFCas,-0.47536106793074995,-0.17814567039999119,-0.35629658501382216,-0.15019746001198547,-0.20606945062525378,-0.09290822078986583,-0.0950389912140573,-0.0416224738148698,-0.06586729804163298,-0.02788009421514792,-0.042399293616644185,-0.017873497741425076,-0.20683878107369338,0.1635096622370885
16,VLac,-1.2718936165925219,-0.6698526563393881,-0.9094590108131575,-0.5209304980065237,-0.5347943918138555,-0.31977763181428187,-0.27169650039579285,-0.15707469574299918,-0.17908109071357692,-0.09946527958676524,-0.10822562228676466,-0.06199072926277441,-0.5458583721026116,0.4285498058189552
17,V0386Cyg,-0.7802225164195468,-0.022547750508590758,-0.5782247398755616,-0.03459931914931183,-0.3709372705439584,-0.033447567735777436,-0.16759865765647464,-0.007820256101732717,-0.1145249821794624,-0.005767600314370257,-0.06880874404519219,-0.004117318978767111,-0.34671948512003264,0.2618159339533019
18,CRSer,-1.167522197657591,-0.93041198837336,-0.8816924784858777,-0.7418747899307259,-0.5319224233864008,-0.466551053987901,-0.2643535074926342,-0.22615711639184802,-0.17330104558459203,-0.14372364426853615,-0.10492140493981891,-0.0882831000017539,-0.5206188429244857,0.39200057835981733
19,V1162Aql,-0.6299364294948404,-0.18783647144644428,-0.5206308471696278,-0.17373299911687973,-0.3013202228648756,-0.10197915214089631,-0.14850863067626774,-0.04858622697446114,-0.09649021704839804,-0.03000005581494583,-0.06195507081318452,-0.020674226894906285,-0.29314023634453235,0.21573645222340618
20,CVMon,-0.6228312865109421,-0.17708280505326082,-0.3446143439807782,-0.10603556550362589,-0.19906375575506646,-0.06683429406539301,-0.09784331281042898,-0.03146465236952222,-0.06358699791035897,-0.019635311635854552,-0.041009106933712514,-0.012618232294929949,-0.2281581339835479,0.216308449693207
21,SWCas,-0.8540054594994408,-0.5098962349737061,-0.6299014071552662,-0.4078518224809774,-0.3833039510264725,-0.2594684380205343,-0.1862796739861986,-0.12366453864606833,-0.1234638698969069,-0.07896259116763751,-0.07495826745147524,-0.04853436687523496,-0.37531877150262677,0.28712053528224757
22,XLac,-1.718174780166927,-0.8869258769485341,-1.212276581598496,-0.6889804822086301,-0.7301939997163771,-0.4330970492287498,-0.359028096792808,-0.2072273602033027,-0.23774655361515434,-0.13150651937410254,-0.14426091321022003,-0.08198867738282392,-0.7336134875166637,0.5785337510598907
23,VCen,-0.9025084503157441,-0.4179284860684978,-0.6215452882886952,-0.31515380251354114,-0.3535933046489979,-0.18749799220651725,-0.1766038033945463,-0.09103389823520319,-0.11485984481578294,-0.05707706759481712,-0.07396388930635414,-0.03750330249910938,-0.3738457634616868,0.308283085803602
24,FMCas,-0.8823833696449442,-0.2283420240635135,-0.6519717999373973,-0.1890258124132556,-0.39238986708242807,-0.11782825588802884,-0.19034128182947796,-0.05436799975516746,-0.12726122149831287,-0.0346652035162468,-0.0775846441925491,-0.02249407167717496,-0.38698869736418495,0.2976286716045228
25,CSVel,-0.7087810402580006,-0.3307433863560849,-0.46435007378173376,-0.2435959683225101,-0.2558515831319707,-0.1438015870447939,-0.13285152957153773,-0.07196999088372188,-0.08448548426915657,-0.04455674991185257,-0.055257658780025476,-0.028987920230376413,-0.2835962282987375,0.24338642449174772
26,MWCyg,-1.2500344808864963,-0.07952885207363783,-0.9270507815424283,-0.08503170083162993,-0.5777323302231419,-0.061735602331598624,-0.279848672625131,-0.024928664632684297,-0.18812423283593677,-0.015645108923690407,-0.1103190430035482,-0.010118772398961844,-0.5555182568527804,0.4173956118217653
27,FMAql,-0.9191362011201072,-0.7222928303122664,-0.7129983734616187,-0.5888117692431685,-0.4766181366155875,-0.3938677249785316,-0.20947594872769437,-0.17886935420965813,-0.1376197098775655,-0.11391779748226763,-0.08484680644193207,-0.0700686005399355,-0.42344919604075093,0.30747187674533255
