,rms_hVI_M,mu_hVI_M,rd_hVI_M,rms_hVI_S,mu_hVI_S,rd_hVI_S
0,0.0022587879824122353,0.98,-0.023034814751882935,1.258684658217e-05,-0.02,-0.05004036925908528
1,2.896363411651856e-05,-0.08,0.05128800106334343,3.054093356888124e-07,-0.2,0.04139166078172315
2,2.740444769863771e-05,0.54,-0.035325423035148754,2.4867203608704344e-06,-0.02,-0.06807997337363127
3,8.246696930897118e-05,0.44,-0.029077919773571468,5.167064900285353e-07,0.18,-0.04614823082811274
4,6.37224373730847e-05,0.38,-0.010330901099900886,1.1935543375557095e-06,-0.04,-0.038836175279396645
5,0.0005295517283396314,-0.52,-0.04951072166417997,1.0589913921408633e-06,-0.16,-0.028813545335906326
6,6.10471383387547e-05,-0.2,0.034457642562125745,3.5316105886402797e-07,0.0,0.04222227654924077
7,5.452170693391349e-05,0.16,-0.00398590101869912,1.1052506461107179e-07,0.1,-0.009814270279983444
8,6.754533456092121e-05,0.0,-0.0075690681524767335,1.6720903732532773e-07,0.16,0.005702621923074106
9,7.724188781332434e-05,-0.44,-0.01148474529635704,1.4366846028210803e-06,0.04,0.012433616406811237
10,9.080492196300227e-05,0.12,-0.02910686029125511,4.151473427146961e-07,0.16,-0.028612990967456932
11,5.994356744352249e-05,0.12,0.04812404916922136,1.2762292955113578e-06,-0.06,0.046554864879255885
12,8.531796090589731e-05,0.0,-0.00535552396857437,7.116914323580753e-07,-0.32,-0.02539704489805225
13,3.8165164008681424e-05,-0.2,0.014583185565719576,3.072241608646234e-07,-0.02,0.0253680579519025
14,2.966941821311426e-05,0.04,0.017142714661326486,7.808084993080716e-07,-0.2,0.007920192831016925
15,2.0824808038063244e-05,-0.32,0.00530402058817533,7.049609716021823e-07,0.08,0.028565893692195903
16,5.846052418561147e-05,-0.38,0.003937405712073656,3.7560846617356373e-07,-0.14,0.012098952167434998
17,0.00013129114572125544,-0.64,-0.011845753838675607,1.5078084048305367e-06,-0.08,0.02446037942477339
18,0.0005065424643774269,-1.0,-0.01334459749977378,5.938088561178059e-06,0.06,0.050717629932236566
19,0.0001942475387771158,-0.2,-0.09827889363067047,1.8857794988378548e-07,-0.1,-0.08831859592881557
20,0.00012806083935895755,-0.06,-0.020327553201780507,3.041962681440563e-07,0.08,-0.010538162864362313
21,7.62914051490036e-05,-0.44,-0.01812164119996588,8.512396157517763e-07,-0.22,-0.00814309949006522
22,0.0003527634943098368,0.5,-0.014616873000978081,9.353167920584913e-07,0.2,-0.026760841356184093
23,0.014251653559135713,-1.0,0.010086407944099655,3.719749264328114e-05,0.22,0.018114619736802392
24,1.9031056698081744e-05,-0.14,-0.031131237577531574,1.6980299567408495e-07,0.04,-0.021853105414105796
25,0.0001279918918893663,-0.28,0.06170420392396791,1.1761572599271296e-06,0.18,0.08316715076471418
26,0.00018930168645141615,0.22,-0.04831202252819834,1.2344022226780672e-06,-0.04,-0.07115809037318999
27,6.762999045547019e-05,0.32,0.03131656484287425,4.02911481674383e-07,0.18,0.01827443527947976
28,9.335279575596988e-05,-0.34,-0.017781052066781863,9.571502352146906e-07,-0.04,-0.007421724225432665
29,0.00010609143584498532,0.54,0.03740100149045229,1.737880166699899e-06,0.08,0.009115295479143805
30,2.5680588807337046e-05,0.04,-0.01820652538278011,7.84798294553427e-08,0.06,-0.01738354623886578
31,3.8918123945637624e-05,-0.38,-0.028133437276743556,2.535151586824417e-07,-0.22,-0.020797600087441307
32,0.0008649964507948786,0.98,0.0738699098560103,5.893607478760395e-06,0.04,0.015865924636569873
33,6.999998416159387e-05,0.36,0.03921189809512897,1.4254789631650672e-06,-0.2,0.005298492061725818
34,5.898598412811389e-05,-0.08,-0.0026953442543898275,6.650463922144178e-07,-0.2,-0.0031909976726327114
35,0.047367252234672357,0.98,-0.006023185106293143,3.957524083756429e-05,0.62,0.11169268810713327
