,var_gVI_M,mu_gVI_M,rd_gVI_M,var_gVI_S,mu_gVI_S,rd_gVI_S,var_iVI_M,mu_iVI_M,rd_iVI_M,var_iVI_S,mu_iVI_S,rd_iVI_S
0,3.991355352030322e-05,-0.62,-0.021397827745536484,4.364492019381048e-06,0.88,0.06286334627421038,0.016294109447314315,-1.0,0.12558819262492235,1.6950629615109757e-07,0.76,0.04923742202607631
1,4.0603035563705746e-05,0.66,0.008021703838016021,1.9376119759289144e-08,0.54,0.001640058954637132,3.6689777164829304e-05,0.76,0.007516823439639754,3.63553381154474e-09,0.44,0.0029131238410868756
2,2.3578145633075857e-05,-0.28,0.027470183878294963,6.782813219060084e-08,0.2,0.05142494045574717,1.8992900359485207e-05,-0.86,0.03328733360992401,5.690484312116776e-09,0.46,0.04709812946574261
3,0.0002434170400956393,0.8,0.028855727185924485,7.648405546604414e-07,0.38,0.007718335382478119,0.00024159813444659284,0.96,0.026242302636865365,4.033445109966756e-08,-0.18,0.01185480915088369
4,6.954480125452793e-05,-0.4,-0.04013898884029404,2.8912920256325808e-08,-0.48,-0.04711954374392787,5.732024464670844e-05,0.34,-0.03949981702050903,1.6596427438407417e-09,0.06,-0.046801448824407454
5,7.336449138763067e-05,0.5,-0.02654771057618589,7.637502415755335e-07,-0.62,-0.0814581571535232,0.01419229251831639,0.98,-0.1594402679325924,2.672131070974136e-08,0.02,-0.07149092908972603
6,4.2134379128790116e-05,0.32,-0.026356091316049393,8.339343513033482e-07,-0.1,-0.042370855156286046,0.00033108322782528883,0.98,-0.047800335585023425,6.298835039564486e-08,0.04,-0.03904695220863722
7,0.00013653395722877624,0.2,0.023557691488074312,6.165207975931579e-07,-0.1,0.0037036592578285903,0.00010898558766633998,0.3,0.02187326112715704,3.4216904484582735e-08,-0.54,0.006302385354461118
8,0.00015590003234035765,0.38,-0.062270151743395265,7.739226155848402e-07,-0.2,-0.08816172748191918,0.0005652225872729978,0.98,-0.08860244902696539,3.233661752409766e-08,-0.22,-0.08247447010439732
9,0.0011506430825619235,0.32,-0.005378135436791776,7.170702350416e-07,-0.56,-0.028379799039945596,0.016679535874521853,0.98,-0.14092219369490347,2.646494424334325e-08,0.82,-0.019370351424704647
10,0.00016465703001326804,0.08,-0.049375646424170604,6.191632111493726e-08,-0.14,-0.06538977493178694,0.00013351508414774274,0.94,-0.05256303831109108,2.8194245765096455e-09,0.28,-0.06418961710204542
11,0.0001572032846871636,0.18,-0.028344914086881418,2.557022083248333e-07,-0.1,-0.044884554804537485,0.00013645811658080504,0.74,-0.030372598981024155,1.536940785325081e-08,-0.04,-0.042453774486138386
12,0.00015039588083764336,0.32,-0.08398045560091956,4.128428491371734e-06,-0.26,-0.11441301658681495,0.0002184772450509377,0.84,-0.08926939774577514,2.1573400982839835e-07,-0.62,-0.10801060422209956
13,0.0002166446564427216,0.08,0.0372128524545615,6.70930747304383e-08,-0.2,0.01714151934063169,0.00017104520082112038,0.7,0.03505906677128017,2.3111076914046368e-09,-0.1,0.01934424152364754
14,0.0002174824430474744,-0.36,-0.00641051756205234,1.3324540628174168e-07,-0.12,0.000283959657037121,0.000253375053000375,-0.42,-0.0036037832624570393,3.311438125973325e-09,0.24,-0.002050468155580833
15,0.00012064063143899596,-0.18,0.04633665702735301,8.421938650747073e-08,-0.18,0.03842238633406455,0.0001179315203012662,-0.1,0.045139540857647514,3.2124743967250082e-09,-0.12,0.037737113348522026
16,0.00010489578168798498,0.32,-0.04350453063925597,7.054466078870462e-08,0.08,-0.051011159281784034,0.00013256064496376172,0.8,-0.04753735500132894,4.376534811660064e-09,0.2,-0.04835825410331476
17,0.00020521214684231747,-0.42,0.06849817783070374,5.360989215883334e-07,0.42,0.10388282403350824,0.006850449186055076,-1.0,0.15987395964955972,1.7853573726120826e-08,-0.18,0.0957874759675656
18,0.0001843675109441953,0.0,-0.0510266919004024,1.5243489792811457e-07,0.12,-0.0419012591591573,0.00016371932561987177,0.34,-0.05082917687739622,7.548377767921073e-09,0.72,-0.0426519786722217
19,6.90111842680291e-05,-0.04,0.009146763469929837,1.4803372291588963e-06,-0.2,-0.005305754356378076,6.301557221625672e-05,0.0,0.00803846368250664,8.697977841460165e-08,-0.42,-0.003918094775464187
20,0.00023547062998050566,-0.16,0.05264833162341781,3.9584659872933375e-06,-0.06,0.05961628840510613,0.0002398650135638118,-0.18,0.05221285352718471,2.2911507363304227e-07,-0.04,0.05753016748255346
21,4.280510937815638e-05,-0.2,0.0022401510406580495,4.4252196128415536e-08,0.08,0.01888695440887904,3.287484143218255e-05,-0.46,0.007254760942032399,2.764211162662862e-09,0.3,0.016695842313034392
