,error_pair,A0_B,A0_V,A0_I,A0_J,A0_H,A0_K,min_rms,min_mu,avg_EBV,A_B,A_V,A_I,A_J,A_H,A_K
0,EVSct,-0.07351721739866529,-0.07628526545902803,-0.07979348742280336,-0.08331444583631062,-0.08151178112549354,-0.0833144458363113,0.0024987832645387295,0.54,-0.040775985309012046,-0.17253542663802268,-0.1317064325481089,-0.08007751098925021,-0.0384582783040478,-0.023838864291207712,-0.01567306547322496
1,SZTau,-0.07351721739866529,-0.07628526545902803,-0.07979348742280336,-0.08331444583631062,-0.08151178112549354,-0.0833144458363113,0.0005516609492541322,0.58,0.004244124638168443,0.017958164581482132,0.01370852258128407,0.008334781729420714,0.004002888593734948,0.0024812425872124165,0.0016313141871728042
2,SSSct,-0.07351721739866529,-0.07628526545902803,-0.07979348742280336,-0.08331444583631062,-0.08151178112549354,-0.0833144458363113,0.0010104724347923624,0.1,0.007902281063272506,0.03343692186302495,0.025524367834370194,0.015518815643297079,0.007453115407636096,0.004619910578021005,0.003037399772290053
3,QZNor,-0.07351721739866529,-0.07628526545902803,-0.07979348742280336,-0.08331444583631062,-0.08151178112549354,-0.0833144458363113,0.0016865747367393537,0.58,0.017773199998997565,0.0752037411557584,0.05740743599676214,0.03490372108603138,0.01676297131105454,0.010390745915413946,0.006831484883614694
4,ADGem,-0.07351721739866529,-0.07628526545902803,-0.07979348742280336,-0.08331444583631062,-0.08151178112549354,-0.0833144458363113,0.0009400573457755528,-0.52,-0.015384254105298865,-0.06509539439575109,-0.049691140760115333,-0.030212213582150125,-0.014509813101953676,-0.008994096477580876,-0.0059132457504537245
5,YAur,-0.07351721739866529,-0.07628526545902803,-0.07979348742280336,-0.08331444583631062,-0.08151178112549354,-0.0833144458363113,0.0022277922424100123,-0.28,-0.0009207052742959742,-0.0038957802271285557,-0.0029738780359759966,-0.0018081178458734062,-0.000868372386504991,-0.0005382719245116554,-0.0003538914862811436
6,STTau,-0.07351721739866529,-0.07628526545902803,-0.07979348742280336,-0.08331444583631062,-0.08151178112549354,-0.0833144458363113,0.0016059741709239781,0.0,-0.008972304097492863,-0.03796451032772155,-0.028980542234901947,-0.017620169678820383,-0.008462318332591368,-0.005245478144517253,-0.0034486845259533317
7,BFOph,-0.07351721739866529,-0.07628526545902803,-0.07979348742280336,-0.08331444583631062,-0.08151178112549354,-0.0833144458363113,0.000807538846432598,-0.04,0.019452013724349234,0.08230730567183892,0.06283000432964803,0.038200642632426,0.018346361264257222,0.011372230783666292,0.007476770515228115
8,SYCas,-0.07351721739866529,-0.07628526545902803,-0.07979348742280336,-0.08331444583631062,-0.08151178112549354,-0.0833144458363113,0.0020419148042971924,0.1,-0.03296304686337734,-0.13947654019300854,-0.1064706413687088,-0.06473414995217495,-0.031089427279662966,-0.019271186087736293,-0.012670006322876346
9,XSct,-0.07351721739866529,-0.07628526545902803,-0.07979348742280336,-0.08331444583631062,-0.08151178112549354,-0.0833144458363113,0.0056935285875523165,-0.02,-0.008118621318189835,-0.03435232238365665,-0.026223146857753166,-0.015943673289513925,-0.007657158882463924,-0.004746389581253323,-0.003120554476072627
10,YLac,-0.07351721739866529,-0.07628526545902803,-0.07979348742280336,-0.08331444583631062,-0.08151178112549354,-0.0833144458363113,0.0004968191474987808,-0.16,-0.021435673418508636,-0.09070076493573559,-0.06923722514178289,-0.042096232886204,-0.020217269741400604,-0.012531937750662704,-0.008239229791872164
11,TVul,-0.07351721739866529,-0.07628526545902803,-0.07979348742280336,-0.08331444583631062,-0.08151178112549354,-0.0833144458363113,0.0007393015942080702,-0.02,-0.011730356552758656,-0.0496346576816877,-0.037889051665410456,-0.023036543412569558,-0.011063603086299853,-0.006857918351439293,-0.004508797148183845
12,XYCas,-0.07351721739866529,-0.07628526545902803,-0.07979348742280336,-0.08331444583631062,-0.08151178112549354,-0.0833144458363113,0.001580512294596754,0.04,-0.04234594058086539,-0.17917837837981573,-0.13677738807619522,-0.08316065195032668,-0.039938997318248994,-0.024756707241791333,-0.01627650918106723
13,TVel,-0.07351721739866529,-0.07628526545902803,-0.07979348742280336,-0.08331444583631062,-0.08151178112549354,-0.0833144458363113,0.0009407227338751169,-0.22,0.030380084374847325,0.1285472510152915,0.09812767253075685,0.05966162489870017,0.028653280378981,0.01776110872806699,0.011677193031160066
