,error_pair,A0_B,A0_V,A0_I,A0_J,A0_H,A0_K,min_rms,min_mu,avg_EBV,A_B,A_V,A_I,A_J,A_H,A_K
0,EVSct,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.01206626482893491,0.6,-0.5292424004424411,-2.239383368992101,-1.7094529534290848,-1.0393473956848835,-0.4991602624012927,-0.30941098457066435,-0.20342490145806108
1,SZTau,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.003449151848190983,-0.72,-0.05580618734673625,-0.23613272052024512,-0.18025398512995808,-0.10959442295901452,-0.052634163657947756,-0.03262597130852241,-0.021450224230465012
2,SSSct,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.004877142769739708,0.22,-0.18659385470438758,-0.7895345774106752,-0.6026981506951719,-0.3664404756226645,-0.17598786000299016,-0.1090883652758261,-0.07172107993272545
3,QZNor,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.01597466089297579,-0.9,0.06837821333946073,0.2893287341032602,0.22086162908645815,0.13428387048456655,0.06449159569324578,0.03997595486464892,0.02628253386128852
4,ADGem,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.009252466554927495,0.34,-0.12277119378264062,-0.5194817522524873,-0.3965509559179292,-0.24110298119810095,-0.11579287912803532,-0.07177572302114518,-0.047189563754233575
5,YAur,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.013357856519532144,-0.62,0.19788396274381484,0.8373064115579038,0.6391651996625219,0.3886124413948133,0.18663623830145637,0.11568890113891647,0.07606065875984011
6,STTau,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.006206843869102826,-0.4,0.0007546716533976388,0.003193242167021429,0.002437589440474373,0.0014820543798084189,0.0007117761166185169,0.00044120368872586154,0.0002900731434164504
7,BFOph,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.007209270352892729,-0.26,0.009827750198471456,0.04158415941479227,0.0317436331410628,0.019300128949766186,0.009269140877190338,0.005745597598532367,0.0037774923437864736
8,SYCas,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.01703833149899628,-0.5,0.00608344515752246,0.025740881495024785,0.019649527858797547,0.011946912938148908,0.005737662134768883,0.0035565645424423557,0.0023382938151969078
9,XSct,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.03918099137279679,-0.52,0.2045946098031093,0.8657011724598964,0.660840589664043,0.4017910785157382,0.19296545218190056,0.11961214672919179,0.07864003017002112
10,YLac,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.005602626174858902,-0.12,-0.10497648554381826,-0.44418700328155825,-0.339074048306533,-0.20615702137037206,-0.09900962210550762,-0.06137240274348247,-0.040349811748477425
11,TVul,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.006243275463506964,-0.24,-0.05861109474997062,-0.2480011252155507,-0.18931383604240512,-0.1151028123137823,-0.05527964012438229,-0.034265804323675327,-0.022528346489046207
12,XYCas,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.019450150885766355,-0.44,-0.03198470455782102,-0.1353368803955081,-0.10331059572176189,-0.06281284219883124,-0.03016669395075447,-0.0186992178256389,-0.012293960890889665
13,TVel,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.009292810050534296,-0.12,0.015472096193423985,0.0654670806232349,0.04997487070475947,0.030384721388493758,0.014592662245789763,0.009045451597561463,0.005947009613866377
14,VZCyg,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.004841438326625977,0.34,-0.18810069572479782,-0.795910473820337,-0.607565247191097,-0.36939967029218695,-0.1774090521798003,-0.10996930974158854,-0.07230026441574053
15,CFCas,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.015549680768219632,0.16,-0.05505212018795663,-0.2329420361513009,-0.17781834820709994,-0.10811355570991675,-0.05192295767647317,-0.03218512102548508,-0.021160383436644892
16,VLac,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.006488224284210553,-0.42,-0.06648085046777999,-0.2813004225843175,-0.21473314701092935,-0.13055775338264505,-0.06270207892719137,-0.03886669960897821,-0.025553244494300593
17,V0386Cyg,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.022966542489296752,0.44,-0.26906579319567536,-1.138498090748861,-0.8690825120220315,-0.5284021673093952,-0.25377209351043317,-0.1573039346759877,-0.10342081893062173
18,CRSer,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.005434257629692908,-0.08,-0.18248466961018153,-0.7721473825215611,-0.5894254828408864,-0.3583706935672589,-0.17211224098953878,-0.10668601239420043,-0.07014163245806547
19,V1162Aql,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.010192104019469473,-0.02,-0.04674782757584436,-0.19780408282167022,-0.15099548306997726,-0.09180525370654619,-0.04409068105643336,-0.027330182435665887,-0.017968462485327297
20,CVMon,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.014348754750618403,0.14,-0.05982660108058365,-0.2531442971522736,-0.19323992149028518,-0.11748987226609339,-0.056426057075163266,-0.03497642578974162,-0.022995550657343936
21,SWCas,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.0046026747015031405,0.14,-0.16699505102456946,-0.7066061594002607,-0.5393940148093593,-0.3279515610040905,-0.15750305232433293,-0.09763031668049404,-0.06418788776231377
22,XLac,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.008878905046606574,-0.46,-0.1868009928849902,-0.790411041194259,-0.6033672070185183,-0.36684726186725913,-0.17618322444940732,-0.10920946447035182,-0.07180069763520368
23,VCen,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.003584428816415495,-0.22,-0.01959195440969019,-0.0828994366937221,-0.06328201274329931,-0.03847546374792598,-0.018478347721043398,-0.011454044306537176,-0.007530559516452618
24,FMCas,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.008010526550387809,0.02,-0.13049502149031753,-0.5521635844319805,-0.4214989194137256,-0.25627134300354515,-0.12307768446880786,-0.07629130441388433,-0.05015837141023335
25,CSVel,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.005092078215785956,-0.18,0.024734791670960505,0.10466032399733519,0.07989337709720243,0.04857517327509908,0.023328866112383106,0.014460701254593639,0.00950731187456709
26,MWCyg,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.008982199011953688,-0.04,-0.2345697474259002,-0.9925349722832115,-0.7576602841856577,-0.46065745278487985,-0.22123680298221202,-0.13713651143760403,-0.09016157381809325
27,FMAql,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.027166026971504355,0.96,-0.5213501326170339,-2.2059888161424555,-1.6839609283530195,-1.0238482444386359,-0.4917165910790816,-0.3047969280318965,-0.2003913504740093
28,CRCep,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.017025997846626048,0.3,-0.16900860948358212,-0.715126129307881,-0.5458978086319702,-0.33190586764823793,-0.1594021601205353,-0.09880750336238661,-0.06496183922720446
29,RSCas,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.013389683958834777,-0.68,0.09683198648552309,0.4097251844161939,0.31276731634823957,0.19016252833972966,0.09132805637368595,0.05661088425903136,0.03721931064544051
30,RRLac,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.015904298446007773,-0.62,-0.017225208280540406,-0.07288502379745061,-0.05563742274614551,-0.03382755302965647,-0.016246127441874487,-0.010070373517052337,-0.006620853306791316
31,XXSgr,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.007665593393704651,0.1,-0.129917881729629,-0.5497215329625792,-0.4196347579867017,-0.25513793285591463,-0.12253334933211688,-0.07595389119559301,-0.0499365362004175
32,BBSgr,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.010660635249393828,0.02,-0.11943246970339323,-0.5053546090559677,-0.3857668771419601,-0.23454626130231176,-0.11264392812545235,-0.06982380476269479,-0.045906258379893254
33,VCar,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.008351123366052118,-0.16,-0.05579490556764072,-0.23608498392835817,-0.18021754498347953,-0.10957226734995555,-0.052623523135176015,-0.03261937564200979,-0.021445887853034064
34,V0495Cyg,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.014385428995009683,-0.86,-0.02216477745627646,-0.09378582285074259,-0.07159223118377298,-0.043528076559733966,-0.020904931505661705,-0.012958193844262908,-0.008519475510868983
35,USgr,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.005552955344708394,0.14,-0.16127821050802052,-0.6824164921225873,-0.5209286199409062,-0.316724600924071,-0.1521111570227446,-0.09428808020930403,-0.061990505772967844
36,TWCMa,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.008564429396463243,0.22,-0.13049751116517028,-0.552174118993185,-0.4215069610635,-0.256276232326608,-0.12308003263054199,-0.0762927599524935,-0.050159328366556497
37,xSgr,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.008313255422960998,-0.4,-0.09669747708636568,-0.40915603479553914,-0.31233285098896113,-0.18989837340128837,-0.09120119248877664,-0.05653224602900197,-0.03716760926768638
38,V0600Aql,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.04093369520602685,0.98,-0.5320191535015589,-2.2511326442111463,-1.7184218658100354,-1.0448004944125016,-0.5017791848165303,-0.31103435771161636,-0.2044922020313942
39,V0459Cyg,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.024034616134315043,0.78,-0.4295353161756455,-1.8174927833340089,-1.387399071247335,-0.8435386353183797,-0.4051205288042218,-0.2511192318957676,-0.16510048947843287
40,CKSct,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.010189560304471866,0.24,-0.05855051001175726,-0.2477447730127485,-0.18911814733797597,-0.11498383358148938,-0.05522249902268897,-0.034230384668173644,-0.02250505953321914
41,TZMon,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.06283734678799684,0.54,-0.1065892862753189,-0.4510112470167569,-0.34428339466928004,-0.20932430395892226,-0.10053075124342976,-0.06231529443513969,-0.04096972396564432
42,V1344Aql,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.02077904240207109,-0.08,-0.09852001109221314,-0.4168677229344815,-0.31821963582784846,-0.19347753858333186,-0.09292013366173174,-0.057597754084840566,-0.03786813666351396
43,RSOri,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.0056198482767844515,0.22,-0.23103550865079073,-0.9775805477540909,-0.7462446929420541,-0.45371677330876886,-0.21790345033907976,-0.13507028942251179,-0.08880311846010443
44,BKAur,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.006885397108392764,0.06,-0.08987506514362349,-0.3802883631422141,-0.2902964604139039,-0.17650024793165356,-0.08476656644085992,-0.0525436593349166,-0.03454527878925456
45,GHLup,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.01527566360587567,-0.16,0.019929061370755494,0.08432583737807772,0.06437086822754025,0.03913748788234447,0.018796293522441748,0.011651127149184783,0.007660133319077289
46,FNAql,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.01978641705152539,0.78,-0.3746719446063642,-1.5853493992129088,-1.2101903810785564,-0.7357957516957623,-0.35337559127493845,-0.2190444589752187,-0.1440126553483482
47,YZSgr,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.0026440508634273108,0.28,-0.1881680461184565,-0.7961954535410251,-0.6077827889626145,-0.3695319356892696,-0.17747257437708341,-0.11000868480223322,-0.07232615188655113
48,SNor,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.007385714285091007,-0.38,0.050674111766714186,0.21441736911849774,0.16367738100648682,0.09951584765194399,0.04779379525389415,0.029625605962174114,0.01947760833977193
49,DDCas,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.01592159710881487,0.64,-0.25595718038601817,-1.0830316173673586,-0.8267416926468387,-0.5026589491292779,-0.24140857425287687,-0.1496402463690778,-0.0983822614249738
50,BZCyg,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.003533534887813239,-0.6,0.11069218302424354,0.46837183403048166,0.3575357511683066,0.21738173671033043,0.10440043934114553,0.0647139709614635,0.04254675438902849
51,SYAur,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.008806523752348621,0.5,-0.2738263170065193,-1.1586412951496852,-0.8844590039310575,-0.537751074390083,-0.2582620291478687,-0.1600870797115214,-0.10525062146779583
52,YSct,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.011715817913705092,-0.02,-0.09634314795149641,-0.40765676192716677,-0.3111883678833334,-0.18920252767306672,-0.09086700342193335,-0.05632509458688335,-0.03703141577811667
53,TWNor,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.013051054038585305,-0.14,-0.06540442033772818,-0.27674572377502926,-0.21125627769086203,-0.1284438168360441,-0.0616868330857317,-0.03823738626204603,-0.02513949704521258
54,ZLac,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.017238979928744482,0.26,-0.24476704421217274,-1.0356827941749664,-0.790597552805318,-0.4806833121056333,-0.23085448541915282,-0.14309815705776255,-0.09408110878383283
55,XXCen,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.0028206551603909193,-0.2,-0.08699812640532677,-0.36811517225885915,-0.28100394828920544,-0.1708504005598369,-0.08205315290044798,-0.05086171464034619,-0.03343946984641545
56,TYSct,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.012396140043440872,-0.08,-0.154586721342296,-0.6541027940156571,-0.4993151099356161,-0.30358358684085457,-0.1458000121011999,-0.09037603489834652,-0.05941849808233832
57,V340Nor,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.01293390519076269,-0.82,0.2095888103159386,0.886833133089831,0.6769718573204817,0.41159888925085286,0.19767578233758062,0.12253190617500717,0.08055965102113731
58,AAGem,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.008705937585837523,-0.08,0.11266445670514896,0.4767171156564968,0.3639061951576312,0.22125496665583974,0.10626060898602828,0.06586702132353124,0.04330483722375811
59,RXAur,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.013624917410288208,-0.04,-0.06101392848082431,-0.2581682355809119,-0.19707498899306253,-0.11982159330778203,-0.05754589678597425,-0.035670573007744316,-0.02345192369017444
60,UUMus,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.0018080756637411976,-0.2,0.0666955425309614,0.282208849111257,0.2154266023750053,0.13097937424400324,0.06290456789350155,0.03899221502987596,0.02563576568262563
61,RYCas,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.018504653306145327,-0.78,0.22631149873058032,0.9575918445787045,0.7309861408997744,0.4444395736670629,0.2134479531427341,0.13230849150285917,0.08698735076707316
62,UNor,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.006317495520842891,-0.56,0.00646256818805008,0.027345064774096303,0.020874095247401758,0.01269144991042027,0.0060952358122413125,0.0037782112397797183,0.002484017334440809
63,ZSct,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.007799639729497897,0.54,-0.27411748051598833,-1.1598732953073014,-0.8853994620666423,-0.5383228729365185,-0.2585366429234595,-0.16025730263406227,-0.10536253598593043
64,BNPup,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.006416763649311465,0.28,-0.06461745763286415,-0.2734158484819381,-0.20871438815415122,-0.12689834799772395,-0.06094460134101215,-0.03777730425590137,-0.024837012190343993
65,TTAql,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.020088771801390334,0.6,-0.32313772803215324,-1.36729266862245,-1.0437348615438549,-0.6345907958186638,-0.3047705795708056,-0.18891600993943775,-0.12420444852371873
66,LSPup,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.00813513528219657,-0.08,-0.004740322462336417,-0.02005772643488408,-0.015311241553346629,-0.00930923486443475,-0.004470882533577215,-0.0027713347211557396,-0.0018220377448482487
67,TXCyg,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.016311405688656692,-0.76,0.12419241673352437,0.5254953729245616,0.4011415060492837,0.2438940356779645,0.11713331976639083,0.07260661259492035,0.04773583921986476
68,UZSct,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.03153524874396667,-0.76,0.20698122794378393,0.875799669798533,0.6685493662584221,0.4064780146851206,0.19521641494745923,0.1210074352927744,0.07955737458475223
69,RWCas,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.005087686116542268,0.04,-0.054187280117864806,-0.22928263836272136,-0.1750249147807033,-0.10641514818666763,-0.05110727511596536,-0.0316795095753073,-0.020827964858903696
70,VWCen,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.012655993901333503,-0.58,0.32416525179802597,1.3716404299329872,1.0470537633076238,0.6366086880910353,0.30573969888582614,0.18951673115867992,0.12459939783360724
71,SZCyg,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.027056912493245176,0.36,-0.1095947528450056,-0.4637282777130722,-0.35399105168936806,-0.21522655942713578,-0.10336538709329547,-0.06407238035577562,-0.0421249351510348
72,SVMon,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.00592726709855098,-0.02,0.040375206720086106,0.17083961219470034,0.13041191770587812,0.0792904459651739,0.038080279970116405,0.02360455710476394,0.015519018206999496
73,XCyg,-0.21282089862524559,-0.23356393190151217,-0.2335639319015115,-0.19379339591974462,-0.05783710657220706,0.0727514519587317,0.01660271645023729,-0.1,-0.08302973969234836,-0.35132373756023366,-0.2681860592062852,-0.16305712399742142,-0.07831032928823528,-0.04854167671633762,-0.03191414104554794
