,error_pair,A0_B,A0_V,A0_I,A0_J,A0_H,A0_K,min_rms,min_mu,avg_EBV,A_B,A_V,A_I,A_J,A_H,A_K
0,EVSct,-0.28806741334338437,-0.29915649592775084,-0.2991564959277511,-0.2757560844897291,-0.2661842043189158,-0.2420567855130962,0.03271615621825429,0.16,-0.3337627005111012,-1.4122501146726225,-1.0780535226508567,-0.655456541771721,-0.31479162861405013,-0.1951276875998051,-0.12828836919545195
1,SZTau,-0.28806741334338437,-0.29915649592775084,-0.2991564959277511,-0.2757560844897291,-0.2661842043189158,-0.2420567855130962,0.011396128002718463,-0.94,0.02529232047416044,0.10701939562231508,0.08169419513153822,0.049670070639975236,0.023854704978409157,0.014786649318808418,0.009721609220653049
2,SSSct,-0.28806741334338437,-0.29915649592775084,-0.2991564959277511,-0.2757560844897291,-0.2661842043189158,-0.2420567855130962,0.0005645500851912561,0.38,-0.25294791916450937,-1.0702985303607886,-0.8170217789013653,-0.4967492415720301,-0.23857035943919863,-0.1478809419811471,-0.09722559168926247
3,QZNor,-0.28806741334338437,-0.29915649592775084,-0.2991564959277511,-0.2757560844897291,-0.2661842043189158,-0.2420567855130962,0.024352236869059275,-0.98,0.08545363483470682,0.36157996507609497,0.27601524051610304,0.16781726623379065,0.08059645023070207,0.049958758533414645,0.03284581362141626
4,ADGem,-0.28806741334338437,-0.29915649592775084,-0.2991564959277511,-0.2757560844897291,-0.2661842043189158,-0.2420567855130962,0.008582334038388772,0.2,-0.0762597202875073,-0.32267775445252966,-0.24631889652864858,-0.14976188908941834,-0.07192511778636537,-0.04458372027168539,-0.02931194868690918
5,YAur,-0.28806741334338437,-0.29915649592775084,-0.2991564959277511,-0.2757560844897291,-0.2661842043189158,-0.2420567855130962,0.03498585735744969,-1.0,0.3266115023837572,1.3819912500363918,1.0549551526995358,0.6414127328413177,0.3080469045882644,0.19094688263861595,0.12553966317124474
6,STTau,-0.28806741334338437,-0.29915649592775084,-0.2991564959277511,-0.2757560844897291,-0.2661842043189158,-0.2420567855130962,0.00964454082079532,-1.0,0.23107896378090256,0.977764419446133,0.7463850530123153,0.4538021122314877,0.21794443547959605,0.13509569459522905,0.08881982130846551
7,BFOph,-0.28806741334338437,-0.29915649592775084,-0.2991564959277511,-0.2757560844897291,-0.2661842043189158,-0.2420567855130962,0.01924665488339441,-0.18,-0.034229474735704014,-0.1448351764491844,-0.11056120339632397,-0.06722121166496497,-0.032283871391726594,-0.020011577814734637,-0.013156783204162551
8,SYCas,-0.28806741334338437,-0.29915649592775084,-0.2991564959277511,-0.2757560844897291,-0.2661842043189158,-0.2420567855130962,0.02712967422435772,-0.74,0.08531102544870424,0.36097654198110224,0.2755546121993147,0.16753720421718332,0.08046194676219988,0.049875384808075955,0.03279099885171845
9,XSct,-0.28806741334338437,-0.29915649592775084,-0.2991564959277511,-0.2757560844897291,-0.2661842043189158,-0.2420567855130962,0.030242009229238677,-1.0,0.37828784363248197,1.600649352762121,1.2218697349329168,0.7428967988392134,0.3567859626004117,0.22115842202285793,0.14540249845701708
10,YLac,-0.28806741334338437,-0.29915649592775084,-0.2991564959277511,-0.2757560844897291,-0.2661842043189158,-0.2420567855130962,0.009581655742958882,-0.44,0.013559055466629994,0.057372431395951495,0.04379574915721488,0.026627815487586647,0.012788358753906744,0.007927030597455894,0.00521169414970857
11,TVul,-0.28806741334338437,-0.29915649592775084,-0.2991564959277511,-0.2757560844897291,-0.2661842043189158,-0.2420567855130962,0.017238919933127816,-0.34,-0.028570711162054802,-0.12089125014000249,-0.09228339705343701,-0.056108305408489705,-0.026946751939603605,-0.0167032948666721,-0.010981724249359004
12,XYCas,-0.28806741334338437,-0.29915649592775084,-0.2991564959277511,-0.2757560844897291,-0.2661842043189158,-0.2420567855130962,0.03628232728255305,0.0,-0.2278525514546931,-0.9641125009702429,-0.7359637411986587,-0.4474659546487845,-0.21490141243000832,-0.1332094371569572,-0.08757968520264038
13,TVel,-0.28806741334338437,-0.29915649592775084,-0.2991564959277511,-0.2757560844897291,-0.2661842043189158,-0.2420567855130962,0.012098586265365526,-0.3,0.07680588621661341,0.32498874634835634,0.24808301247966133,0.15083447158763408,0.0724402396440611,0.044903025258818695,0.029521878485079697
14,VZCyg,-0.28806741334338437,-0.29915649592775084,-0.2991564959277511,-0.2757560844897291,-0.2661842043189158,-0.2420567855130962,0.002889441217025886,0.36,-0.19873612837601562,-0.840912179997435,-0.6419176946545304,-0.3902859583499545,-0.18743996683912287,-0.11618710273247,-0.07638820566388912
15,CFCas,-0.28806741334338437,-0.29915649592775084,-0.2991564959277511,-0.2757560844897291,-0.2661842043189158,-0.2420567855130962,0.007752855110825455,0.18,-0.07012075995652235,-0.29670197160403305,-0.2264900546595672,-0.13770595323301685,-0.06613509596059361,-0.04099469989338166,-0.026952316504488497
16,VLac,-0.28806741334338437,-0.29915649592775084,-0.2991564959277511,-0.2757560844897291,-0.2661842043189158,-0.2420567855130962,0.013188772084310832,-0.84,0.091057398070344,0.3852911684550466,0.29411539576721113,0.1788221606264644,0.08588169556402564,0.05323488663386521,0.03499973209629813
17,V0386Cyg,-0.28806741334338437,-0.29915649592775084,-0.2991564959277511,-0.2757560844897291,-0.2661842043189158,-0.2420567855130962,0.015127749796387154,0.6,-0.326492151433098,-1.3814862403588677,-1.0545696491289065,-0.6411783466703752,-0.3079343375456407,-0.19087710649233208,-0.1254937882463399
18,CRSer,-0.28806741334338437,-0.29915649592775084,-0.2991564959277511,-0.2757560844897291,-0.2661842043189158,-0.2420567855130962,0.009741737096452579,-0.12,-0.17181876647109026,-0.7270167465691242,-0.5549746157016215,-0.3374245663465859,-0.16205258778487347,-0.10045040544199349,-0.06604197926849296
19,V1162Aql,-0.28806741334338437,-0.29915649592775084,-0.2991564959277511,-0.2757560844897291,-0.2661842043189158,-0.2420567855130962,0.020380027872194846,0.36,-0.2111553571546273,-0.8934616627283745,-0.6820318036094462,-0.41467533659454325,-0.19915328665395826,-0.12344775645330976,-0.08116178462952409
20,CVMon,-0.28806741334338437,-0.29915649592775084,-0.2991564959277511,-0.2757560844897291,-0.2661842043189158,-0.2420567855130962,0.011508582532422835,-1.0,0.39738736906780164,1.6814651747365892,1.2835612020889993,0.7804052108701116,0.37479987100998774,0.23232457757810887,0.1527437830485909
