,error_pair,A0_B,A0_V,A0_I,A0_J,A0_H,A0_K,min_rms,min_mu,avg_EBV,A_B,A_V,A_I,A_J,A_H,A_K
0,EVSct,-0.5680817035010517,-0.6540321832377828,-0.7487014187261545,-0.7992041355480506,-0.7071841787077316,-0.6540321832377729,0.031875423134189416,-1.0,-1.1529922453801122,-4.878656087876869,-3.7241649525777625,-2.26429229116728,-1.0874561661527065,-0.674073856416575,-0.44317562935675375
1,SZTau,-0.5680817035010517,-0.6540321832377828,-0.7487014187261545,-0.7992041355480506,-0.7071841787077316,-0.6540321832377729,0.01790600992059377,0.54,-0.006200868372110874,-0.026237734342912742,-0.020028804841918123,-0.012177513343886219,-0.005848411013840092,-0.00362521367638718,-0.0023834277761882565
2,SSSct,-0.5680817035010517,-0.6540321832377828,-0.7487014187261545,-0.7992041355480506,-0.7071841787077316,-0.6540321832377729,0.020932136886376053,-0.42,-0.3046209498644834,-1.2889426251615888,-0.9839256680622814,-0.5982268061818671,-0.28730629507418615,-0.17809054591927292,-0.11708715449941148
3,QZNor,-0.5680817035010517,-0.6540321832377828,-0.7487014187261545,-0.7992041355480506,-0.7071841787077316,-0.6540321832377729,0.038730605298789154,0.26,-0.09947669143460863,-0.4209157244672595,-0.3213097133337859,-0.19535630570694182,-0.09382243629346547,-0.05815705811341524,-0.03823585588672052
4,ADGem,-0.5680817035010517,-0.6540321832377828,-0.7487014187261545,-0.7992041355480506,-0.7071841787077316,-0.6540321832377729,0.020728932580811484,-0.12,0.14625077087475633,0.6188308868023564,0.47238998992546294,0.28721311387468146,0.13793787705823515,0.08550258817650878,0.056214408801130086
5,YAur,-0.5680817035010517,-0.6540321832377828,-0.7487014187261545,-0.7992041355480506,-0.7071841787077316,-0.6540321832377729,0.035494186735427834,0.4,0.460180726201804,1.9471627067776933,1.486383745631827,0.9037213173441507,0.43402405372449343,0.2690354579593607,0.1768796657301874
6,STTau,-0.5680817035010517,-0.6540321832377828,-0.7487014187261545,-0.7992041355480506,-0.7071841787077316,-0.6540321832377729,0.023019654140547286,0.48,0.29450424122915403,1.2461357959129196,0.9512486991701675,0.5783592090954619,0.2777646201576889,0.1721760145498003,0.11319859520124993
7,BFOph,-0.5680817035010517,-0.6540321832377828,-0.7487014187261545,-0.7992041355480506,-0.7071841787077316,-0.6540321832377729,0.034426843910797277,0.14,0.18320548239351353,0.7751973576516739,0.5917537081310487,0.35978625454367763,0.1727920827742662,0.10710742117171981,0.0704186912675948
8,SYCas,-0.5680817035010517,-0.6540321832377828,-0.7487014187261545,-0.7992041355480506,-0.7071841787077316,-0.6540321832377729,0.031019677198798563,-0.1,-0.24902613969458764,-1.0537043048897088,-0.8043544312135181,-0.489047494177819,-0.23487149391434725,-0.14558815204964676,-0.09571817731440865
9,XSct,-0.5680817035010517,-0.6540321832377828,-0.7487014187261545,-0.7992041355480506,-0.7071841787077316,-0.6540321832377729,0.08985425540248743,-0.6,-0.24881275616386941,-1.0528014151561806,-0.8036652024092982,-0.4886284430648533,-0.23467023910351506,-0.14546340163608298,-0.09563615908670649
10,YLac,-0.5680817035010517,-0.6540321832377828,-0.7487014187261545,-0.7992041355480506,-0.7071841787077316,-0.6540321832377729,0.03831205324984397,0.28,0.14631693531356413,0.6191108483922839,0.47260370106281213,0.2873430502461898,0.13800028071034112,0.08554126989236899,0.05623984042647464
11,TVul,-0.5680817035010517,-0.6540321832377828,-0.7487014187261545,-0.7992041355480506,-0.7071841787077316,-0.6540321832377729,0.03653428804284957,0.0,-0.05819581051182001,-0.246243933018664,-0.18797246795317862,-0.11428726051553262,-0.054887960642328155,-0.03402301669952533,-0.022368723686428258
12,XYCas,-0.5680817035010517,-0.6540321832377828,-0.7487014187261545,-0.7992041355480506,-0.7071841787077316,-0.6540321832377729,0.029070242036177193,-0.22,-0.37759125625876266,-1.5977018826077025,-1.2196197577158034,-0.7415288126912085,-0.35612896925301457,-0.2207511761465604,-0.14513475116818061
13,TVel,-0.5680817035010517,-0.6540321832377828,-0.7487014187261545,-0.7992041355480506,-0.7071841787077316,-0.6540321832377729,0.04277963394007501,0.4,0.5093398253265716,2.1551696029043224,1.6451676358048264,1.0002619225693345,0.4803889496550092,0.2977753420806736,0.19577494866077433
14,VZCyg,-0.5680817035010517,-0.6540321832377828,-0.7487014187261545,-0.7992041355480506,-0.7071841787077316,-0.6540321832377729,0.04322487834914586,-0.44,-0.20396185643766027,-0.8630238031446719,-0.6587967962936426,-0.40054845214653473,-0.19236866451774362,-0.11924222012914931,-0.07839681875894347
15,CFCas,-0.5680817035010517,-0.6540321832377828,-0.7487014187261545,-0.7992041355480506,-0.7071841787077316,-0.6540321832377729,0.024782147598756084,0.22,0.43219121428151935,1.828730684989393,1.3959776221293074,0.848754394254619,0.4076254656617577,0.2526719496054047,0.16612133703338758
