,error_pair,A0_B,A0_V,A0_I,A0_J,A0_H,A0_K,min_rms,min_mu,avg_EBV,A_B,A_V,A_I,A_J,A_H,A_K
0,EVSct,-0.28445063671297205,-0.32038017230897076,-0.3513790261022932,-0.35208455821304563,-0.3419644576489561,-0.32038017230895105,0.027520366829104605,0.16,-0.25453591644625434,-1.077017823259036,-0.8221510101214015,-0.49986781415381215,-0.2400680949554492,-0.14880933283197367,-0.09783597020444677
1,SZTau,-0.28445063671297205,-0.32038017230897076,-0.3513790261022932,-0.35208455821304563,-0.3419644576489561,-0.32038017230895105,0.0027792021473579034,0.54,-0.017352770818042654,-0.07342477916238388,-0.056049449742277775,-0.03407806544330489,-0.01636643932474511,-0.010144950403352277,-0.006669884519331055
2,SSSct,-0.28445063671297205,-0.32038017230897076,-0.3513790261022932,-0.35208455821304563,-0.3419644576489561,-0.32038017230895105,0.019172920634427083,-0.12,-0.07255283957643212,-0.30699283009975725,-0.23434567183187574,-0.14248216847378045,-0.06842893617490771,-0.042416566601569505,-0.027887134947993213
3,QZNor,-0.28445063671297205,-0.32038017230897076,-0.3513790261022932,-0.35208455821304563,-0.3419644576489561,-0.32038017230895105,0.010949969982787217,0.44,0.014882066895296357,0.06297048965406747,0.048069076071807236,0.029225998251658798,0.01403617021296771,0.00870050276899711,0.005720220052545061
4,ADGem,-0.28445063671297205,-0.32038017230897076,-0.3513790261022932,-0.35208455821304563,-0.3419644576489561,-0.32038017230895105,0.005303510728930701,-0.5,-0.1567627553546511,-0.6633102467321351,-0.5063436997955231,-0.307856969475678,-0.1478523603402927,-0.09164820966298966,-0.06025490027566724
5,YAur,-0.28445063671297205,-0.32038017230897076,-0.3513790261022932,-0.35208455821304563,-0.3419644576489561,-0.32038017230895105,0.02354618322773201,0.0,0.14944062053431958,0.6323280976668665,0.4826932043258523,0.29347746823011817,0.14094641566314883,0.08736746998297926,0.057440491314776417
6,STTau,-0.28445063671297205,-0.32038017230897076,-0.3513790261022932,-0.35208455821304563,-0.3419644576489561,-0.32038017230895105,0.02569108455982541,0.28,0.14657667403813007,0.6202098808575398,0.47344265714316014,0.28785313554304137,0.13824525588580275,0.08569312094291198,0.056339676200036055
7,BFOph,-0.28445063671297205,-0.32038017230897076,-0.3513790261022932,-0.35208455821304563,-0.3419644576489561,-0.32038017230895105,0.007415351919811848,-0.12,-0.0408737288738277,-0.17294900898382717,-0.13202214426246348,-0.0802694637115778,-0.03855046612463933,-0.023896008111505888,-0.015710635167233155
8,SYCas,-0.28445063671297205,-0.32038017230897076,-0.3513790261022932,-0.35208455821304563,-0.3419644576489561,-0.32038017230895105,0.01256417341250512,0.12,-0.07282256818184192,-0.30813413274782775,-0.2352168952273494,-0.14301187229822843,-0.06868333340638602,-0.04257425803615024,-0.02799081053205458
9,XSct,-0.28445063671297205,-0.32038017230897076,-0.3513790261022932,-0.35208455821304563,-0.3419644576489561,-0.32038017230895105,0.024260245646189692,0.26,0.4566216144042756,1.9321030370288115,1.4748878145258102,0.8967317912316927,0.43066724184153654,0.26695469442917164,0.1755116499285714
