,error_pair,A0_B,A0_V,A0_I,A0_J,A0_H,A0_K,min_rms,min_mu,avg_EBV,A_B,A_V,A_I,A_J,A_H,A_K
0,EVSct,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.05662606833543952,0.98,-0.025037245321629976,-0.10594009612941292,-0.08087030238886482,-0.04916914385242981,-0.023614128297548526,-0.014637524732384532,-0.009623565984274914
1,SZTau,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.005630532713981633,0.48,-0.009970057852144136,-0.04218630578977748,-0.03220328686242556,-0.01957959841235474,-0.009403359763828261,-0.005828794922099026,-0.0038321911366286415
2,SSSct,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.01301484904798932,-0.06,-0.012914133614900902,-0.05464357356473019,-0.04171265157612991,-0.025361292158286988,-0.012180094260229934,-0.007549989935279514,-0.00496380553755946
3,QZNor,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.016799248543404182,0.22,-0.030717114204132825,-0.12997332533194722,-0.09921627887934903,-0.06032349755864421,-0.028971153432769913,-0.017958146477162172,-0.011806737186642534
4,ADGem,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.01348333767504832,-0.2,0.02822201510721308,0.1194158125231507,0.09115710879629824,0.055423522148149336,0.026617875768519084,0.01649943669212998,0.010847695946759491
5,YAur,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.009531919656669914,-0.26,0.0016085504030199406,0.006806259320298275,0.005195617801754408,0.00315893562346668,0.001517120398112287,0.0009404068221175478,0.0006182785184087746
6,STTau,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.017265615375657066,0.18,0.014343671806982795,0.0606923785168863,0.04633005993655443,0.028168676441425095,0.013528377501473891,0.008385740848516352,0.005513277132449977
7,BFOph,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.023440244628707252,-0.42,-0.029987773507074305,-0.1268872660404835,-0.09686050842785,-0.058891189124132805,-0.0282832684609322,-0.017531752025440852,-0.01152640050291415
8,SYCas,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.03990104992013855,0.76,0.05515064714910454,0.23335893328200605,0.17813659029160767,0.10830704689729746,0.05201588436514943,0.032242722842780985,0.02119825424470131
9,XSct,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.03013663611040359,0.14,0.0136855399898659,0.05790762535911958,0.04420429416726685,0.02687621085369825,0.01290765389684192,0.0080009772442753,0.005260311005904756
10,YLac,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.02109149844346923,0.28,0.03810891523168281,0.1612502530198195,0.12309179619833548,0.07483981208858798,0.03594280448991396,0.022279615111898722,0.014647923747601922
11,TVul,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.011454266910366962,0.22,0.021037951194670678,0.08901788289001004,0.06795258235878629,0.041315170074142066,0.019842154048765593,0.012299417406940318,0.008086357300695568
12,XYCas,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.04236543832594537,0.86,0.06511138576655572,0.2755058065940272,0.21030977602597495,0.12786834382379278,0.061410454599584684,0.038066069460701464,0.02502686334709102
13,TVel,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.033404950554322015,-0.82,-0.04956983669320306,-0.20974484999995013,-0.1601105725190459,-0.0973472280915799,-0.046752287175561395,-0.028980013625947307,-0.019053158129766462
14,VZCyg,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.0028199494413817185,-0.1,0.01121954797284865,0.04747327333751449,0.03623913995230114,0.022033397090999093,0.010581828866071933,0.006559284331366507,0.004312457654323836
15,CFCas,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.03798184927108376,-0.92,-0.05189666747374908,-0.2195903690816745,-0.16762623594020953,-0.1019167514516474,-0.04894686089454118,-0.030340348705177926,-0.019947522076884935
16,VLac,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.029947500571297223,0.72,0.04003208797608065,0.16938777385319004,0.12930364416274048,0.07861661565094621,0.03775666409552022,0.02340395959345603,0.015387133655366118
17,V0386Cyg,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.04423781802445352,-0.58,-0.053188808562710334,-0.22505780567139624,-0.17179985165755438,-0.10445430980779306,-0.05016555668400587,-0.031095773150017342,-0.02044418234724897
18,CRSer,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.03527535327592693,0.86,0.05387727808129469,0.22797092674538222,0.17402360820258184,0.10580635378716977,0.05081489359515389,0.031498273084667315,0.020708809376107237
19,V1162Aql,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.014569142504112077,-0.3,-0.011810454081903067,-0.04997357435675645,-0.038147766684546905,-0.02319384214420452,-0.011139147871887696,-0.00690474576990299,-0.004539584235461082
20,CVMon,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.02579888011721536,-0.76,-0.043650663725929795,-0.18469905342352674,-0.14099164383475324,-0.08572291945152997,-0.04116955999974794,-0.025519487534090335,-0.016778005616335634
21,SWCas,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.0008097620905471714,0.06,0.0016236627736933445,0.006870204294328649,0.005244430759029503,0.0031886139014899377,0.0015313737816366147,0.00094924196738434,0.0006240872603245108
22,XLac,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.018207475488471098,0.86,0.032747493241043764,0.13856446815082848,0.10577440316857135,0.06431083712649138,0.030886125725222834,0.019145166973511415,0.01258715397705999
23,VCen,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.002425218564566131,-0.14,0.00016757785132313907,0.0007090721623035983,0.0005412764597737392,0.00032909608754243345,0.00015805272625393183,9.79710392190468e-05,6.441189871307496e-05
24,FMCas,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.012566129044859499,-0.14,-0.016549947510660117,-0.07002779290185615,-0.053456330459432176,-0.03250144891933476,-0.015609248494154194,-0.009675595813157224,-0.006361303324672429
25,CSVel,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.006441991537730837,-0.38,-0.014498648692013958,-0.06134813221051866,-0.04683063527520508,-0.02847302624732469,-0.013674545500359883,-0.00847634498481212,-0.0055728455977494045
26,MWCyg,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.023258144641443924,0.18,-0.028402907636892943,-0.12018122308398511,-0.0917413916671642,-0.05577876613363584,-0.026788486366811946,-0.016605191891756722,-0.01091722560839254
27,FMAql,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.011119930787718177,0.18,0.010547221905668223,0.04462846004945396,0.03406752675530836,0.020713056267227484,0.009947717812550041,0.006166222342710814,0.004054035683881695
28,CRCep,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.029690178654194835,-0.5,-0.04232938734281192,-0.1791083366636401,-0.13672392111728252,-0.08312814403930777,-0.039923384966246485,-0.02474702972222813,-0.01627014661295662
29,RSCas,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.011250328977728971,0.24,0.004653254143704153,0.019689314258255382,0.015030010884164413,0.009138246617571963,0.004388763178176008,0.0027204319700337588,0.0017885712952155652
30,RRLac,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.043745173682281216,0.98,0.05900668635905576,0.24967499199107265,0.1905915969397501,0.11587969093936806,0.05565274630640702,0.03449707904609477,0.022680400035830262
31,XXSgr,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.01770819803642089,0.18,0.017207423875745812,0.07280977264544325,0.05557997911865897,0.03379262730414466,0.01622935390264842,0.010059976220477274,0.0066140175151204175
32,BBSgr,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.02473671434169168,-0.36,-0.026684659879432027,-0.11291080134784073,-0.08619145141056545,-0.05240440245762379,-0.025167903811885106,-0.015600652705312345,-0.010256782717857288
33,VCar,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.01989270423371634,-0.3,-0.021943319971829568,-0.09284876979680246,-0.07087692350900951,-0.04309316949347778,-0.020696061664630772,-0.01282872315513072,-0.00843435389757213
34,V0495Cyg,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.023436693324490474,0.98,0.02437790224948695,0.10315021778825413,0.07874062426584284,0.04787429955363245,0.02299226228562611,0.014252052992117554,0.009370134287635298
35,USgr,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.00841364045650288,-0.08,-0.007217350865805022,-0.030538776718480792,-0.023312043296550223,-0.014173722324302536,-0.006807116642592664,-0.00421947983667559,-0.0027741331522894764
36,TWCMa,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.004021857712301852,-0.16,0.0061251529928358925,0.025917359858586512,0.01978424416685993,0.01202882045345084,0.0057769992967231,0.003580948194201648,0.002354325055856332
37,xSgr,-0.4901592700851105,-0.3793970456156823,-0.2313893273469595,-0.11396417330868547,-0.06705120361683492,-0.046444303505937534,0.05560678155938066,0.98,0.07390688547939504,0.31272220452896426,0.238719240098446,0.14514129797985517,0.06970601810874621,0.043208182457818725,0.02840758957171507
