,error_pair,A0_B,A0_V,A0_I,A0_J,A0_H,A0_K,min_rms,min_mu,avg_EBV,A_B,A_V,A_I,A_J,A_H,A_K
0,EVSct,-0.06917156099692073,-0.08454645022450272,-0.05140424173649649,0.03846986552901379,0.11722115435239708,0.1426311483091734,0.050518358260833264,-0.98,0.24891167731222427,1.0532199802112145,0.8039847177184843,0.48882270837283853,0.23476353757379742,0.14552123390704566,0.09567418140849963
1,SZTau,-0.06917156099692073,-0.08454645022450272,-0.05140424173649649,0.03846986552901379,0.11722115435239708,0.1426311483091734,0.011137069736035466,-0.86,0.012087159025675115,0.05114439598533911,0.03904152365293062,0.02373724638098182,0.01140012490665574,0.007066515781180442,0.004645941314698743
2,SSSct,-0.06917156099692073,-0.08454645022450272,-0.05140424173649649,0.03846986552901379,0.11722115435239708,0.1426311483091734,0.028360206233776337,-0.32,0.07695933877353689,0.32563805015246666,0.24857866423852415,0.15113582785702268,0.07258496995764904,0.04499273822717287,0.029580861044384375
3,QZNor,-0.06917156099692073,-0.08454645022450272,-0.05140424173649649,0.03846986552901379,0.11722115435239708,0.1426311483091734,0.01507405262230129,-0.66,-0.054172975249001463,-0.2292221101710999,-0.17497871005427473,-0.10638705571299903,-0.051093783335848214,-0.03167114651982372,-0.02082246649645869
4,ADGem,-0.06917156099692073,-0.08454645022450272,-0.05140424173649649,0.03846986552901379,0.11722115435239708,0.1426311483091734,0.020604855617523156,-0.02,0.053891179909979776,0.22802974955309743,0.17406851110923469,0.10583365475441468,0.05082800524389652,0.03150640051077148,0.020714152821998927
5,YAur,-0.06917156099692073,-0.08454645022450272,-0.05140424173649649,0.03846986552901379,0.11722115435239708,0.1426311483091734,0.020198806273554196,0.0,-0.1101756827832887,-0.4661863665609295,-0.35586745539002246,-0.21636741287713368,-0.10391329697388656,-0.06441200942559407,-0.04234822719141267
6,STTau,-0.06917156099692073,-0.08454645022450272,-0.05140424173649649,0.03846986552901379,0.11722115435239708,0.1426311483091734,0.013707772306778223,-0.42,0.01462878442217797,0.061898775525561646,0.047250973683634845,0.028728591999649986,0.013797284315621373,0.008552426236737907,0.0056228658683525464
7,BFOph,-0.06917156099692073,-0.08454645022450272,-0.05140424173649649,0.03846986552901379,0.11722115435239708,0.1426311483091734,0.016387944459401844,-0.2,-0.020947409829889675,-0.08863477521321218,-0.06766013375054365,-0.04113736132033054,-0.019756759055158744,-0.0122464842088484,-0.008051555916314694
8,SYCas,-0.06917156099692073,-0.08454645022450272,-0.05140424173649649,0.03846986552901379,0.11722115435239708,0.1426311483091734,0.016604022215126444,-0.44,-0.028784001743041937,-0.12179374657533334,-0.09297232563002546,-0.05652717398305548,-0.02714791908396743,-0.016827990939034608,-0.01106370674997303
9,XSct,-0.06917156099692073,-0.08454645022450272,-0.05140424173649649,0.03846986552901379,0.11722115435239708,0.1426311483091734,0.040039786829882525,0.12,-0.11618052432910468,-0.49159465259374063,-0.37526309358300813,-0.22815996089846893,-0.10957682332623836,-0.06792261993852447,-0.04465630813637796
10,YLac,-0.06917156099692073,-0.08454645022450272,-0.05140424173649649,0.03846986552901379,0.11722115435239708,0.1426311483091734,0.015590640700821536,-0.42,0.04187436646208061,0.17718300681100171,0.1352542036725204,0.0822345558328924,0.039494227472375944,0.024481010864726187,0.016095250237029925
11,TVul,-0.06917156099692073,-0.08454645022450272,-0.05140424173649649,0.03846986552901379,0.11722115435239708,0.1426311483091734,0.0171611077303763,-0.38,0.009084641539705254,0.03843984374695484,0.029343392173247967,0.017840782441334767,0.008568270514588406,0.005311153983357882,0.003491863668616508
12,XYCas,-0.06917156099692073,-0.08454645022450272,-0.05140424173649649,0.03846986552901379,0.11722115435239708,0.1426311483091734,0.039075962153487916,-0.44,-0.042658080476263904,-0.18049913591921546,-0.13778559993833242,-0.08377364476250611,-0.04023339518199306,-0.024939193588838164,-0.016396486392661558
13,TVel,-0.06917156099692073,-0.08454645022450272,-0.05140424173649649,0.03846986552901379,0.11722115435239708,0.1426311483091734,0.007391512535371039,-0.08,-0.0014871400109814671,-0.006292535528465882,-0.004803462235470139,-0.0029205050391658445,-0.0014026109727572804,-0.0008694266646200951,-0.0005716120060209465
14,VZCyg,-0.06917156099692073,-0.08454645022450272,-0.05140424173649649,0.03846986552901379,0.11722115435239708,0.1426311483091734,0.027360393016843728,-0.2,0.07749963820053812,0.32792421911793695,0.2503238313877381,0.1521968894837448,0.07309455876521953,0.0453086134811806,0.029788535935140838
15,CFCas,-0.06917156099692073,-0.08454645022450272,-0.05140424173649649,0.03846986552901379,0.11722115435239708,0.1426311483091734,0.016859312048923863,0.0,0.02546895869713571,0.10776680493519034,0.08226473659174835,0.050016959847782996,0.024021303084790512,0.01488991732310645,0.009789503654418052
16,VLac,-0.06917156099692073,-0.08454645022450272,-0.05140424173649649,0.03846986552901379,0.11722115435239708,0.1426311483091734,0.00991569323285583,-0.6,0.019016195240395647,0.08046322692068611,0.06142231062647794,0.03734476486089859,0.017935314702931558,0.011117438223392506,0.007309254964550875
17,V0386Cyg,-0.06917156099692073,-0.08454645022450272,-0.05140424173649649,0.03846986552901379,0.11722115435239708,0.1426311483091734,0.03493851679529057,-0.36,0.1269943281004191,0.5373511004913034,0.4101916797643537,0.24939654129672706,0.11977597049119128,0.07424469403734801,0.04881280989195809
18,CRSer,-0.06917156099692073,-0.08454645022450272,-0.05140424173649649,0.03846986552901379,0.11722115435239708,0.1426311483091734,0.027826898462486586,-0.58,0.05927784616194207,0.2508223504650255,0.1914674431030729,0.11641220540666833,0.055908493386097276,0.03465560720165619,0.022784625729265675
19,V1162Aql,-0.06917156099692073,-0.08454645022450272,-0.05140424173649649,0.03846986552901379,0.11722115435239708,0.1426311483091734,0.028957860003349743,-0.12,-0.00023292943686600726,-0.0009855943262111365,-0.0007523620810772035,-0.0004574361452949397,-0.0002196897276745434,-0.00013617753667497382,-8.95310876481872e-05
20,CVMon,-0.06917156099692073,-0.08454645022450272,-0.05140424173649649,0.03846986552901379,0.11722115435239708,0.1426311483091734,0.02570982221699145,-0.1,0.06671015026089681,0.2822706587989327,0.2154737853426967,0.1310080614883596,0.06291834532006743,0.0390007551470281,0.025641380455780908
21,SWCas,-0.06917156099692073,-0.08454645022450272,-0.05140424173649649,0.03846986552901379,0.11722115435239708,0.1426311483091734,0.020711230251605164,-0.34,0.06865825495102396,0.29051367417426766,0.2217661634918074,0.13483382740301889,0.06475571973960775,0.040139675592017136,0.02639017345552508
22,XLac,-0.06917156099692073,-0.08454645022450272,-0.05140424173649649,0.03846986552901379,0.11722115435239708,0.1426311483091734,0.023692192690866677,-1.0,0.07551889216104189,0.3195430884010166,0.2439260216801653,0.14830702118154052,0.07122639833060826,0.04415060992410992,0.02902719657993967
23,VCen,-0.06917156099692073,-0.08454645022450272,-0.05140424173649649,0.03846986552901379,0.11722115435239708,0.1426311483091734,0.004832650892284869,-0.3,0.022427581701731415,0.09489782645453614,0.07244108889659247,0.044044182049128223,0.021152797957805,0.013111837090283237,0.008620489578694504
24,FMCas,-0.06917156099692073,-0.08454645022450272,-0.05140424173649649,0.03846986552901379,0.11722115435239708,0.1426311483091734,0.020463522128342543,-0.36,0.05815459545838889,0.24606953976308094,0.18783934333059613,0.11420632074500245,0.05484908825253406,0.033998921142837896,0.022352881856340937
