,error_pair,A0_B,A0_V,A0_I,A0_J,A0_H,A0_K,min_rms,min_mu,avg_EBV,A_B,A_V,A_I,A_J,A_H,A_K
0,EVSct,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.021804499452882823,-0.84,0.06291276549242879,0.2662027846281139,0.203208232540545,0.12355060538465135,0.05933680390183913,0.03678069008983864,0.024181779672324853
1,SZTau,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.012943817738417596,-0.82,-0.021319189080863967,-0.09020788475785971,-0.06886098073119061,-0.041867476284563894,-0.020107406373507657,-0.012463837512345501,-0.008194456707011683
2,SSSct,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.015515692434365796,-0.24,-0.006026460829556089,-0.025499763708100677,-0.019465468479466168,-0.011835004835515429,-0.00568391679600412,-0.0035232497947833763,-0.0023163907490564737
3,QZNor,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.025981833328554547,-0.64,-0.05049913732040378,-0.2136769997438245,-0.1631122135449042,-0.09917222583530176,-0.047628766355112026,-0.029523310651627662,-0.0194103534118436
4,ADGem,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.014492419630777903,0.06,-0.019357492625879436,-0.08190735854788365,-0.06252470118159058,-0.03801501831840707,-0.018257212745024447,-0.011316970913867894,-0.007440439440609278
5,YAur,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.021797791142982536,-0.02,-0.05914392475052218,-0.2502556887968845,-0.19103487694418664,-0.11614920518206548,-0.055782184067702495,-0.034577312726897784,-0.02273315035635821
6,STTau,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.013145873545882208,-0.4,-0.0018443354786847783,-0.007803936710958903,-0.005957203596151834,-0.0036219797864603153,-0.0017395034500763352,-0.001078253850903482,-0.0007089072279420683
7,BFOph,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.025932228995929247,-0.16,-0.04141817198301689,-0.17525271111173935,-0.13378069550514454,-0.08133866286712789,-0.0390639630875022,-0.024214305886431163,-0.0159199027651122
8,SYCas,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.02899671418549535,-0.4,-0.04713312126362849,-0.1994343760027912,-0.15223998168152,-0.09256190886236416,-0.04445407465100384,-0.02755543668435512,-0.01811655782010088
9,XSct,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.015010417738686657,0.06,-0.038026884199396906,-0.16090315511290812,-0.122826835964052,-0.07467871626614363,-0.03586543610150318,-0.022231657309493412,-0.014616393479722187
10,YLac,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.010491100945137036,-0.36,-0.015701576435755527,-0.06643808037261237,-0.05071609188749035,-0.030835383867594136,-0.014809098831147182,-0.009179612631635754,-0.0060352149346113515
11,TVul,-0.15629724946462967,-0.14961843834577127,-0.09096801051422908,-0.03931037123745056,-0.01940996093390708,-0.013751375661042075,0.022866736019866375,-0.32,-0.035476149625126165,-0.15011023190879635,-0.1145879632891575,-0.06966948167980777,-0.03345968528043399,-0.020740421355337508,-0.013635967631409743
