,error_pair,A0_B,A0_V,A0_I,A0_J,A0_H,A0_K,min_rms,min_mu,avg_EBV,A_B,A_V,A_I,A_J,A_H,A_K
0,EVSct,-0.15669053020934817,-0.19614451909333375,-0.18517083919926572,-0.11832131616421411,-0.04808035339554688,-0.023341197772106068,0.03908107781942036,0.42,-0.0456865180556377,-0.1933133638488198,-0.14756745331970977,-0.08972101161838354,-0.043089696369355245,-0.026709709050867468,-0.017560526945045462
1,SZTau,-0.15669053020934817,-0.19614451909333375,-0.18517083919926572,-0.11832131616421411,-0.04808035339554688,-0.023341197772106068,0.004921291986672083,0.56,0.0021382315967004508,0.009047499355118617,0.006906488057342456,0.004199144738864213,0.002016694512743997,0.0012500743383789844,0.0008218720788237522
2,SSSct,-0.15669053020934817,-0.19614451909333375,-0.18517083919926572,-0.11832131616421411,-0.04808035339554688,-0.023341197772106068,0.017346610185888955,-0.08,-0.02475128711252735,-0.10473012115923697,-0.07994665737346333,-0.04860756768306571,-0.02334442395305129,-0.014470344984596864,-0.009513652227442137
3,QZNor,-0.15669053020934817,-0.19614451909333375,-0.18517083919926572,-0.11832131616421411,-0.04808035339554688,-0.023341197772106068,0.01350411447433576,0.42,0.008143428298618326,0.03445728815994372,0.02630327340453719,0.015992390229958613,0.007680555834124859,0.004760892486221232,0.003130089535139926
4,ADGem,-0.15669053020934817,-0.19614451909333375,-0.18517083919926572,-0.11832131616421411,-0.04808035339554688,-0.023341197772106068,0.006996202705731045,-0.3,0.001987927125179557,0.00841151604477226,0.006421004614329969,0.003903970805512621,0.0018749333473843505,0.0011622018351937244,0.0007640995491052662
5,YAur,-0.15669053020934817,-0.19614451909333375,-0.18517083919926572,-0.11832131616421411,-0.04808035339554688,-0.023341197772106068,0.029716412612349027,-0.14,0.02896460303275665,0.12255792481250322,0.09355566779580397,0.056881846019848824,0.027318254996374757,0.01693357587104052,0.011133124467700673
6,STTau,-0.15669053020934817,-0.19614451909333375,-0.18517083919926572,-0.11832131616421411,-0.04808035339554688,-0.023341197772106068,0.023520785304567915,0.14,0.01795430962836733,0.07597007033051068,0.05799242009962647,0.0352593914205729,0.016933786669090928,0.01049662803803239,0.00690109799185555
7,BFOph,-0.15669053020934817,-0.19614451909333375,-0.18517083919926572,-0.11832131616421411,-0.04808035339554688,-0.023341197772106068,0.010881446339660789,-0.06,0.0138664480964858,0.058673101830660365,0.04478862735164914,0.027231485429802676,0.013078279186681545,0.008106741550648493,0.005329846654846247
8,SYCas,-0.15669053020934817,-0.19614451909333375,-0.18517083919926572,-0.11832131616421411,-0.04808035339554688,-0.023341197772106068,0.014605220330462246,0.2,-0.007220059991997647,-0.030550239844139647,-0.0233207937741524,-0.01417904261468466,-0.0068096717820525,-0.004221063673121584,-0.0027751744591241355
9,XSct,-0.15669053020934817,-0.19614451909333375,-0.18517083919926572,-0.11832131616421411,-0.04808035339554688,-0.023341197772106068,0.042430823758863555,-0.3,-0.0004128587337694269,-0.0017469291601985761,-0.0013335337100752488,-0.0008107884957257514,-0.00038939184334197264,-0.00024136960152362004,-0.00015869051149895462
10,YLac,-0.15669053020934817,-0.19614451909333375,-0.18517083919926572,-0.11832131616421411,-0.04808035339554688,-0.023341197772106068,0.007238033879647701,0.14,0.016660008563836873,0.07049349423616297,0.0538118276611931,0.0327175912180054,0.015713053677068385,0.00973994080667595,0.0064036074916819785
11,TVul,-0.15669053020934817,-0.19614451909333375,-0.18517083919926572,-0.11832131616421411,-0.04808035339554688,-0.023341197772106068,0.010011717212804427,0.1,0.004471364757727054,0.018919685699370484,0.014442508167458385,0.008781044965814697,0.004217212384897848,0.0026140939783099674,0.0017186584719275477
12,XYCas,-0.15669053020934817,-0.19614451909333375,-0.18517083919926572,-0.11832131616421411,-0.04808035339554688,-0.023341197772106068,0.026164880639945688,0.22,-0.018336912414531635,-0.0775889774996077,-0.05922822709893718,-0.03601076207615381,-0.017294642312889654,-0.01072030910490763,-0.007048159024773524
13,TVel,-0.15669053020934817,-0.19614451909333375,-0.18517083919926572,-0.11832131616421411,-0.04808035339554688,-0.023341197772106068,0.01311376391384981,-0.2,0.023734842117441368,0.10042923745152967,0.07666354003933562,0.04661143234391606,0.022385753691485998,0.013876100747119747,0.00912296126468094
14,VZCyg,-0.15669053020934817,-0.19614451909333375,-0.18517083919926572,-0.11832131616421411,-0.04808035339554688,-0.023341197772106068,0.01519701821979899,-0.16,-0.0032731191966955623,-0.013849549256977933,-0.010572175005326666,-0.006427882403238613,-0.003087075101555386,-0.0019135636759641265,-0.0012580888256338732
15,CFCas,-0.15669053020934817,-0.19614451909333375,-0.18517083919926572,-0.11832131616421411,-0.04808035339554688,-0.023341197772106068,0.010392257146506607,-0.32,0.01004662813763466,0.04251029763877354,0.03245060888455995,0.01972997020181245,0.009475577794291505,0.005873560208105351,0.0038616224572626343
16,VLac,-0.15669053020934817,-0.19614451909333375,-0.18517083919926572,-0.11832131616421411,-0.04808035339554688,-0.023341197772106068,0.008296031671397202,0.3,-0.011031996169937877,-0.04667968539385814,-0.035633347628899345,-0.0216650753583708,-0.010404937507638606,-0.006449635920830781,-0.004240368367839022
