,error_pair,A0_B,A0_V,A0_I,A0_J,A0_H,A0_K,min_rms,min_mu,avg_EBV,A_B,A_V,A_I,A_J,A_H,A_K
0,EVSct,-0.29460633275119785,-0.26199137909651726,-0.16892816760242613,-0.07978781507099378,-0.045210558797744466,-0.03117697411248324,0.024818226781805904,-0.8,-0.024980176639908095,-0.10569862141644312,-0.08068597054690314,-0.04905707009251711,-0.023560303399695715,-0.01460416066898947,-0.009601630495081474
1,SZTau,-0.29460633275119785,-0.26199137909651726,-0.16892816760242613,-0.07978781507099378,-0.045210558797744466,-0.03117697411248324,0.011706522017004178,-0.94,0.0024094980643322764,0.01019530915960916,0.007782678747793253,0.004731868678658298,0.0022725421943556295,0.0014086648533505788,0.000926138770987397
2,SSSct,-0.29460633275119785,-0.26199137909651726,-0.16892816760242613,-0.07978781507099378,-0.045210558797744466,-0.03117697411248324,0.02574727538375803,-0.28,-0.02769287572148729,-0.11717686504032916,-0.08944798858040394,-0.0543843770568856,-0.02611881266547795,-0.016190085933053114,-0.010644310641068069
3,QZNor,-0.29460633275119785,-0.26199137909651726,-0.16892816760242613,-0.07978781507099378,-0.045210558797744466,-0.03117697411248324,0.01679269203491563,-0.78,-0.005809551694840732,-0.02458195608637959,-0.018764851974335566,-0.011409030000396024,-0.005479336776505984,-0.0033964382073547374,-0.0022330173849459322
4,ADGem,-0.29460633275119785,-0.26199137909651726,-0.16892816760242613,-0.07978781507099378,-0.045210558797744466,-0.03117697411248324,0.016108539273262078,-0.08,0.004028209444546765,0.01704456262271073,0.013011116505886051,0.00791075883557872,0.0037992460197187267,0.002355012087565375,0.0015483228642004401
5,YAur,-0.29460633275119785,-0.26199137909651726,-0.16892816760242613,-0.07978781507099378,-0.045210558797744466,-0.03117697411248324,0.019047387513606354,-0.24,0.0231802348233341,0.09808252760797358,0.07487215847936914,0.04552227235545644,0.021862670275975788,0.013551860684765814,0.008909786859044928
6,STTau,-0.29460633275119785,-0.26199137909651726,-0.16892816760242613,-0.07978781507099378,-0.045210558797744466,-0.03117697411248324,0.018861224174010063,-0.54,0.02702037944572637,0.114331331548702,0.08727582560969617,0.05306370197069527,0.02548454107803128,0.015796924435355006,0.010385823247553844
7,BFOph,-0.29460633275119785,-0.26199137909651726,-0.16892816760242613,-0.07978781507099378,-0.045210558797744466,-0.03117697411248324,0.018953621970302984,-0.3,-0.0008320920731066337,-0.0035208311889360993,-0.002687657396134427,-0.0016340956968497315,-0.0007847959596712525,-0.00048646598870033124,-0.00031983123013999676
8,SYCas,-0.29460633275119785,-0.26199137909651726,-0.16892816760242613,-0.07978781507099378,-0.045210558797744466,-0.03117697411248324,0.02218731169360214,-0.56,-0.010261928482341975,-0.0434212979873336,-0.03314602899796458,-0.020152785630762466,-0.009678640467405656,-0.005999431248631589,-0.003944377450757785
9,XSct,-0.29460633275119785,-0.26199137909651726,-0.16892816760242613,-0.07978781507099378,-0.045210558797744466,-0.03117697411248324,0.02717244862354593,-0.12,0.026557644905012893,0.11237336288658105,0.08578119304319164,0.05215496537026052,0.025048108368611956,0.015526395940817688,0.010207961972139806
10,YLac,-0.29460633275119785,-0.26199137909651726,-0.16892816760242613,-0.07978781507099378,-0.045210558797744466,-0.03117697411248324,0.011012608184102636,-0.5,0.006192936255157276,0.026204171176446984,0.020003184104158002,0.012161935935328065,0.005840929758414136,0.0036205763228525983,0.002380378908394802
11,TVul,-0.29460633275119785,-0.26199137909651726,-0.16892816760242613,-0.07978781507099378,-0.045210558797744466,-0.03117697411248324,0.019008362425078654,-0.46,-0.005973343849161973,-0.02527500982895906,-0.019293900632793175,-0.01173069158473825,-0.005633818984775606,-0.0034921960145355645,-0.0022959741753023877
12,XYCas,-0.29460633275119785,-0.26199137909651726,-0.16892816760242613,-0.07978781507099378,-0.045210558797744466,-0.03117697411248324,0.04899952879072321,-0.56,-0.02919268629887842,-0.12352301353644426,-0.0942923767453773,-0.0573297650611894,-0.02753337400965017,-0.01706692019091329,-0.011220792832699899
13,TVel,-0.29460633275119785,-0.26199137909651726,-0.16892816760242613,-0.07978781507099378,-0.045210558797744466,-0.03117697411248324,0.007642177410269172,-0.18,0.015396902810776695,0.06514891486323943,0.049731996078808724,0.030237053615915704,0.014521742855012145,0.009001491290264379,0.005918107533378238
14,VZCyg,-0.29460633275119785,-0.26199137909651726,-0.16892816760242613,-0.07978781507099378,-0.045210558797744466,-0.03117697411248324,0.02118642840202447,-0.2,-0.011849439824287211,-0.050138534728506476,-0.03827369063244769,-0.023270403904528197,-0.011175917664674725,-0.006927538004473032,-0.004554569185261276
15,CFCas,-0.29460633275119785,-0.26199137909651726,-0.16892816760242613,-0.07978781507099378,-0.045210558797744466,-0.03117697411248324,0.012348690347540606,-0.06,0.00598248747045856,0.025313699233751305,0.01932343452958115,0.011748648193985339,0.005642442882637695,0.0034975416498541877,0.0022994887090201565
16,VLac,-0.29460633275119785,-0.26199137909651726,-0.16892816760242613,-0.07978781507099378,-0.045210558797744466,-0.03117697411248324,0.011722743356513257,-0.68,-0.003164137315024055,-0.013388414221061285,-0.010220163527527698,-0.006213859424736841,-0.0029842877500380876,-0.0018498495984825133,-0.001216199459775796
17,V0386Cyg,-0.29460633275119785,-0.26199137909651726,-0.16892816760242613,-0.07978781507099378,-0.045210558797744466,-0.03117697411248324,0.02064581167497053,-0.28,-0.016846518876597136,-0.07128267532254547,-0.054414255971408754,-0.03308386763061652,-0.015888962743651352,-0.009848980330824984,-0.006475296460597641
18,CRSer,-0.29460633275119785,-0.26199137909651726,-0.16892816760242613,-0.07978781507099378,-0.045210558797744466,-0.03117697411248324,0.028439660735235968,-0.6,-0.02048886184572871,-0.0866945211278319,-0.06617902376170373,-0.04023684644711587,-0.01932427493841749,-0.011978403300868376,-0.007875303827642744
19,V1162Aql,-0.29460633275119785,-0.26199137909651726,-0.16892816760242613,-0.07978781507099378,-0.045210558797744466,-0.03117697411248324,0.032898194672046174,-0.18,-0.016472587237134823,-0.06970045837648857,-0.053206456775945474,-0.03234952571977485,-0.015536285378576077,-0.00963036867644613,-0.006331568356337512
20,CVMon,-0.29460633275119785,-0.26199137909651726,-0.16892816760242613,-0.07978781507099378,-0.045210558797744466,-0.03117697411248324,0.033600300533847605,-0.18,0.048509515123849656,0.20525831134354505,0.1566857338500344,0.09526492618082091,0.04575223428421003,0.028360117826856223,0.01864560232815409
21,SWCas,-0.29460633275119785,-0.26199137909651726,-0.16892816760242613,-0.07978781507099378,-0.045210558797744466,-0.03117697411248324,0.01606046646505647,-0.34,-0.013522614977568426,-0.05721824075458528,-0.04367804637754601,-0.026556252197547977,-0.012753989542243434,-0.007905726394335828,-0.0051976875189279756
22,XLac,-0.29460633275119785,-0.26199137909651726,-0.16892816760242613,-0.07978781507099378,-0.045210558797744466,-0.03117697411248324,0.0215495702706373,-1.0,-0.020662237893754723,-0.08742812719984436,-0.06673902839682776,-0.04057732926527127,-0.0194877962918737,-0.012079764139825823,-0.007941944379222503
23,VCen,-0.29460633275119785,-0.26199137909651726,-0.16892816760242613,-0.07978781507099378,-0.045210558797744466,-0.03117697411248324,0.007765122712956409,-0.4,0.019873583344994325,0.0840910932076745,0.06419167420433167,0.039028537916233653,0.018743968867664846,0.011618693030984032,0.007638809230315469
24,FMCas,-0.29460633275119785,-0.26199137909651726,-0.16892816760242613,-0.07978781507099378,-0.045210558797744466,-0.03117697411248324,0.01688028089994846,-0.38,-0.003910413984711448,-0.016546134693509552,-0.012630637170617978,-0.007679427399735731,-0.003688146053820449,-0.002286145327881854,-0.0015030458233035394
25,CSVel,-0.29460633275119785,-0.26199137909651726,-0.16892816760242613,-0.07978781507099378,-0.045210558797744466,-0.03117697411248324,0.014584561728515752,-0.24,0.02499461109028284,0.10575969790631379,0.08073259382161357,0.04908541704354105,0.02357391739591116,0.014612599481712056,0.009607178664772014
26,MWCyg,-0.29460633275119785,-0.26199137909651726,-0.16892816760242613,-0.07978781507099378,-0.045210558797744466,-0.03117697411248324,0.026397811638595142,-0.66,-0.02346508549240053,-0.09928781624399437,-0.07579222614045371,-0.046081673493395856,-0.022131330033012483,-0.013718392931422121,-0.009019274910713991
27,FMAql,-0.29460633275119785,-0.26199137909651726,-0.16892816760242613,-0.07978781507099378,-0.045210558797744466,-0.03117697411248324,0.040733202089851366,-0.4,-0.029729849234069763,-0.1257959110641194,-0.09602741302604534,-0.058384667119835566,-0.028040004603605236,-0.017380961757714204,-0.011427262150099395
28,CRCep,-0.29460633275119785,-0.26199137909651726,-0.16892816760242613,-0.07978781507099378,-0.045210558797744466,-0.03117697411248324,0.007312361701306711,-0.22,0.0051703308593852625,0.02187722096531686,0.0167001686758144,0.010153702554895155,0.004876449253337804,0.0030227305303224057,0.0019873200724219134
29,RSCas,-0.29460633275119785,-0.26199137909651726,-0.16892816760242613,-0.07978781507099378,-0.045210558797744466,-0.03117697411248324,0.015113880662414939,-0.52,0.002440576128030674,0.010326809770536191,0.007883060893539077,0.004792901023271759,0.0023018537809134103,0.001426834021730573,0.0009380842463311502
