,name,logP,new_mod,new_EBV,new_M_B,new_M0_B,new_M_V,new_M0_V,new_M_I,new_M0_I,new_M_J,new_M0_J,new_M_H,new_M0_H,new_M_K,new_M0_K
0,EVSct,0.490098,11.565259479873284,0.5994514906247713,-0.04021707215387932,-0.19769061337713692,-1.2418377945912948,-1.3436906133771358,-2.833171095221835,-2.868832451748152,-3.848868347770943,-3.890858375804258,-4.361784154837244,-4.532624843503217,-4.515908299324727,-4.834581680873836
1,SZTau,0.498166,9.497825582806314,0.30748224737664537,-2.1856417161311135,-2.0552567163101663,-3.012143241832879,-2.8942567163101662,-4.005338719494465,-3.9073985546811816,-4.682598339242071,-4.660424478737289,-5.0911230790901225,-5.222190946436248,-5.188623384230475,-5.4811477838068665
2,SSSct,0.564814,9.95399674563063,0.31216430645290316,-0.7346850755247984,-0.7114278791344818,-1.6945374554735055,-1.6584278791344806,-2.833789497215098,-2.7855697175054965,-3.5608906329047483,-3.5625956415616025,-4.0094926141121885,-4.155362109260562,-4.104063090101931,-4.406318946631181
3,QZNor,0.578244,11.865521266544437,0.27788743199259847,-2.1725144575347195,-2.03195240004829,-3.0446076718805313,-2.91895240004829,-4.029757800988783,-3.927094238419306,-4.743562496902578,-4.719120162475413,-5.1412249059102715,-5.270886630174372,-5.2522435487794334,-5.543843467544991
4,ADGem,0.578408,11.486294357261663,0.13091355280932956,-0.7612139732637795,-0.8617254907655156,-1.495355132835798,-1.5537254907655156,-2.364643308810738,-2.373867329136532,-2.919600103729312,-2.948893253192639,-3.314689357640582,-3.4776597208915967,-3.393117589554986,-3.706616558262217
5,YAur,0.586529,11.104778834597669,0.4013868457174887,-0.7044294948820781,-0.5152099681015204,-1.5760083462651562,-1.4132099681015198,-2.5855983776915017,-2.4603518064725365,-3.3866658520045747,-3.3513777305286423,-3.836205376209484,-3.9591441982276017,-3.9479211464860997,-4.2351010355982215
6,STTau,0.605768,10.441118674761304,0.40225258206011644,-1.5200516252322733,-1.297549808265155,-2.3327545148154796,-2.1445498082651557,-3.3703852655142423,-3.229691646636171,-4.121424340057122,-4.078717570692278,-4.5631437618111095,-4.681484038391237,-4.66628433972775,-4.950440875761855
7,BFOph,0.609329,9.464657169124191,0.23958479649206638,-1.284056818521072,-1.1870883026280437,-2.142466061793565,-2.0500883026280428,-3.1076609758671707,-3.0252301409990587,-3.767981365783648,-3.753256065055165,-4.182337578697347,-4.318022532754124,-4.288419427351847,-4.5839793701247435
8,SYCas,0.609712,11.657891406797706,0.38414503497484503,-0.5630896932867676,-0.7303225403015583,-1.5980198697664556,-1.7073225403015584,-2.7922735122827045,-2.8324643786725727,-3.6943249179845807,-3.73849030272868,-4.176067658595049,-4.348256770427639,-4.292653693890987,-4.6122136077982585
9,XSct,0.62305,10.8546488763081,0.6472777637383423,0.03676042198585097,0.36091999018804666,-1.0318860531829475,-0.7660800098119537,-2.3490970798480078,-2.1612218481829695,-3.4306141319555556,-3.365247772239075,-3.9377198053224483,-4.042014239938035,-4.051049100356208,-4.325971077308654
10,YLac,0.635863,11.63388347911998,0.18992323725274077,-1.6453135729075017,-1.682314612623832,-2.4024255354463326,-2.412314612623832,-3.3037090493664034,-3.2834564509948487,-3.902345759567275,-3.917482375050954,-4.30205359131505,-4.456248842749914,-4.3984759838228165,-4.706205680120533
11,TVul,0.646934,8.739609271617036,0.03369941419787571,-2.2383236029125073,-2.272040405120888,-2.901658379476174,-2.909040405120887,-3.633959129195391,-3.612182243491903,-4.113803611111904,-4.12820816754801,-4.45423316013954,-4.607974635246969,-4.524500115452272,-4.831931472617588
12,XYCas,0.653376,11.321368055041328,0.4084233925643873,0.29075294400098056,-0.15879918854517985,-0.9659856130242999,-1.290799188545181,-2.340719530294974,-2.5119410269161957,-3.371872381972356,-3.478966950972303,-3.9135368330362463,-4.124733418671262,-4.061484544441302,-4.406690256041881
13,TVel,0.666501,9.97660033600083,0.3339327710811841,-1.2227243702766435,-0.9550314695046818,-2.0897331865930546,-1.8670314695046824,-3.1058411091609033,-2.9441733078756984,-3.7939791283737603,-3.741199231931805,-4.234869381958023,-4.346965699630764,-4.352871145221305,-4.632922537001383
14,VZCyg,0.687034,10.862505097664256,0.23024882315420245,-0.875231143076633,-0.9489362311681087,-1.7910287964523308,-1.8289362311681092,-2.8592955065274057,-2.856078069539125,-3.545786017710374,-3.5691039935952307,-3.969603887144898,-4.12887046129419,-4.089763417820037,-4.400827298664809
15,CFCas,0.687994,12.012554504981491,0.5862073174092258,0.18493537286485112,0.40301436151465553,-0.9918141402132903,-0.8069856384853432,-2.386768363202424,-2.248127476856358,-3.342874318469176,-3.301153400912465,-3.899968498958447,-4.018919868611425,-4.059318401574075,-4.343876705982043
16,VLac,0.697493,11.592474932442641,0.30616811737137123,-1.6544785874761232,-1.6989060659464925,-2.578347951552171,-2.5939060659464936,-3.669853728061235,-3.6530479043175093,-4.4442818540226225,-4.461073828373615,-4.904618948901465,-5.059840296072574,-4.994392821716675,-5.302797133443193
