,name,logP,new_mod,new_EBV,new_M_B,new_M0_B,new_M_V,new_M0_V,new_M_I,new_M0_I,new_M_J,new_M0_J,new_M_H,new_M0_H,new_M_K,new_M0_K
0,EVSct,0.490098,11.825259479873283,0.12575759955755894,2.9041238891188166,0.877561418751961,1.2281934735558013,-0.24769554797177137,-0.9629120841884007,-1.7686955479717728,-2.4620992174719913,-2.7674660839535394,-3.144848495302619,-3.396422373301076,-3.393834578415223,-3.6700109318320155
1,SZTau,0.498166,8.197825582806313,0.23919381265326373,-2.0366928622860683,-2.060004684181068,-2.931571597676356,-2.878261650904802,-4.0112311598472985,-3.8872616509048017,-4.758191419148366,-4.617032186886569,-5.191199611497791,-5.165988476234107,-5.302375358575849,-5.396577034765046
2,SSSct,0.564814,10.29399674563063,0.13840614529561243,0.10053783178004583,-0.47617584700538385,-1.0332985949354567,-1.4024328137291164,-2.392556270007964,-2.525432813729117,-3.297008885627638,-3.2792033497108837,-3.807908380354802,-3.859159639058421,-3.9372756656979035,-4.081748197589361
3,QZNor,0.578244,10.525521266544438,0.3313782133394607,-2.858850000647698,-2.356700367919192,-3.6773828956308963,-3.222957334642926,-4.594805137029004,-4.226957334642926,-5.254012862237684,-4.995727870624694,-5.632497221409087,-5.534684159972231,-5.732803800405727,-5.7792727185031705
4,ADGem,0.578408,12.286294357261664,0.05022880621735937,-0.5398126050091758,-0.8464734586364175,-1.354743401343734,-1.5177304253601511,-2.326191376063563,-2.3337304253601525,-2.9635014781336295,-2.8855009613419202,-3.3875186342405184,-3.4014572506894565,-3.4821047935074305,-3.6020458092203955
5,YAur,0.586529,10.58477883459767,0.5728839627438148,-2.1500852461555717,-1.0999579359724225,-2.8499440342601896,-1.9772149026961556,-3.642391275992482,-3.020214902696157,-4.268415072899124,-3.887985438677924,-4.656467735736586,-4.4829417280254615,-4.733839493357509,-4.730530286556401
6,STTau,0.605768,9.741118674761303,0.36875467165339765,-1.4783119169283239,-1.262297776136057,-2.324556264201778,-2.0885547428597917,-3.404600729141112,-3.1695547428597917,-4.189830450877922,-3.995325278841559,-4.64355987845003,-4.585281568189097,-4.75340874790472,-4.8258701267200355
7,BFOph,0.609329,9.30465716912419,0.24482775019847144,-1.6662413285389837,-1.4118362704989458,-2.5194008022652534,-2.2540932372226785,-3.477957298073957,-3.225093237222679,-4.132926310001381,-3.9298637732044464,-4.545402766722723,-4.481820062551983,-4.650434661467977,-4.7194086210829225
8,SYCas,0.609712,11.177891406797706,0.44808344515752246,-1.3536322882927307,-1.1150705081724603,-2.3245409346565036,-2.071327474896194,-3.437838319735854,-3.192327474896193,-4.274629068932475,-4.075098010877961,-4.733447971340148,-4.672054300225498,-4.837229700612903,-4.907642858756438
9,XSct,0.62305,10.334648876308101,0.7935946098031093,-1.1023500487679974,-0.023827977682855356,-2.0244894659721444,-1.1300849444065895,-3.1564399548238398,-2.52108494440659,-4.088614328490001,-3.7018554803883563,-4.543261023037293,-4.3658117697358945,-4.627288906478123,-4.621400328266834
10,YLac,0.635863,11.513883479119981,0.11202351445618174,-1.4356964758384214,-1.667062580494734,-2.270809430813447,-2.376319547218468,-3.2707264577496087,-3.2433195472184693,-3.948873857014472,-3.8540900832002354,-4.376511076376498,-4.380046372547773,-4.488533667371503,-4.601634931078713
11,TVul,0.646934,8.539609271617035,0.001388905250029375,-2.381608146401485,-2.4167883729917903,-3.0772954355746305,-3.0330453397155233,-3.850506459303253,-3.7320453397155235,-4.363329631492653,-4.224815875697291,-4.71534346729336,-4.691772165044829,-4.79208092512799,-4.8873607235757675
