,name,logP,new_mod,new_EBV,new_M_B,new_M0_B,new_M_V,new_M0_V,new_M_I,new_M0_I,new_M_J,new_M0_J,new_M_H,new_M0_H,new_M_K,new_M0_K
0,EVSct,0.490098,11.185259479873285,0.49180424019795155,0.7952707385771232,0.2176223452246095,-0.514137175712667,-0.9199006607897615,-2.2417691189436293,-2.440900660789762,-3.367339767058384,-3.4176439569619266,-3.9188503428202117,-3.9215543786659928,-4.0945319256781705,-4.0777807980408065
1,SZTau,0.498166,9.477825582806314,0.2892181802016616,-2.0883609686936047,-1.9999437577084198,-2.9331503048576812,-2.8304667637227925,-3.949471013813545,-3.8394667637227915,-4.6453724016453135,-4.547210059894957,-5.0604453574976125,-4.971120481599025,-5.1616032247304275,-5.084346900973837
2,SSSct,0.564814,9.95399674563063,0.2990785242193778,-0.6793152051600826,-0.6761149205327354,-1.6522703788592186,-1.6146379265471065,-2.8080911146336116,-2.7376379265471065,-3.5485486465333764,-3.469381222719271,-4.001842273245003,-3.9242916444233376,-4.099033307984831,-4.029518063798151
3,QZNor,0.578244,11.945521266544437,0.2851169216051598,-2.28310459693235,-2.076639441446544,-3.1479589233291043,-2.9551624474609164,-4.123955361869514,-3.959162447460915,-4.830381062325561,-4.705905743633081,-5.225451482422463,-5.119816165337149,-5.335022347701813,-5.24704258471196
4,ADGem,0.578408,11.446294357261664,0.09792871239704208,-0.5816452180272673,-0.7864125321637692,-1.3488140983041093,-1.4699355381781414,-2.2598663598154713,-2.285935538178142,-2.848490121646059,-2.815678834350307,-3.255405430390346,-3.206589256054373,-3.3404392064457147,-3.2898156754291863
5,YAur,0.586529,11.344778834597669,0.4769619243689688,-1.2642103251800856,-0.719897009499774,-2.060115850309437,-1.6094200155141458,-2.9740157401504246,-2.6524200155141466,-3.697945243185505,-3.498163311686311,-4.120388834441498,-3.9680737333903777,-4.2169699394673685,-4.098300152765191
6,STTau,0.605768,10.421118674761303,0.4308888884409487,-1.621220428421489,-1.2422368496634086,-2.4052497844255685,-2.0807598556777824,-3.4066223894371763,-3.1617598556777815,-4.128432958783269,-3.965503151849946,-4.559885405610536,-4.430413573554014,-4.657291276811351,-4.553639992928826
7,BFOph,0.609329,9.48465716912419,0.2180902444273695,-1.2131069203697198,-1.1717753440262972,-2.0930386586245944,-2.026298350040669,-3.0854491147404364,-2.9972983500406687,-3.767708564058309,-3.6800416462128336,-4.189771218723763,-4.1069520679169,-4.300157566374739,-4.227178487291713
8,SYCas,0.609712,11.937891406797705,0.45590866897989507,-1.146743157852336,-0.9750095816998119,-2.109816407602767,-1.943532587714184,-3.213205807287182,-3.0645325877141825,-4.042009507032783,-3.925275883886348,-4.498022831943421,-4.397186305590415,-4.600237481893507,-4.515412724965228
9,XSct,0.62305,11.2946488763081,0.8636229142066245,-1.318660813190591,-0.04376705121020695,-2.1706808891954985,-1.1622900572245796,-3.213964340143639,-2.5532900572245794,-4.07466222407122,-3.7120333533967433,-4.504201670640721,-4.2509437751008115,-4.574205685841702,-4.389170194475624
