,name,logP,new_mod,new_EBV,new_M_B,new_M0_B,new_M_V,new_M0_V,new_M_I,new_M0_I,new_M_J,new_M0_J,new_M_H,new_M0_H,new_M_K,new_M0_K
0,EVSct,0.490098,10.520999999999999,0.8048433419743465,-1.6250321328960529,-1.0321600634374948,-2.6209939945771388,-2.1684198957538108,-3.952268348702901,-3.7481698622014252,-4.758326246416525,-4.80714290270507,-5.197602913018462,-5.378962485012064,-5.31059528535468,-5.54767805261385
1,SZTau,0.498166,7.814,0.4675969015650062,-3.179309269592011,-2.490160063437494,-3.8454879920549705,-3.3194198957538115,-4.6359526991694215,-4.387169862201425,-5.149786493680051,-5.17714290270507,-5.50090532656195,-5.668962485012065,-5.566341071054541,-5.7946780526138495
2,SSSct,0.564814,10.046999999999999,0.5258285952666932,-2.531766035151959,-1.723160063437494,-3.277676362711418,-2.6604198957538103,-4.146395228528542,-3.842169862201424,-4.655413497911733,-4.656142902705069,-5.0274104216507665,-5.178962485012064,-5.079192487162659,-5.296678052613849
3,QZNor,0.578244,9.971,0.43320177783696423,-2.6151747825615463,-1.9361600634374936,-3.3317517424133944,-2.8134198957538112,-4.120249059387343,-3.8761698622014245,-4.675527508784711,-4.705142902705069,-5.017505065376825,-5.186962485012065,-5.097420457347194,-5.3266780526138495
4,ADGem,0.578408,12.193999999999999,0.4956047053491652,-3.6520372897439213,-2.3281600634374926,-4.021013198277802,-3.01041989575381,-4.428544024552904,-3.8851698622014244,-4.611267853897119,-4.49714290270507,-4.875604388888282,-4.955962485012064,-4.880999570595058,-5.051678052613849
5,YAur,0.586529,11.342,0.5843485949384646,-2.395816709763125,-1.551160063437494,-3.08419596165124,-2.4394198957538107,-3.8621271446839547,-3.5411698622014254,-4.476449220802162,-4.4691429027050695,-4.860391469058875,-5.006962485012065,-4.935467319436498,-5.14967805261385
6,STTau,0.605768,9.729000000000001,0.45374241977620694,-2.0658019007990642,-1.7441600634374939,-2.8269480158771496,-2.5814198957538124,-3.799384393653307,-3.7211698622014255,-4.4978688206361275,-4.607142902705069,-4.921127590873764,-5.139962485012065,-5.01395681388938,-5.275678052613849
7,BFOph,0.609329,8.709999999999999,0.45059275896144235,-2.2222376409935514,-1.351160063437494,-2.8693646114454587,-2.204419895753811,-3.567389683758839,-3.2341698622014246,-4.012338466542074,-3.99914290270507,-4.351041994671628,-4.493962485012064,-4.414867388762009,-4.626678052613849
8,SYCas,0.609712,10.706,0.817925400009605,-3.206653145060642,-1.6571600634374946,-3.807239042031025,-2.624419895753812,-4.452257337554862,-3.8041698622014244,-4.9115578002730595,-4.74714290270507,-5.2377772666076154,-5.286962485012064,-5.267494446001692,-5.41767805261385
9,XSct,0.62305,12.178,0.5294076442310908,-0.6278468650350153,-0.921160063437495,-1.8145166908664248,-2.0384198957538127,-3.2809701480467868,-3.4881698622014263,-4.482794873732996,-4.72914290270507,-5.032160521046824,-5.3359624850120655,-5.169094486213106,-5.4866780526138506
