,name,logP,new_mod,new_EBV,new_M_B,new_M0_B,new_M_V,new_M0_V,new_M_I,new_M0_I,new_M_J,new_M0_J,new_M_H,new_M0_H,new_M_K,new_M0_K
0,EVSct,0.490098,10.661,0.6500013790730081,-0.8298493352716196,-0.816088916528964,-1.9808544544058158,-1.970350317961039,-3.5081835082787367,-3.5126881206180958,-4.472285500686499,-4.483264912597256,-4.967077656247453,-4.979259340427564,-5.111078680074293,-5.117660612645622
1,SZTau,0.498166,7.974,0.3036371769583754,-2.3255464868639737,-2.2540889165289633,-3.1558980815755526,-3.1013503179610398,-4.153962033597936,-4.131688120618095,-4.8351462398200615,-4.833264912597255,-5.245049552765175,-5.249259340427565,-5.34331987170749,-5.3446606126456215
2,SSSct,0.564814,10.247,0.331084323864337,-1.507744599567169,-1.4470889165289633,-2.448652366081808,-2.402350317961039,-3.563948638577739,-3.5466881206180947,-4.2717384908958875,-4.2722649125972545,-4.7135570782608065,-4.719259340427564,-4.804338631563735,-4.806660612645621
3,QZNor,0.578244,10.151,0.26359573162864847,-1.7175207192403001,-1.6800889165289632,-2.6039242131605347,-2.57535031796104,-3.607169921601605,-3.600688120618095,-4.335561870242876,-4.341264912597255,-4.7383482825820575,-4.747259340427565,-4.852228981366104,-4.856660612645622
4,ADGem,0.578408,12.494,0.1999431272965146,-2.101004454529741,-1.952088916528962,-2.766026301167741,-2.6523503179610386,-3.547911991109987,-3.4896881206180947,-4.032411679940981,-4.013264912597255,-4.40275176051136,-4.396259340427563,-4.467356129838961,-4.461660612645621
5,YAur,0.586529,11.542,0.3891363777250957,-1.3698152550681975,-1.2750889165289634,-2.253660500052059,-2.1813503179610394,-3.2787615840316526,-3.245688120618096,-4.092332866015201,-4.085264912597255,-4.546264550509423,-4.547259340427565,-4.660433599506195,-4.659660612645622
6,STTau,0.605768,9.829,0.35473718330643744,-1.5468810437245286,-1.568088916528963,-2.407161102079794,-2.4233503179610407,-3.5049539500645146,-3.5256881206180957,-4.3044910418072995,-4.3232649125972555,-4.763246159476443,-4.780259340427565,-4.875902171147495,-4.885660612645622
7,BFOph,0.609329,8.91,0.2520536028235984,-1.182158909627492,-1.0750889165289634,-2.0280831371202224,-1.946350317961039,-2.9774905473690954,-2.938688120618095,-3.625084276039105,-3.6152649125972554,-4.03497004781876,-4.034259340427564,-4.138554893317306,-4.136660612645621
8,SYCas,0.609712,11.046,0.48166498467787267,-1.443834449667483,-1.241088916528964,-2.3811179005095298,-2.2263503179610407,-3.451895683509793,-3.3686881206180948,-4.254410426948783,-4.223264912597256,-4.701189339992225,-4.687259340427564,-4.798246030160635,-4.787660612645622
9,XSct,0.62305,12.158000000000001,0.5496307249465499,-0.7334167864663372,-0.8650889165289641,-1.8998372415773574,-2.000350317961041,-3.340685042879034,-3.4126881206180966,-4.521868474540589,-4.565264912597256,-5.063983540725503,-5.096259340427566,-5.196867631747707,-5.216660612645623
10,YLac,0.635863,11.597,0.24810227019512546,-2.774603035876634,-2.6080889165289634,-3.4734603327302556,-3.34635031796104,-4.301079882299996,-4.234688120618096,-4.8403344171572344,-4.817264912597255,-5.219183320224177,-5.210259340427565,-5.303954779594901,-5.296660612645622
11,TVul,0.646934,8.395,0.0946658266733568,-2.9916815124029745,-2.8100889165289633,-3.5939706201549417,-3.455350317961039,-4.249078137054204,-4.175688120618094,-4.666695421085243,-4.640264912597255,-4.985266682248044,-4.974259340427564,-5.043324503798438,-5.034660612645621
12,XYCas,0.653376,10.565,0.6151264961505727,-1.0275018431619163,-0.6450889165289617,-2.0772685825663495,-1.7853503179610393,-3.190283298200339,-3.0236881206180937,-4.010458426109373,-3.9392649125972548,-4.478013613444508,-4.439259340427563,-4.584566961325395,-4.557660612645621
13,TVel,0.666501,10.093,0.2847641574047085,-1.2110768792265414,-1.1940889165289617,-2.1273182284172076,-2.114350317961039,-3.205681482877662,-3.2086881206180946,-3.9440049226978244,-3.954264912597255,-4.402523599343514,-4.414259340427564,-4.530371869181647,-4.536660612645621
14,VZCyg,0.687034,11.447999999999999,0.28798415619170925,-1.9850215600939782,-1.8570889165289624,-2.8430088244992207,-2.7453503179610395,-3.8381733652955257,-3.7896881206180946,-4.465734576753771,-4.451264912597254,-4.868852597234358,-4.8652593404275635,-4.977450050115406,-4.97366061264562
15,CFCas,0.687994,12.428,0.5488470169567763,0.08757251715079128,0.10491108347103505,-1.1265858647703877,-1.11335031796104,-2.5688442057803953,-2.571688120618095,-3.563083072512953,-3.5732649125972555,-4.133572041523441,-4.1452593404275655,-4.300403717907677,-4.306660612645622
16,VLac,0.697493,10.840000000000002,0.35020574526530185,-2.328340069941072,-2.229088916528964,-3.2081145572069265,-3.1323503179610412,-4.243861650781811,-4.208688120618096,-4.973341450704423,-4.965264912597256,-5.417889734854454,-5.418259340427565,-5.498844632307625,-5.497660612645623
17,V0386Cyg,0.720788,9.584,0.8310351473196101,1.3051642811465338,1.2979110834710368,-0.24481352584233984,-0.2503503179610386,-2.142430623712143,-2.156688120618095,-3.4126015495459634,-3.428264912597255,-4.089174248177463,-4.104259340427564,-4.313169809575239,-4.321660612645622
18,CRSer,0.724391,11.131,1.0732098194469,0.04355409097433244,0.23591108347103723,-1.5581877168134879,-1.41135031796104,-3.469074131822601,-3.390688120618096,-4.863094813309538,-4.834264912597256,-5.549753976743242,-5.537259340427565,-5.757302338300805,-5.747660612645622
19,V1162Aql,0.730464,10.012,0.23159883752008836,-1.7298606611987501,-1.5400889165289635,-2.5812142451898854,-2.4363503179610397,-3.4788742610754504,-3.401688120618095,-4.066518559595447,-4.038264912597255,-4.4663967783793685,-4.454259340427564,-4.552067495177596,-4.542660612645621
20,CVMon,0.730685,11.126000000000001,0.6564286665310533,0.8674519833071535,0.6249110834710361,-0.48920459289530316,-0.6743503179610404,-2.2612283924803447,-2.384688120618096,-3.540155741125429,-3.608264912597256,-4.176665031314051,-4.224259340427565,-4.4047963465545426,-4.434660612645623
21,SWCas,0.735675,11.545,0.4727888079552853,-1.2814941831011983,-1.2220889165289632,-2.3806978496955713,-2.3353503179610398,-3.6893682926149065,-3.672688120618094,-4.570459772111106,-4.571264912597255,-5.086384310794898,-5.092259340427564,-5.208225044113773,-5.210660612645621
22,XLac,0.735997,10.5,0.35149678123529693,-3.219571530440913,-3.119088916528965,-4.105054603390011,-4.028350317961041,-5.173433198861126,-5.137688120618096,-5.866615944189883,-5.858264912597256,-6.312059883213593,-6.312259340427565,-6.419956497803411,-6.418660612645621
23,VCen,0.739882,8.911000000000001,0.291025624043332,-1.7534145230145515,-1.731088916528964,-2.627392765659964,-2.610350317961041,-3.6691588015212577,-3.669688120618096,-4.39519468757271,-4.404264912597256,-4.841261090584454,-4.852259340427565,-4.960856739113536,-4.966660612645622
24,FMCas,0.764123,10.932,0.3330616128758915,-1.4071111025617595,-1.3380889165289633,-2.3900390095891293,-2.3373503179610395,-3.529831717830191,-3.5086881206180953,-4.276603390800026,-4.2752649125972555,-4.750713060735632,-4.755259340427564,-4.857098642141106,-4.858660612645622
25,CSVel,0.771201,12.595,0.7123730289580974,0.3982041025696012,0.32891108347103537,-0.9664548835346558,-1.0193503179610406,-2.638636569189071,-2.6816881206180962,-3.89177282599212,-3.9212649125972563,-4.506602333919774,-4.530259340427565,-4.727534131140624,-4.741660612645622
26,MWCyg,0.774852,9.868,0.6364924677104401,-0.1533150786231867,-0.11208891652896497,-1.5098206707047217,-1.4783503179610398,-3.116930967788472,-3.1086881206180963,-4.190407635845779,-4.195264912597255,-4.779872541397556,-4.788259340427566,-4.947573659813862,-4.951660612645623
27,FMAql,0.786342,10.187,0.6045250235997454,-1.3866910323576027,-1.2860889165289633,-2.647145826227177,-2.570350317961039,-4.180488662346123,-4.1446881206180946,-5.0876425812583355,-5.079264912597255,-5.641076394547118,-5.641259340427563,-5.797967353321033,-5.796660612645621
28,CRCep,0.794695,10.067,0.6703167954100645,1.064680243581395,0.9359110834710374,-0.3670532491745082,-0.46535031796103943,-2.1420323754981,-2.212688120618094,-3.3565155487589564,-3.399264912597255,-4.026384638100586,-4.058259340427564,-4.197131336651767,-4.216660612645621
29,RSCas,0.799056,10.045,0.8500923664877857,0.4256770696802328,0.5329110834710372,-1.0362083437555465,-0.954350317961038,-2.741566673003372,-2.702688120618094,-4.05712083637662,-4.047264912597255,-4.707992710219754,-4.707259340427564,-4.90156979290691,-4.899660612645621
30,RRLac,0.807281,10.222999999999999,0.349278700671934,-2.038118266153154,-1.8750889165289628,-2.918800203170346,-2.7943503179610385,-3.9064625235275705,-3.8416881206180946,-4.633557659325741,-4.611264912597255,-5.061701836773833,-5.053259340427564,-5.14763822417727,-5.140660612645621
31,XXSgr,0.807815,10.427999999999999,0.4960133453348542,-0.7952739681153678,-0.8660889165289625,-1.9312931054315792,-1.9853503179610394,-3.3499302081024,-3.3936881206180947,-4.34843358678602,-4.378264912597254,-4.892392052083115,-4.916259340427564,-5.0343958795463575,-5.048660612645621
32,BBSgr,0.821971,9.524000000000001,0.29686880857260894,-2.1871456897132804,-2.0850889165289637,-3.155256251689527,-3.0773503179610397,-4.253163801027233,-4.2166881206180955,-4.959966825493342,-4.951264912597256,-5.414277381555805,-5.414259340427565,-5.540099493951055,-5.538660612645622
33,VCar,0.82586,9.591000000000001,0.18415518402801934,-1.9928200301777592,-1.8810889165289644,-2.841641244410503,-2.75635031796104,-3.765653876601586,-3.7246881206180955,-4.362123243367868,-4.351264912597256,-4.7746140652383025,-4.773259340427566,-4.873978308084851,-4.871660612645623
34,V0495Cyg,0.827263,11.621,0.9943647827107411,-1.2842443050839587,-1.1800889165289632,-2.895858248155694,-2.8163503179610396,-4.799137814878661,-4.7616881206180945,-6.243434608461463,-6.234264912597256,-6.928567342916181,-6.928259340427565,-7.153290131530528,-7.151660612645622
35,USgr,0.828997,8.798,0.4208545234351809,-1.6117791450112813,-1.4970889165289636,-2.6889001106956334,-2.601350317961039,-3.929027267302945,-3.8866881206180945,-4.748782832323125,-4.737264912597255,-5.23602292003591,-5.234259340427564,-5.37124711317278,-5.368660612645621
36,TWCMa,0.844792,11.327,0.3329955722068812,-1.0499064646789749,-0.9980889165289619,-2.0159056982282255,-1.9763503179610387,-3.1558466645227603,-3.142688120618094,-3.910768463882641,-3.9132649125972545,-4.394335931379309,-4.401259340427564,-4.499535778089158,-4.502660612645621
37,xSgr,0.845893,6.971,0.24767871505962288,-3.185184847031783,-3.105088916528964,-3.9244922496425825,-3.8633503179610402,-4.816971287782691,-4.790688120618096,-5.445071736895635,-5.441264912597256,-5.8392430971853075,-5.842259340427565,-5.934104577707468,-5.934660612645622
38,V0600Aql,0.859672,10.844999999999999,0.8226528897934665,-0.3823137725830945,-0.24308891652896342,-1.8486288340328962,-1.7423503179610391,-3.6544143310920005,-3.6006881206180945,-4.754251619537605,-4.737264912597255,-5.369412818959953,-5.364259340427563,-5.542475831249914,-5.537660612645621
39,V0459Cyg,0.860413,11.426,0.7292621708461885,0.05212197649852318,0.0839110834710372,-1.3826168118331876,-1.3583503179610381,-3.147551021594579,-3.143688120618095,-4.270304109055291,-4.277264912597255,-4.912568642941807,-4.922259340427564,-5.08271640060815,-5.087660612645622
40,CKSct,0.870124,10.825999999999999,0.7688251743517476,1.6889641397654505,1.7739110834710363,0.11080468684385536,0.17564968203896036,-1.671222750398935,-1.642688120618094,-2.9391530314415935,-2.9342649125972544,-3.6129133516812613,-3.615259340427563,-3.7785452422655803,-3.7786606126456213
