,name,logP,new_mod,new_EBV,new_M_B,new_M0_B,new_M_V,new_M0_V,new_M_I,new_M0_I,new_M_J,new_M0_J,new_M_H,new_M0_H,new_M_K,new_M0_K
0,EVSct,0.490098,11.801,0.5770951913357683,-0.18136138309903665,-0.3213781903842996,-1.405367468014531,-1.4260954772477539,-3.0250074205528352,-2.9552383061636305,-4.063523300660243,-3.9786040713753215,-4.58445451171063,-4.541169677861946,-4.743055728693729,-4.708448234567341
1,SZTau,0.498166,9.374,0.2989774105920142,-2.02582961743799,-1.819378190384299,-2.8608470362122063,-2.6170954772477546,-3.864810998017021,-3.63423830616363,-4.550751334573965,-4.388604071375322,-4.96232531355441,-4.871169677861947,-5.061528797309253,-4.995448234567341
2,SSSct,0.564814,10.366999999999999,0.30102525007190767,-1.1005556406292627,-1.012378190384299,-2.071561557732261,-1.9180954772477534,-3.2249174271012144,-3.0492383061636295,-3.9633879748578194,-3.82760407137532,-4.415983641949539,-4.341169677861945,-4.512784825370138,-4.45744823456734
3,QZNor,0.578244,11.211,0.2649921761630892,-1.4634294949988789,-1.2653781903842987,-2.348434729006778,-2.1110954772477544,-3.3499123152361205,-3.1232383061636297,-4.076878940869979,-3.916604071375321,-4.479164685950227,-4.389169677861947,-4.592765732751807,-4.527448234567341
4,ADGem,0.578408,12.234,0.1854213638760093,-1.739558516968557,-1.4973781903842978,-2.419121005319509,-2.148095477247753,-3.2193935712342614,-2.9722383061636295,-3.718715333553297,-3.548604071375321,-4.09426190196283,-3.998169677861945,-4.161774399633021,-4.09244823456734
5,YAur,0.586529,11.542,0.40594415255708555,-1.160933992714796,-0.8403781903842987,-2.027949612759386,-1.6970954772477538,-3.0317693645577073,-2.7482383061636306,-3.828185286925741,-3.640604071375321,-4.27609087990945,-4.169169677861947,-4.386894003918368,-4.310448234567342
6,STTau,0.605768,10.409,0.39262308198817597,-1.447187646816569,-1.1533781903842988,-2.2695325548218097,-1.9590954772477556,-3.31935579333166,-3.048238306163631,-4.080223506007968,-3.8986040713753214,-4.525395392422748,-4.422169677861947,-4.630464374023796,-4.556448234567341
7,BFOph,0.609329,9.049999999999999,0.25826229686341906,-0.9484297567181852,-0.660378190384299,-1.7881372188688431,-1.482095477247754,-2.7296834290722565,-2.46123830616363,-3.370940067909702,-3.1906040713753208,-3.77859983661526,-3.6761696778619455,-3.880941329045392,-3.8074482345673406
8,SYCas,0.609712,11.786,0.42247681670991066,-0.8533915545446457,-0.7463781903842995,-1.8499401179730124,-1.6820954772477552,-2.9956595917275908,-2.81123830616363,-3.85858651444812,-3.7186040713753217,-4.326586161353116,-4.249169677861946,-4.435495874038789,-4.378448234567341
9,XSct,0.62305,11.758000000000001,0.551961598024738,-0.4632794097220749,-0.4303781903842997,-1.6273659616199054,-1.5160954772477557,-3.0652625046649034,-2.9152383061636318,-4.244066860793013,-4.120604071375322,-4.7853462390532036,-4.7181696778619475,-4.91776354943277,-4.867448234567342
