,name,logP,new_mod,new_EBV,new_M_B,new_M0_B,new_M_V,new_M0_V,new_M_I,new_M0_I,new_M_J,new_M0_J,new_M_H,new_M0_H,new_M_K,new_M0_K
0,EVSct,0.490098,10.401,0.4368760364226676,-0.18805207291523407,-0.38788354017396276,-1.552459597645216,-1.6900034200257728,-3.349639435368292,-3.4325047647206746,-4.531274202512403,-4.569216816129284,-5.102478187173784,-5.129746706612815,-5.289159692119781,-5.304622606573235
1,SZTau,0.498166,7.814,0.21841314824422553,-2.124938054165791,-1.725883540173962,-3.040624468828849,-2.7210034200257733,-4.14659567704794,-3.951504764720674,-4.914766344898024,-4.819216816129284,-5.355225028858022,-5.299746706612816,-5.470562311790633,-5.431622606573235
2,SSSct,0.564814,9.447,0.3820565907817067,-2.5234235525746356,-1.5588835401739622,-3.4132927882249118,-2.6620034200257723,-4.464050015240746,-4.006504764720673,-5.119813494161673,-4.898216816129283,-5.5433569946687085,-5.409746706612815,-5.623930841798764,-5.533622606573235
3,QZNor,0.578244,9.811,0.23143045255531436,-1.9214197738973013,-1.331883540173962,-2.8400303617536653,-2.3750034200257732,-3.8840024599462284,-3.600504764720674,-4.64522486563207,-4.507216816129284,-5.059543495477413,-4.977746706612816,-5.179865613048686,-5.123622606573235
4,ADGem,0.578408,11.514,0.30660431832240087,-3.5323199521175734,-2.243883540173961,-4.090541948181354,-3.092003420025772,-4.737377504494264,-4.129504764720673,-5.113010248868956,-4.819216816129284,-5.445109092620824,-5.266746706612815,-5.488353491833581,-5.3686226065732345
5,YAur,0.586529,10.682,0.49716724454045635,-2.686926261824033,-1.4468835401739621,-3.4626001998656735,-2.5010034200257727,-4.350916921518331,-3.7655047647206747,-5.054223258360777,-4.771216816129284,-5.469422636175688,-5.297746706612816,-5.5619574237840155,-5.446622606573236
6,STTau,0.605768,9.249,0.3916088325145958,-2.2828960530190088,-1.459883540173962,-3.1062565290221453,-2.463003420025774,-4.1573639696454645,-3.7655047647206747,-4.9192669064744665,-4.729216816129284,-5.364802431753009,-5.250746706612817,-5.470074526953636,-5.3926226065732354
7,BFOph,0.609329,8.29,0.3205121236562792,-2.0918274488268143,-1.0068835401739622,-2.8692041594097812,-2.0260034200257726,-3.731932128921147,-3.2185047647206737,-4.309651614547656,-4.061216816129284,-4.69499295285317,-4.544746706612815,-4.784868294969764,-4.683622606573235
8,SYCas,0.609712,10.586,0.35971069560831387,-1.387809266327459,-1.0128835401739629,-2.4472055468148546,-2.146003420025774,-3.6723969724634307,-3.4885047647206737,-4.599388019669938,-4.5092168161292845,-5.0898912039734885,-5.037746706612816,-5.211370460070968,-5.1746226065732355
9,XSct,0.62305,11.098,0.6220682946456446,-2.099921875134117,-1.236883540173963,-3.1938105917054336,-2.5200034200257746,-4.542940839756905,-4.132504764720675,-5.650188692777987,-5.451216816129285,-6.166332717098684,-6.046746706612817,-6.284710460412947,-6.203622606573236
10,YLac,0.635863,11.057,0.2390800910688813,-3.276427489339757,-2.459883540173962,-3.984318694152487,-3.3460034200257733,-4.823361766044713,-4.434504764720675,-5.371825058692526,-5.183216816129284,-5.7539086836416,-5.640746706612816,-5.840486924604146,-5.763622606573236
11,TVul,0.646934,7.8149999999999995,0.08018551795411782,-3.5104109821192586,-2.701883540173962,-4.1271992229918,-3.4950034200257725,-4.800641127579014,-4.415504764720673,-5.233038173113605,-5.0462168161292835,-5.556801059361516,-5.444746706612816,-5.617758707536024,-5.541622606573235
12,XYCas,0.653376,10.165,0.43537744935535067,-0.6669297014572934,-0.3568835401739604,-1.8966791614177823,-1.6450034200257728,-3.2372849301420104,-3.0835047647206726,-4.240926315133992,-4.165216816129283,-4.772926928216618,-4.729746706612815,-4.915476820208715,-4.8846226065732345
13,TVel,0.666501,9.713,0.35493006047015035,-1.8879698648673455,-0.8858835401739603,-2.733954095318585,-1.954003420025772,-3.7234760899536994,-3.2485047647206735,-4.390182595833027,-4.160216816129283,-4.823544691252663,-4.684746706612815,-4.937341537342911,-4.843622606573234
14,VZCyg,0.687034,10.588,0.357307866317622,-3.138350974749753,-2.028883540173961,-3.9269244082059185,-3.0650034200257728,-4.834314040189198,-4.309504764720673,-5.391117927196127,-5.137216816129283,-5.769381317885271,-5.615746706612815,-5.864096004576504,-5.760622606573234
15,CFCas,0.687994,12.048,0.6115444327155216,-0.5577190581491881,0.41311645982603634,-1.7090985176711355,-0.9530034200257738,-3.07197189874405,-2.611504764720674,-4.002216767159972,-3.779216816129284,-4.550226831698477,-4.415746706612817,-4.704502723602865,-4.6136226065732355
16,VLac,0.697493,10.46,0.24770973038345573,-2.274648682171516,-1.9208835401739623,-3.2570524291385636,-2.9720034200257746,-4.422575876916246,-4.248504764720675,-5.2566713093084605,-5.171216816129284,-5.73796748967408,-5.688746706612816,-5.83944823906749,-5.804622606573236
17,V0386Cyg,0.720788,9.104,0.8982522916265603,0.5407483784405355,1.506116459826038,-0.9419249019537889,-0.1900034200257722,-2.754434340387904,-2.296504764720674,-3.955998071370506,-3.7342168161292837,-4.608471407253635,-4.474746706612815,-4.819006063332501,-4.728622606573235
18,CRSer,0.724391,10.711,0.9271433416700896,0.24160517839135065,0.5041164598260385,-1.5063929935943898,-1.2910034200257736,-3.6022229401053893,-3.470504764720675,-5.145330754129562,-5.080216816129284,-5.884359131840585,-5.847746706612816,-6.121158766237732,-6.094622606573235
19,V1162Aql,0.730464,9.152,0.30880703702961626,-2.9165517157834153,-1.7118835401739623,-3.6905967296056605,-2.756003420025773,-4.490498811600241,-3.9215047647206736,-4.999338245044853,-4.7242168161292835,-5.371535008058625,-5.2047467066128155,-5.441744010823073,-5.329622606573235
20,CVMon,0.730685,10.606,0.7887904364633408,-0.21261037380733455,0.7931164598260372,-1.4367331097765916,-0.654003420025774,-3.041165730744168,-2.564504764720675,-4.184994068054765,-3.9542168161292848,-4.774047692869563,-4.634746706612816,-4.975672240063416,-4.881622606573236
21,SWCas,0.735675,10.805,0.5082416053258036,-2.171505604615073,-1.273883540173962,-3.235210385202346,-2.5350034200257734,-4.4989919142030255,-4.072504764720673,-5.343897432479085,-5.137216816129284,-5.847111079721624,-5.722746706612815,-5.961852035839079,-5.877622606573235
22,XLac,0.735997,10.48,0.20601355682983866,-2.6239883630140977,-2.4508835401739635,-3.65514378856038,-3.508003420025774,-4.907727423444711,-4.817504764720674,-5.749401986259631,-5.704216816129285,-6.247006025729429,-6.222746706612816,-6.384037110838685,-6.365622606573235
23,VCen,0.739882,8.191,0.38437349014426225,-2.8683973488474175,-1.7628835401739629,-3.648906373165968,-2.790003420025774,-4.5724790748849085,-4.049504764720674,-5.203236660964463,-4.950216816129284,-5.615835053543041,-5.462746706612816,-5.71673685840675,-5.6136226065732355
24,FMCas,0.764123,10.212,0.398655964782279,-2.4046604837832573,-1.3698835401739622,-3.321908766246761,-2.5170034200257727,-4.37864852987803,-3.888504764720674,-5.058469359744054,-4.821216816129284,-5.509061486690663,-5.365746706612815,-5.602311143183364,-5.505622606573235
25,CSVel,0.771201,11.775,0.8481188424195053,-0.9961771579296541,0.19711645982603665,-2.224913861015003,-1.299003420025774,-3.7252196274971223,-3.161504764720675,-4.839802847416382,-4.567216816129285,-5.405963408843716,-5.240746706612817,-5.599710749460786,-5.4886226065732355
26,MWCyg,0.774852,9.428,0.6158622530707201,-0.5060224514181391,0.13611645982603637,-1.883185077418426,-1.3780034200257734,-3.5164165270704038,-3.2085047647206753,-4.610950042606181,-4.4612168161292844,-5.207811499012736,-5.118746706612817,-5.379644024212793,-5.318622606573236
27,FMAql,0.786342,9.527,0.6088123826132811,-2.0648321345515765,-1.257883540173962,-3.320993995840898,-2.6900034200257728,-4.848908349471266,-4.464504764720673,-5.751686246785542,-5.565216816129284,-6.303582913247202,-6.191746706612815,-6.459615285505066,-6.383622606573234
28,CRCep,0.794695,9.366999999999999,0.7821705098205416,-0.10860637820365687,0.9241164598260386,-1.4283407467203493,-0.625003420025773,-3.0616951740059717,-2.5725047647206734,-4.162011498042342,-3.925216816129284,-4.791777675156383,-4.648746706612815,-4.940124548859721,-4.843622606573235
29,RSCas,0.799056,9.485,0.8317420239290684,-0.05667712585106678,0.6611164598260385,-1.5369367372908898,-0.9740034200257717,-3.2655295362728607,-2.922504764720673,-4.599813527288939,-4.433216816129283,-5.25726454944965,-5.157746706612815,-5.454516471737615,-5.386622606573234
30,RRLac,0.807281,9.943,0.18491996810335337,-1.6226671610357186,-1.4668835401739617,-2.6679214969738303,-2.534003420025772,-3.863688270160089,-3.781504764720674,-4.758541077116359,-4.717216816129284,-5.245612790952263,-5.223746706612816,-5.3644636581398855,-5.347622606573235
31,XXSgr,0.807815,9.648,0.5474725845833588,-1.793013447147565,-0.9578835401739613,-2.8775064482042487,-2.225003420025773,-4.230987920508182,-3.8335047647206735,-5.17696788287564,-4.984216816129283,-5.7024766671249685,-5.586746706612815,-5.834175267336305,-5.755622606573235
