,name,logP,new_mod,new_EBV,new_M_B,new_M0_B,new_M_V,new_M0_V,new_M_I,new_M0_I,new_M_J,new_M0_J,new_M_H,new_M0_H,new_M_K,new_M0_K
0,EVSct,0.490098,12.081,0.8802724180357787,-1.744195182434791,-0.8107120691583972,-2.664629910255565,-1.9155871232015311,-3.900398985435384,-3.4449809709065327,-4.629467933794625,-4.469524182224075,-5.041701013756256,-5.032319379360306,-5.139587959320412,-5.19980877110216
1,SZTau,0.498166,9.354,0.2702593019230288,-1.8843146842269116,-2.0087120691583964,-2.7480875452113835,-2.8065871232015316,-3.7884132274885207,-3.8239809709065318,-4.503665563201724,-4.579524182224075,-4.92553584568326,-5.062319379360307,-5.030490417880155,-5.18680877110216
2,SSSct,0.564814,10.447,0.3651314816708906,-1.4518083383940392,-1.3017120691583965,-2.3586246857969755,-2.2075871232015305,-3.430811808964561,-3.3389809709065315,-4.1038504082527165,-4.118524182224074,-4.533462068129252,-4.632319379360306,-4.6174253376098395,-4.748808771102159
3,QZNor,0.578244,11.151,0.1719991676483522,-1.0099481780704724,-1.4147120691583963,-1.9880673115041776,-2.2605871232015313,-3.1072889253945397,-3.2729809709065316,-3.9291716549592195,-4.067524182224075,-4.3647981833822564,-4.540319379360307,-4.4970220100689975,-4.67880877110216
4,ADGem,0.578408,12.213999999999999,0.19006332280733343,-1.7392000377946688,-1.6867120691583952,-2.414114532667686,-2.3375871232015304,-3.2085096358619536,-3.161980970906532,-3.703093443538965,-3.739524182224075,-4.07697573041285,-4.189319379360306,-4.143558629387455,-4.2838087711021595
5,YAur,0.586529,11.342,0.21480786228786433,-0.15217900769864023,-0.8497120691583964,-1.2105793951898014,-1.7065871232015308,-2.4564082722754,-2.757980970906533,-3.447913183395422,-3.6515241822240747,-3.9643468705293547,-4.1803193793603075,-4.113426948027588,-4.321808771102161
6,STTau,0.605768,10.329,0.332612329493331,-1.1132641497851314,-1.2827120691583964,-1.9956978242634604,-2.0885871232015325,-3.1215042771521837,-3.1779809709065328,-3.9436237646849306,-4.029524182224075,-4.410311306191687,-4.553319379360308,-4.527398041087352,-4.68780877110216
7,BFOph,0.609329,8.99,0.17722473306746397,-0.5455355130283605,-0.8097120691583967,-1.4663858878079084,-1.6315871232015309,-2.510538619787208,-2.6109809709065317,-3.234508679239909,-3.341524182224074,-3.6712228456932308,-3.8273193793603064,-3.7897929206491403,-3.958808771102159
8,SYCas,0.609712,11.706,0.37638814115431174,-0.5783765416662399,-0.8757120691583972,-1.621073695928428,-1.8115871232015324,-2.8251488071244832,-2.9409809709065318,-3.7351175192111015,-3.849524182224075,-4.219641338963045,-4.380319379360307,-4.337780769815483,-4.50980877110216
9,XSct,0.62305,11.638,0.42280302074204834,0.20322927833416993,-0.5197120691583974,-1.0901837569968178,-1.6055871232015329,-2.6916157242540657,-3.0049809709065336,-4.0022496570430715,-4.211524182224076,-4.589836260016425,-4.809319379360308,-4.748118867082622,-4.958808771102161
