,name,logP,new_mod,new_EBV,new_M_B,new_M0_B,new_M_V,new_M0_V,new_M_I,new_M0_I,new_M_J,new_M0_J,new_M_H,new_M0_H,new_M_K,new_M0_K
0,EVSct,0.490098,11.940999999999999,0.7115053419146944,-0.890091053243647,-0.5792132090398335,-1.9795122543844625,-1.7198111333833008,-3.4289674506657537,-3.2710691690970473,-4.330293578280263,-4.26273358925094,-4.8030347180435875,-4.7663980661861665,-4.934718958271751,-4.911497599269905
1,SZTau,0.498166,9.374,0.2912177581394662,-1.9929962000155235,-1.9372132090398326,-2.835783358790476,-2.7708111333833014,-3.8495722821446092,-3.8100691690970465,-4.54343274076682,-4.532733589250941,-4.957788787941077,-4.956398066186168,-5.058546219696067,-5.058497599269905
2,SSSct,0.564814,10.427,0.3365104863907741,-1.3107043210652822,-1.1902132090398327,-2.2461788710421993,-2.1318111333833003,-3.354604753593657,-3.285069169097046,-4.056856230344322,-4.03173358925094,-4.496729375658638,-4.486398066186166,-4.586424285654021,-4.580497599269904
3,QZNor,0.578244,11.191,0.2300378098999264,-1.2955270850295582,-1.3632132090398323,-2.2155321259767624,-2.244811133383301,-3.261267532593871,-3.2790691690970464,-4.023911380785214,-4.04073358925094,-4.438729314801794,-4.454398066186167,-4.559330322991235,-4.570497599269904
4,ADGem,0.578408,12.193999999999999,0.1711794545944507,-1.639296726225498,-1.5752132090398314,-2.333119638340075,-2.2618111333833,-3.151424740110766,-3.1080691690970466,-3.6652829343953024,-3.652733589250941,-4.045935654539552,-4.043398066186166,-4.116300236962468,-4.115497599269903
5,YAur,0.586529,11.442,0.333393022469808,-0.7539483959764985,-0.8582132090398328,-1.6936094625774794,-1.7508111333833007,-2.789290553247108,-2.824069169097047,-3.659757963072624,-3.6847335892509405,-4.133675312726524,-4.154398066186167,-4.25900752604672,-4.273497599269905
6,STTau,0.605768,10.369,0.37172042634261304,-1.3187422399834987,-1.2312132090398327,-2.1620169770866413,-2.0728111333833024,-3.238306322068678,-3.1840691690970475,-4.020508957309299,-4.002733589250941,-4.4731750728526825,-4.467398066186168,-4.582430020273311,-4.579497599269905
7,BFOph,0.609329,9.01,0.21111877523731323,-0.7089513736616437,-0.738213209039833,-1.5958636440165215,-1.5958111333833007,-2.597101095562045,-2.5970691690970464,-3.286476184052824,-3.2947335892509404,-3.7110383195669896,-3.721398066186166,-3.8228207736379654,-3.8304975992699037
8,SYCas,0.609712,11.726,0.41240382595670166,-0.7507697087705925,-0.8042132090398335,-1.7574043578401475,-1.7758111333833022,-2.915877849566809,-2.9270691690970465,-3.789086072489323,-3.8027335892509413,-4.260697188769066,-4.2743980661861665,-4.371624118582978,-4.381497599269904
9,XSct,0.62305,11.758000000000001,0.5565378776219009,-0.48264302158155015,-0.5482132090398336,-1.6421473447187414,-1.6698111333833026,-3.0742495855889955,-3.0910691690970484,-4.248383024657873,-4.264733589250941,-4.788021669394094,-4.803398066186168,-4.919522534021532,-4.930497599269906
