,name,logP,new_mod,new_EBV,new_M_B,new_M0_B,new_M_V,new_M0_V,new_M_I,new_M0_I,new_M_J,new_M0_J,new_M_H,new_M0_H,new_M_K,new_M0_K
0,EVSct,0.490098,10.600999999999999,0.6300198233600919,-0.8053013785835575,-0.6163936672488028,-1.9763140294530963,-1.7950086209034821,-3.5289429299074833,-3.409071832397574,-4.5134396966003045,-4.4572121849290065,-5.01539583933101,-4.984789441202255,-5.163398369504918,-5.141823025887517
1,SZTau,0.498166,7.8740000000000006,0.29740949806433226,-2.3991953091596088,-2.094393667248802,-3.2357826787477935,-2.966008620903483,-4.2417318686786585,-4.068071832397574,-4.929272542194355,-4.847212184929006,-5.3414086648533505,-5.294789441202256,-5.440926138770987,-5.408823025887516
2,SSSct,0.564814,10.167,0.29730712427851275,-1.444823134959671,-1.2673936672488022,-2.4195520114195954,-2.247008620903482,-3.577615622943114,-3.4630718323975733,-4.319881187334521,-4.266212184929006,-4.773809914066946,-4.744789441202255,-4.871355689358932,-4.850823025887516
3,QZNor,0.578244,10.031,0.2571904483051593,-1.8104180439136202,-1.540393667248802,-2.703235148025665,-2.460008620903483,-3.714590969999604,-3.5570718323975736,-4.4495206632234945,-4.375212184929007,-4.854603561792646,-4.8127894412022565,-4.969766982615054,-4.940823025887517
4,ADGem,0.578408,12.434,0.17702820944454675,-2.0640445626227097,-1.752393667248801,-2.752011116505885,-2.4770086209034816,-3.5629107588355784,-3.3860718323975734,-4.070799246019719,-3.9872121849290063,-4.4493550120875645,-4.401789441202255,-4.5185483228642,-4.485823025887516
5,YAur,0.586529,11.442,0.3981802348233341,-1.5080825276079735,-1.115393667248802,-2.382872158479369,-2.0460086209034825,-3.3965222723554573,-3.1820718323975745,-4.200862670275976,-4.099212184929007,-4.651551860684767,-4.592789441202257,-4.763909786859045,-4.723823025887517
6,STTau,0.605768,9.709,0.3950203794457264,-1.8373313315487019,-1.428393667248802,-2.6572758256096973,-2.308008620903484,-3.704063701970696,-3.4820718323975743,-4.462484541078031,-4.357212184929007,-4.906796924435356,-4.845789441202257,-5.011385823247554,-4.969823025887517
7,BFOph,0.609329,8.809999999999999,0.23416790792689335,-1.206479168811064,-0.9153936672488023,-2.070312342603865,-1.8110086209034821,-3.04236590430315,-2.8750718323975732,-3.7082152040403282,-3.6292121849290058,-4.124513534011299,-4.079789441202255,-4.231680168769859,-4.200823025887516
8,SYCas,0.609712,11.026,0.43173807151765803,-1.252578702012667,-1.0013936672488029,-2.2398539710020366,-2.0110086209034836,-3.373847214369237,-3.225071832397574,-4.227321359532595,-4.157212184929007,-4.692000568751369,-4.652789441202256,-4.799055622549243,-4.771823025887517
9,XSct,0.62305,11.978000000000002,0.6155576449050129,-1.192373362886582,-0.7853936672488031,-2.292781193043193,-1.9450086209034843,-3.650154965370262,-3.4290718323975753,-4.764048108368613,-4.659212184929007,-5.282526395940819,-5.221789441202257,-5.402207961972141,-5.360823025887518
