,error_pair,rms,mu,EBV,A_B,A_V,A_I,A_J,A_H,A_K
0,EVSct,0.03928880180208043,0.98,0.1186293048601486,0.5019561776547468,0.38317265469828,0.23296897405655423,0.11188641517189774,0.06935425050038867,0.045597545909095316
1,SZTau,0.0027585773131863812,0.3,-0.018702583284128427,-0.07913624065013261,-0.06040934400773482,-0.036728881156702774,-0.017639528450258565,-0.010934091265400002,-0.0071887119369204435
2,SSSct,0.006203751947276338,0.78,0.12170196762384565,0.5149575356067781,0.39309735542502144,0.23900319209841306,0.11478442778410625,0.07115062133192888,0.04677858529557755
3,QZNor,0.011004278245322893,-0.64,-0.06749546318694154,-0.2855935533829057,-0.21801034609382117,-0.13255029042504327,-0.06365902105939578,-0.03945987264298163,-0.025943231185164718
4,ADGem,0.001883504331690451,-0.04,-0.07630053428127775,-0.3228504507043706,-0.24645072572852714,-0.1498420412429445,-0.07196361191272992,-0.044607581356863414,-0.02932763636169473
5,YAur,0.017656835475365933,-0.94,-0.26752024332469865,-1.1319584055797973,-0.8640903859387766,-0.5253669546507762,-0.25231439269412276,-0.15640035985491857,-0.10282675592671442
6,STTau,0.009091157583366484,-0.24,-0.10120579990869266,-0.4282321011536513,-0.3268947337050773,-0.198751998092687,-0.09545326224188255,-0.05916794680061899,-0.038900473310904196
7,BFOph,0.008193454810101572,-0.86,-0.05045531852406011,-0.21349158927085554,-0.16297067883271416,-0.0990861727302902,-0.047587438219152525,-0.02949769286872126,-0.01939351078109298
8,SYCas,0.013966441273398087,-0.74,-0.2016996545857909,-0.8534517484488571,-0.6514898843121046,-0.3961058496617596,-0.1902350462191345,-0.11791966906049092,-0.07752729623314045
9,XSct,0.02113843801353574,0.14,-0.1537931268152079,-0.6507448574931892,-0.49675179961312155,-0.3020250941647779,-0.14505152548703146,-0.08991207572997499,-0.05911346415396146
10,YLac,0.0009137894090083126,0.08,-0.1154218009154156,-0.48838426621339803,-0.37281241695679235,-0.22666994950972977,-0.10886122575138336,-0.06747904746917942,-0.04436467761785829
11,TVul,0.0060344552439039285,-0.36,-0.1094596898422064,-0.46315678562932794,-0.35355479819032665,-0.21496131729971862,-0.10323800107157538,-0.06399341847244913,-0.04207302098464887
12,XYCas,0.02314452353153434,-1.0,-0.2086938410020324,-0.8830462494318997,-0.6740811064365646,-0.4098413127134313,-0.19683168307947685,-0.1220086802650182,-0.08021565166595118
13,TVel,0.001965294034681764,-0.36,-0.019977680674687175,-0.08453156023880384,-0.06452790857923958,-0.03923296841617766,-0.018842149305137956,-0.011679551452842362,-0.007678821120929509
14,VZCyg,0.00659009785635832,0.38,0.027383910836363216,0.11586954192190367,0.08845003200145318,0.05377761945688354,0.02582740934442433,0.016009455792263025,0.01052555380817293
15,CFCas,0.004192053689421025,-0.16,0.04416129558429177,0.18685969000581376,0.14264098473726242,0.08672571872025556,0.041651167543280625,0.025818018237444496,0.01697427718373423
16,VLac,0.005919400401026327,0.0,-0.09593287381136713,-0.40592076895803775,-0.3098631824107158,-0.18839681490571522,-0.09048004926392901,-0.056085236016339565,-0.03687371870687518
17,V0386Cyg,0.015148356283475673,0.5,0.25001738635687193,1.0578985668918321,0.8075561579326963,0.4909941440230794,0.2358063981163473,0.14616766458581804,0.09609918279399086
18,CRSer,0.004775448979651043,0.78,-0.04254732188329818,-0.18003048308479958,-0.1374278496830531,-0.08355613260729629,-0.040128932107451505,-0.024874440792632613,-0.01635391411228332
19,V1162Aql,0.01188582203027086,-0.66,-0.04896492475725874,-0.20718528612538892,-0.15815670696594575,-0.09615927783529502,-0.04618175843405615,-0.028626363960836176,-0.018820648128947542
20,CVMon,0.01759067559497192,0.16,0.11123429680361598,0.47066568006514026,0.3592867786756796,0.2184463614348132,0.10491173937329844,0.065030906940298,0.04275512666240587
21,SWCas,0.002889035443060928,0.52,0.0626822316362864,0.2652273267226187,0.2024636081852051,0.1230978737766047,0.05911937359007988,0.03664591308152212,0.024093169374039405
22,XLac,0.006005893732616078,0.84,-0.013351390541377822,-0.05649373879773198,-0.04312499144865037,-0.026219994800779422,-0.012592497503005905,-0.007805623452205716,-0.005131873982389393
23,VCen,0.0030158699079633282,-0.42,-0.0857554925478521,-0.3628572156177266,-0.27699024092956226,-0.16841006648517387,-0.08088115035143217,-0.05013523360825077,-0.03296183867061791
24,FMCas,0.0032455505293738627,-0.12,0.04832726211653816,0.2044871441937079,0.15609705663641824,0.09490701043494229,0.04558034053783412,0.028253567251191703,0.01857554973973377
25,CSVel,0.005388945811966231,-0.4,-0.05996238297863479,-0.2537188310974974,-0.19367849702099038,-0.11775652618876216,-0.056554121130129184,-0.03505580796079926,-0.023047741145497853
26,MWCyg,0.009063941273380892,0.26,0.18264707450900355,0.7728345663699467,0.5899500506640815,0.35868963080376154,0.17226541479391178,0.10678095917019874,0.0702040560290257
27,FMAql,0.04165063397459416,0.98,0.11828656436080658,0.5005059397798809,0.38206560288540525,0.2322958865543264,0.11156315604253832,0.06915387412225835,0.04546580674336322
28,CRCep,0.010399673845367503,0.06,0.20603629306954474,0.8718013668651646,0.6654972266146295,0.4046223137816948,0.1943251901714718,0.12045499801724793,0.0791941699671409
29,RSCas,0.014686838192793213,-1.0,-0.1587039748746264,-0.6715241288870066,-0.5126138388450433,-0.3116692140177863,-0.14968324094275262,-0.09278310483095283,-0.06100104682256015
30,RRLac,0.011517284818875265,-1.0,-0.16641506774379966,-0.7041520761443395,-0.5375206688124728,-0.3268125666379835,-0.15695603529324206,-0.0972912410550576,-0.06396495958868427
31,XXSgr,0.009492177471392312,0.16,0.037689443868395636,0.15947534384034245,0.12173690369491791,0.07401603744651009,0.035547175878916024,0.02203437956878014,0.01448669153969523
32,BBSgr,0.005922993459349855,0.34,0.04805171725812238,0.20332123123429321,0.15520704674373528,0.09436588442019106,0.0453204576491707,0.028092475460616086,0.018469638562504498
33,VCar,0.005690582253902786,-0.68,-0.02064654653686129,-0.08736173236142118,-0.06668834531406197,-0.04054651395094968,-0.019472996831706092,-0.012070590501845216,-0.007935913092373374
34,V0495Cyg,0.009701630366198167,0.98,-0.11910967670648998,-0.5039887750481711,-0.3847242557619626,-0.23391234750327328,-0.11233948268249307,-0.06963509029291523,-0.04578218643567355
35,USgr,0.005640097995985965,0.32,0.057566756627162124,0.2435822173165111,0.18594062390573365,0.11305189933468607,0.054294662180474226,0.033655252926937794,0.022126934244782306
36,TWCMa,0.0037352550520983042,-0.58,0.01205542130854153,0.05101010418283177,0.03893901082658914,0.023674918582566196,0.011370191161364028,0.007047960959612634,0.0046337422883641075
37,xSgr,0.008089648062427221,-0.28,-0.17838892482080104,-0.7548170575942554,-0.5761962271711873,-0.35032730612008195,-0.1682492983339867,-0.10429151711798491,-0.06856735103337129
38,V0600Aql,0.04207695146338968,0.98,0.19933352576252975,0.8434399475589921,0.6438472882129711,0.3914591512334864,0.18800340815818753,0.11653635916654777,0.07661782729734355
39,V0459Cyg,0.02092256125687768,0.98,0.26979926919340613,1.1416016477380593,0.8714516394947018,0.5298425968127787,0.2544638787324529,0.15773274674854101,0.10370274509986951
40,CKSct,0.013153712553772522,-0.9,0.10580075570190765,0.44767473760148185,0.3417364409171617,0.20777575607763432,0.09978704074781121,0.06185429580600627,0.040666636469142245
41,TZMon,0.0764405835322234,0.98,0.07575302854330089,0.3205337896752691,0.24468228219486188,0.148766827574476,0.07144722640089966,0.04428749307727,0.029117191581188563
42,V1344Aql,0.02316075066135507,0.98,-0.06975749520266653,-0.29516488945104286,-0.22531670950461288,-0.13699255937880464,-0.06579247917534695,-0.04078232442033493,-0.02681268843104893
43,RSOri,0.00801912607918572,0.6,0.026357612741377514,0.11152696679259068,0.08513508915464937,0.051762134206026815,0.024859446033157612,0.015409451136991536,0.010131075609403274
44,BKAur,0.006981480093246498,-1.0,-0.1134415048518778,-0.48000503947975054,-0.3664160606715653,-0.2227809648883117,-0.10699348971609705,-0.06632130698155332,-0.04360351121991627
45,GHLup,0.014855107997136565,-0.2,0.007452874037272534,0.03153534591391127,0.024072783140390283,0.014636252149357293,0.007029252676993962,0.004357173748410641,0.002864661193706444
46,FNAql,0.016561054565940234,0.36,0.20175792063838607,0.853698289597203,0.651678083661987,0.3962202748664881,0.1902900004293002,0.11795373314281965,0.07754969195577645
47,YZSgr,0.003746874260652692,0.02,0.041661911504009136,0.17628404614691387,0.13456797415794952,0.0818173282880333,0.039293848454121254,0.02435680332258886,0.016013588924795992
48,SNor,0.00912332044058348,-0.56,-0.08701717827091048,-0.3681957864177035,-0.2810654858150408,-0.17088781537554484,-0.08207112185799191,-0.05087285293252239,-0.03344679281198986
49,DDCas,0.007453841163682561,0.3,0.10514644962756786,0.4449061723091279,0.3396230322970442,0.20649080363660288,0.0991699254307369,0.061471768845764996,0.040415140843348255
50,BZCyg,0.009785345262296795,-0.14,-0.09914590603219758,-0.41951607219403764,-0.3202412764839982,-0.1947066961022709,-0.09351045273332746,-0.05796367104360367,-0.03810871190159579
51,SYAur,0.009757423780452735,0.28,-0.057776890699786115,-0.24447135761800498,-0.18661935696030915,-0.11346456903186797,-0.054492852232410266,-0.03377810360981596,-0.02220770347827679
52,YSct,0.0058065477698690405,0.06,0.05816873431611866,0.24612936551179287,0.18788501184106327,0.11423408719936647,0.054862423457590466,0.03400718714323245,0.022358316409086528
53,TWNor,0.015575870781523532,0.38,0.2366073841258549,1.00115682445173,0.7642418507265114,0.4646590452417189,0.2231586204121413,0.13832777498149856,0.09094478023645484
54,ZLac,0.009707069664983243,0.32,0.07374743112743636,0.31204750532952147,0.23820420254161942,0.14482815514530462,0.06955562714215287,0.04311496066003311,0.02834630010245271
55,XXCen,0.0026779705278563,-0.5,-0.08963908499825139,-0.37928986035310114,-0.289534244544352,-0.17603682068296603,-0.08454399940695077,-0.05240569826252771,-0.03445457510077789
56,TYSct,0.00395605137503452,-0.24,-0.004364957761094706,-0.018469445774520032,-0.014098813568335901,-0.008572078649548228,-0.004116853561954082,-0.002551885255868798,-0.0016777588146319722
57,V340Nor,0.02031086714520176,-1.0,-0.11337883151842693,-0.47973984980391987,-0.366213625804519,-0.22265788448914753,-0.10693437873491952,-0.06628466627061794,-0.043579421470737754
58,AAGem,0.017677189535120555,-1.0,-0.1386361001801745,-0.5866109306923724,-0.4477946035819636,-0.2722591189778339,-0.13075602424593336,-0.08105082324833542,-0.05328755782625367
59,RXAur,0.007193284069651208,-0.62,-0.09122660111743619,-0.38600711730820775,-0.29466192160931887,-0.1791544483384659,-0.08604128110992111,-0.053333807811286715,-0.03506476867150895
60,UUMus,0.006744697404802685,-1.0,-0.05534882251942469,-0.2341974727264417,-0.17877669673774174,-0.10869623161654698,-0.05220279544742058,-0.032358582109531256,-0.021274426911791267
61,RYCas,0.019601056787723982,-1.0,-0.17420965786992856,-0.7371333253450287,-0.5626971949198692,-0.3421198945112805,-0.1643075809166018,-0.10184819228049634,-0.06696096619546445
62,UNor,0.005478177103338758,-0.5,-0.04516278618439917,-0.19109729718204824,-0.14587579937560932,-0.08869248602037047,-0.04259573341767792,-0.02640351968698529,-0.01735922012569751
63,ZSct,0.011187779544134089,0.84,0.22026992313198981,0.9320281257483886,0.7114718517163271,0.4325748858435269,0.20774978070116748,0.1287764051606552,0.08466515035424292
